,error_ractions,error_info
39,>>[C@]12([H])[C@]([H])(OC[C@@H]1OC(=O)O[C@@H](C)OC(=O)[C@H](C(C)C)N(C(=O)CCCC)Cc3ccc(c4ccccc4c5nnn[nH]5)cc3)[C@H](ON(=O)=O)CO2,Ignored this reaction
40,>>n1(Cc2ccc(c3ccccc3c4nnn[nH]4)cc2)c(CCCC)nc(Cl)c1C(=O)OCC(=O)O[C@H]5CO[C@]([H])([C@H](ON(=O)=O)CO6)[C@@]56[H],Ignored this reaction
41,>>n1(Cc2ccc(c3ccccc3c4nnn[nH]4)cc2)c(CCCC)nc(Cl)c1C(=O)O[C@H](C)C(=O)O[C@H]5CO[C@]([H])([C@H](ON(=O)=O)CO6)[C@@]56[H],Ignored this reaction
42,>>n1(Cc2ccc(c3ccccc3c4nnn[nH]4)cc2)c(CCCC)nc(Cl)c1C(=O)O[C@@H](C)C(=O)O[C@H]5CO[C@]([H])([C@H](ON(=O)=O)CO6)[C@@]56[H],Ignored this reaction
43,>>n1(Cc2ccc(c3ccccc3c4nnn[nH]4)cc2)c(CCCC)nc(Cl)c1C(=O)OCCC(=O)O[C@H]5CO[C@]([H])([C@H](ON(=O)=O)CO6)[C@@]56[H],Ignored this reaction
44,>>C(c1ccccc1)(c2ccccc2)(c3ccccc3)n4nnnc4c5ccccc5c6ccc(Cn7c(CCCC)nc(Cl)c7C(=O)OCOP(=O)(OCC)OCC)cc6,Ignored this reaction
45,>>n1(Cc2ccc(c3ccccc3c4nnn[nH]4)cc2)c(CCCC)nc(Cl)c1C(=O)OCOP(=O)(OCC)OCC,Ignored this reaction
46,>>n1(Cc2ccc(c3ccccc3c4nnn[nH]4)cc2)c(CCCC)nc(Cl)c1C(=O)OCP(=O)(O)O[C@H]5CO[C@]([H])([C@H](ON(=O)=O)CO6)[C@@]56[H],Ignored this reaction
47,>>c1(NCCO)ccccc1.Cl[H],Ignored this reaction
48,>>c1(c(F)cccc1C(F)(F)F)c2ccc(NCC3CCN(C(=O)c4ccc(C(=O)O)cc4)CC3)nc2,Ignored this reaction
49,>>c1(ccccc1c2ccc(NCC3CCN(C(=O)c4cccnc4)CC3)nc2)C(F)(F)F,Ignored this reaction
50,>>c1(c(F)cccc1C(F)(F)F)c2ccc(NCCc3c(F)cccc3Cl)nc2,Ignored this reaction
51,>>c1(ccccc1C(F)(F)F)C(=O)N2CCC(CNc3ccc(c4ccccc4C(F)(F)F)cn3)CC2,Ignored this reaction
52,>>c1(cccnc1c2ccc(NCC3CCCCC3)nc2)C(F)(F)F,Ignored this reaction
53,>>c1(ccccc1c2ccc(NCc3ccccc3)nc2)C(F)(F)F,Ignored this reaction
54,>>c1(ccccc1c2ccc(NCCC(c3ccccc3)c4ccccc4)nc2)C(F)(F)F,Ignored this reaction
55,>>c1(ccccc1c2ccc(NCc3cccc(cccc4)c34)nc2)C(F)(F)F,Ignored this reaction
56,>>c1(ccc(NCC2CCCCC2)nc1)c3ccccc3Cl,Ignored this reaction
57,>>c1(ccccc1c2ccc(NCc3cccc(OC(F)(F)F)c3)nc2)C(F)(F)F,Ignored this reaction
58,>>S(=O)(=O)(N1CCC(CNc2ccc(c3ccccc3C(F)(F)F)cn2)CC1)c4ccccc4C(F)(F)F,Ignored this reaction
59,>>c1(ccccc1c2ccc(NCC3CCC(NC(=O)c4ccccc4C(F)(F)F)CC3)nc2)C(F)(F)F,Ignored this reaction
60,>>c1(ccncc1c2ccc(NCC3CCN(C(=O)OC(C)(C)C)CC3)nc2)C(F)(F)F,Ignored this reaction
61,>>c1(cc(c2nnn[nH]2)ccc1c3ccc(NCC4CCCCC4)nc3)C(F)(F)F,Ignored this reaction
62,>>c1(ccccc1c2ccc(NCC3CCCCC3)nn2)C(F)(F)F,Ignored this reaction
63,>>c1(ccccc1c2cnc(NCC3CCCCC3)cn2)C(F)(F)F,Ignored this reaction
64,>>c1(ccccc1c2ccc(NCc3cccnc3)nc2)C(F)(F)F,Ignored this reaction
65,>>c1(c(F)cccc1C(F)(F)F)c2ccc(NCCc3c[nH]cn3)nc2,Ignored this reaction
66,>>c1(ccccc1c2ccc(NCCc3c[nH]cn3)nc2)C(F)(F)F,Ignored this reaction
