,error_ractions,error_info
0,>>C1(NN=C(C(=O)OCC)C1)(CNc2ccnc(nc(C)cc3)c23)C(=O)OCC,Ignored this reaction
1,>>c12c(cccc1)C(=N)NC2=Nc3nc(Cl)nc(N=C4NC(=N)c(cccc5)c45)n3,Ignored this reaction
2,>>C1(NS(=O)(=O)CCNC(=O)c2cccnc2)=C(C)N(C)N(c3ccccc3)C1=O,Ignored this reaction
3,>>C12=C(Cl)C(=O)C(N(CCCCCCCCCCCCN1C(C)=O)C(C)=O)=C(Cl)C2=O,Ignored this reaction
4,>>C1(=S)N(c2ccccc2)C(=O)C(N=Nc3ccccc3Cl)C(=O)N1c4ccc(C)cc4,Ignored this reaction
5,>>c1(Nc2nn[nH]c2N(=O)=O)c(N(=O)=O)cc(N(=O)=O)cc1N(=O)=O,Ignored this reaction
6,>>[C@]12(OC)N(C[C@@H](N3CCCOC(C)=O)[C@H]13)C4=C(C(=O)C(OC)=C(C)C4=O)[C@@H]2CO,Ignored this reaction
7,>>S(=O)(=O)(c1ccc(C)cc1)N2CC(CC=C(Cc3ccnc(cccc4)c34)C5)C(=O)C5C2,Ignored this reaction
8,>>c1(cc(N(NC(C)=O)C(C)=O)ccc1OC(C)=O)C(OC(C)=O)OC(C)=O,Ignored this reaction
9,>>C(Cc1ccccc1NC(=O)C(C)Cl)(c2c[nH]c(cccc3)c23)c4c[nH]c(cccc5)c45,Ignored this reaction
10,>>C(Cc1ccccc1NC(=O)C(C)Br)(c2c[nH]c(cccc3)c23)c4c[nH]c(cccc5)c45,Ignored this reaction
11,>>c12c(ncc(C(=O)c3ccccc3)c1OCCC(C)C)n(Cc4ccco4)nc2,Ignored this reaction
12,>>c1(NC2=C(N(=O)=O)C(=O)N(C)C(=O)N2)sc(cccc3)c3c1C(=O)OCC,Ignored this reaction
13,>>C1(=Nc2c(cccc2)NC1=O)C(C=NNC(=O)c3ccccc3)=NNc4ccc(C)cc4,Ignored this reaction
14,>>[C@@]12(C(=O)C[C@@]([H])(\C(\C=C)=C/N(C)CC1)[C@H]3CO)[C@@]3([H])Nc(cc(OC)c(OC)c4)c24,Ignored this reaction
15,>>N1(N=C(C=NNC(=O)c2ccc(Cl)cc2)C(=NNc3ccccc3)C1=O)c4ccccc4,Ignored this reaction
16,>>N1(CC(F)C(=O)N[C@]([H])(C(=O)O)Cc2c[nH]cn2)C(=O)c(cccc3)c3C1=O,Ignored this reaction
17,>>[C@@]12([C@]([H])(C(CCC3=O)=C4)N3CC1)C(=C4)N(S(=O)(=O)c5ccccc5)c(cccc6)c26,Ignored this reaction
18,>>c12c(ccc(\C=C\c3ccc(n4nc(cc(OC)c(OC)c5)c5n4)cc3)c1)oc(cccc6)c26,Ignored this reaction
19,>>C1(C(=O)c2ccc(OC)cc2)=N(=O)N(=O)=C(C(=O)c3ccc(OC)cc3)C(=O)C1=O,Ignored this reaction
20,>>C(=N\NC(=NNc1ccc(N(=O)=O)cc1)c2ccccc2)(/c3c4cccc3)\c5c4cccc5,Ignored this reaction
21,>>C1(=Nc2c(cccc2)N(C)C1=O)C(C=NNC(=O)c3ccccc3)=NNc4ccccc4,Ignored this reaction
22,>>c1(cncnc1NCNc2ncncc2c3ccc(OC)cc3)c4ccc(OC)cc4,Ignored this reaction
23,>>c12c(n(C)c(cccc3)c13)C(Cc4ccccc4)N(C)C=C2C(=O)c5cccc(N(=O)=O)c5,Ignored this reaction
24,>>c1(C(=O)c2ccccc2)c(nn(c3ccc(N(=O)=O)cc3)c1c4ccccc4)c5ccc(C)cc5,Ignored this reaction
25,>>c12c(cc(cccc3)c3c1)C(=O)c(cccc4)c4N2Cc5ccc(C(=O)NNC6=O)c6c5,Ignored this reaction
26,>>C1(c2n3c(cccc3)cc2c4ccccc4)=C(C(=O)C1=O)c5n6c(cccc6)cc5c7ccccc7,Ignored this reaction
27,>>S(=O)(=O)(c1cccc(N(=O)=O)c1)N2C(OCC)=NN(C(=O)OCC)C2=O,Ignored this reaction
28,>>C1(=Nc2c(cccc2)NC1=O)C(C=NNC(=O)c3ccc(Br)cc3)=NNc4ccccc4,Ignored this reaction
29,>>P(=O)(Nc1c(Cl)ncnc1NCc2ccccc2)(N3CCCCC3)N4CCCCC4,Ignored this reaction
30,>>C1(=S)N(c2ccccc2)C(=O)C(N=Nc3ccc(Br)cc3)C(=O)N1c4ccc(Br)cc4,Ignored this reaction
31,>>c1(N(C)C)nc(NCCNc2nc(N(C)C)nc(N(C)C)n2)nc(N(C)C)n1,Ignored this reaction
32,>>c12c(cccc1)SC(C=Cc3ccccc3)C(=O)N2CCCN4CCN(C)CC4,Ignored this reaction
33,>>c12c(c3c(cccc3)n1Cc4ccccc4)C(C(=O)NC)N(C5CCCCC5)C2=O,Ignored this reaction
34,>>C1(c2ccc(OC)cc2)N(c3ccccc3)N=C(c4c(ccc(N(=O)=O)c4)CCC5)C15,Ignored this reaction
35,>>C1(=Nc2c(ccc(Cl)c2)NC1=O)C(=NNc3ccc(Br)cc3)[C@]([H])(O)[C@@]([H])(O)CO,Ignored this reaction
36,>>C1(=Nc2c(ccc(Cl)c2)NC1=O)C(=NNc3ccc(I)cc3)[C@]([H])(O)[C@@]([H])(O)CO,Ignored this reaction
37,>>c12c(cc(\C=C\c3ccc(n4nc(ccc(OC)c5)c5n4)cc3Cl)cc1)oc(cccc6)c26,Ignored this reaction
38,>>C1(=CC(=O)N2Nc3ccc(N(=O)=O)cc3N(=O)=O)C2=CCCN1C(C)=O,Ignored this reaction
