,raw_ractions,transformed_reactions,automap
43,OC.c1(\C=C\C(=O)O)c(O)cccc1OC>>c12c(cccc1OC)OC(=O)C=C2,OC.c1(c(OC)cccc1O)/C=C/C(O)=O>>c12C=CC(=O)Oc1cccc2OC,OC.[c:3]1([c:14]([O:15][CH3:16])[cH:13][cH:12][cH:11][c:9]1[OH:10])/[CH:4]=[CH:5]/[C:6](O)=[O:7]>>[c:3]12[CH:4]=[CH:5][C:6](=[O:7])[O:10][c:9]1[cH:11][cH:12][cH:13][c:14]2[O:15][CH3:16]
44,OC.c1(OC)cc(OC)cc(O)c1\C=C\C(=O)O>>c12c(C=CC(=O)O1)c(OC)cc(OC)c2,OC.c1(c(/C=C/C(O)=O)c(O)cc(OC)c1)OC>>c12cc(OC)cc(OC)c1C=CC(O2)=O,OC.[c:3]1([c:13](/[CH:14]=[CH:15]/[C:16]([OH:18])=[O:17])[c:11](O)[cH:10][c:7]([O:8][CH3:9])[cH:6]1)[O:4][CH3:5]>>[c:11]12[cH:10][c:7]([O:8][CH3:9])[cH:6][c:3]([O:4][CH3:5])[c:13]1[CH:14]=[CH:15][C:16]([O:18]2)=[O:17]
45,OC.c1(O)c(\C=C\C(=O)O)ccc(OC)c1OC>>c12c(C=CC(=O)O1)ccc(OC)c2OC,OC.c1(c(OC)c(OC)ccc1/C=C/C(O)=O)O>>c12c(OC)c(OC)ccc1C=CC(O2)=O,OC.[c:3]1([c:16]([O:17][CH3:18])[c:13]([O:14][CH3:15])[cH:12][cH:11][c:5]1/[CH:6]=[CH:7]/[C:8]([OH:10])=[O:9])O>>[c:3]12[c:16]([O:17][CH3:18])[c:13]([O:14][CH3:15])[cH:12][cH:11][c:5]1[CH:6]=[CH:7][C:8]([O:10]2)=[O:9]
46,C(/C(=O)O)(\C(=O)O)=C(/C(=O)O)\C(=O)O>>C1(C)=C(C)C(=O)OC1=O,C(=C(/C(O)=O)\C(O)=O)(/C(O)=O)\C(O)=O>>C1(C(=O)OC(=O)C=1C)C,[C:1](=[C:8](/[C:12]([OH:14])=[O:13])\[C:9](O)=O)(/[C:5](O)=O)\[C:2](O)=[O:3]>>[C:1]1([C:2](=[O:3])[O:14][C:12](=[O:13])[C:8]=1[CH3:9])[CH3:5]
47,C(CCCCCC)(C(=O)O)C(C(=O)O)C(=O)O>>C1(CCCCCC)CC(=O)OC1=O,C(C(C(O)=O)C(O)=O)(C(O)=O)CCCCCC>>C1(C(=O)OC(=O)C1)CCCCCC,[CH:1]([CH:11]([C:15]([OH:17])=[O:16])C(O)=O)([C:8](O)=[O:9])[CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH3:7]>>[CH:1]1([C:8](=[O:9])[O:17][C:15](=[O:16])[CH2:11]1)[CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH3:7]
48,c1(ccc(O)cc1O)\C(=C\C(=O)O)\CC(=O)O>>c12c(ccc(O)c1)C(C)=CC(=O)O2,c1(/C(/CC(O)=O)=C/C(O)=O)c(O)cc(O)cc1>>c12OC(=O)C=C(C)c1ccc(c2)O,[c:1]1(/[C:9](/[CH2:14]C(O)=O)=[CH:10]/[C:11](O)=[O:12])[c:7]([OH:8])[cH:6][c:4]([OH:5])[cH:3][cH:2]1>>[c:7]12[O:8][C:11](=[O:12])[CH:10]=[C:9]([CH3:14])[c:1]1[cH:2][cH:3][c:4]([cH:6]2)[OH:5]
49,C(Br)(CO)CO.[Ag+].C(C)([O-])=O.C(C)(=O)O.[Ag+].C(C)([O-])=O>>C(COC(C)=O)(COC(C)=O)OC(C)=O,C(CO)(CO)Br.[Ag+].C(=O)([O-])C.C(O)(=O)C.[Ag+].C(=O)([O-])C>>C(OC(=O)C)(COC(=O)C)COC(=O)C,[CH:1]([CH2:5][OH:6])([CH2:3][OH:4])Br.[Ag+].[C:8](=[O:11])([O-])[CH3:9].[C:12]([OH:15])(=[O:14])[CH3:13].[Ag+].[C:17](=[O:20])([O-])[CH3:18]>>[CH:1]([O:15][C:12](=[O:14])[CH3:13])([CH2:5][O:6][C:17](=[O:20])[CH3:18])[CH2:3][O:4][C:8](=[O:11])[CH3:9]
50,S(=O)(=O)(c1ccccc1)\C(\C#N)=C\c2ccc(O)cc2O.C(C)(=O)O>>S(=O)(=O)(c1ccccc1)C2=Cc3c(cc(OC(C)=O)cc3)OC2=O,S(/C(=C/c1c(O)cc(O)cc1)/C#N)(c1ccccc1)(=O)=O.C(O)(=O)C>>S(C1C(=O)Oc2cc(ccc2C=1)OC(=O)C)(c1ccccc1)(=O)=O,[S:1](/[C:10](=[CH:13]/[c:14]1[c:20]([OH:21])[cH:19][c:17]([OH:18])[cH:16][cH:15]1)/[C:11]#N)([c:4]1[cH:9][cH:8][cH:7][cH:6][cH:5]1)(=[O:3])=[O:2].[C:22](O)(=[O:24])[CH3:23]>>[S:1]([C:10]1[C:11](=O)[O:21][c:20]2[cH:19][c:17]([cH:16][cH:15][c:14]2[CH:13]=1)[O:18][C:22](=[O:24])[CH3:23])([c:4]1[cH:9][cH:8][cH:7][cH:6][cH:5]1)(=[O:3])=[O:2]
51,c1(ccc(O)cc1O)\C(=C\C(=O)O)\CC(=O)O.C(C)(=O)Cl.C(C)(=O)Cl>>C1(=CC(=O)OC(=O)C1)c2ccc(OC(C)=O)cc2OC(C)=O,c1(/C(/CC(O)=O)=C/C(O)=O)c(O)cc(O)cc1.C(Cl)(=O)C.C(Cl)(=O)C>>C1(c2c(OC(=O)C)cc(OC(=O)C)cc2)CC(=O)OC(=O)C=1,[c:1]1(/[C:9](/[CH2:14][C:15]([OH:17])=[O:16])=[CH:10]/[C:11](O)=[O:12])[c:7]([OH:8])[cH:6][c:4]([OH:5])[cH:3][cH:2]1.[C:18](Cl)(=[O:20])[CH3:19].[C:22](Cl)(=[O:24])[CH3:23]>>[C:9]1([c:1]2[c:7]([O:8][C:22](=[O:24])[CH3:23])[cH:6][c:4]([O:5][C:18](=[O:20])[CH3:19])[cH:3][cH:2]2)[CH2:14][C:15](=[O:16])[O:17][C:11](=[O:12])[CH:10]=1
52,C(/C(=O)O)(\CC(=O)O)=C(/CCC1)\C1.C(C)(=O)Cl>>C(/CC(=O)O1)(\C1=O)=C(/CCC2)\C2,C(=C1/CCCC/1)(/CC(O)=O)\C(O)=O.C(Cl)(=O)C>>C1(=C2/CCCC/2)/C(=O)OC(=O)C/1,[C:1](=[C:9]1/[CH2:13][CH2:12][CH2:11][CH2:10]/1)(/[CH2:5][C:6]([OH:8])=[O:7])\[C:2](O)=[O:3].C(Cl)(=O)C>>[C:1]1(=[C:9]2/[CH2:13][CH2:12][CH2:11][CH2:10]/2)/[C:2](=[O:3])[O:8][C:6](=[O:7])[CH2:5]/1
