,raw_ractions,transformed_reactions,automap
0,c1(CN)cccc(Br)c1.c1(ccc(Br)nc1)C(=O)Nc2ccc(F)cc2>>c1(ccc(NCc2cccc(Br)c2)nc1)C(=O)Nc3ccc(F)cc3,c1(cc(Br)ccc1)CN.c1(C(Nc2ccc(F)cc2)=O)cnc(Br)cc1>>c1(C(Nc2ccc(F)cc2)=O)cnc(NCc2cc(Br)ccc2)cc1,[c:1]1([cH:9][c:7]([Br:8])[cH:6][cH:5][cH:4]1)[CH2:2][NH2:3].[c:10]1([C:17]([NH:19][c:20]2[cH:26][cH:25][c:23]([F:24])[cH:22][cH:21]2)=[O:18])[cH:16][n:15][c:13](Br)[cH:12][cH:11]1>>[c:10]1([C:17]([NH:19][c:20]2[cH:26][cH:25][c:23]([F:24])[cH:22][cH:21]2)=[O:18])[cH:16][n:15][c:13]([NH:3][CH2:2][c:1]2[cH:9][c:7]([Br:8])[cH:6][cH:5][cH:4]2)[cH:12][cH:11]1
1,c1(CN)ccc(Br)cc1.c1(ccc(Br)nc1)C(=O)Nc2ccc(F)cc2>>c1(ccc(NCc2ccc(Br)cc2)nc1)C(=O)Nc3ccc(F)cc3,c1(ccc(Br)cc1)CN.c1(C(Nc2ccc(F)cc2)=O)cnc(Br)cc1>>c1(C(Nc2ccc(F)cc2)=O)cnc(NCc2ccc(Br)cc2)cc1,[c:1]1([cH:9][cH:8][c:6]([Br:7])[cH:5][cH:4]1)[CH2:2][NH2:3].[c:10]1([C:17]([NH:19][c:20]2[cH:26][cH:25][c:23]([F:24])[cH:22][cH:21]2)=[O:18])[cH:16][n:15][c:13](Br)[cH:12][cH:11]1>>[c:10]1([C:17]([NH:19][c:20]2[cH:26][cH:25][c:23]([F:24])[cH:22][cH:21]2)=[O:18])[cH:16][n:15][c:13]([NH:3][CH2:2][c:1]2[cH:9][cH:8][c:6]([Br:7])[cH:5][cH:4]2)[cH:12][cH:11]1
2,c(c(ccc1)c(Br)cc2)(c1C(=O)N(CCCCCC(=O)NCC#C)C3=O)c23.C(N)CN>>c(c(ccc1)c(NCCN)cc2)(c1C(=O)N(CCCCCC(=O)NCC#C)C3=O)c23,c12c3C(=O)N(CCCCCC(NCC#C)=O)C(=O)c1cccc2c(cc3)Br.C(CN)N>>c12c3C(=O)N(CCCCCC(NCC#C)=O)C(=O)c1cccc2c(cc3)NCCN,[c:1]12[c:27]3[C:25](=[O:26])[N:13]([CH2:14][CH2:15][CH2:16][CH2:17][CH2:18][C:19]([NH:21][CH2:22][C:23]#[CH:24])=[O:20])[C:11](=[O:12])[c:10]1[cH:5][cH:4][cH:3][c:2]2[c:6]([cH:8][cH:9]3)Br.[CH2:28]([CH2:30][NH2:31])[NH2:29]>>[c:1]12[c:27]3[C:25](=[O:26])[N:13]([CH2:14][CH2:15][CH2:16][CH2:17][CH2:18][C:19]([NH:21][CH2:22][C:23]#[CH:24])=[O:20])[C:11](=[O:12])[c:10]1[cH:5][cH:4][cH:3][c:2]2[c:6]([cH:8][cH:9]3)[NH:29][CH2:28][CH2:30][NH2:31]
3,c1(Br)ccccn1.c1(ccccc1)[C@@]([H])(O)CN>>c1(ccccc1)[C@@H](O)CNc2ccccn2,c1(ncccc1)Br.c1([C@](CN)(O)[H])ccccc1>>c1([C@H](CNc2ncccc2)O)ccccc1,[c:1]1([n:7][cH:6][cH:5][cH:4][cH:3]1)Br.[c:8]1([C@:14]([CH2:17][NH2:18])([OH:16])[H])[cH:13][cH:12][cH:11][cH:10][cH:9]1>>[c:8]1([C@H:14]([CH2:17][NH:18][c:1]2[n:7][cH:6][cH:5][cH:4][cH:3]2)[OH:16])[cH:13][cH:12][cH:11][cH:10][cH:9]1
4,c1(F)cc(Br)ccc1N(=O)=O.c1c(C)cccc1N>>c1(ccc(N(=O)=O)c(F)c1)Nc2cccc(C)c2,c1(c(N(=O)=O)ccc(Br)c1)F.c1c(N)cccc1C>>c1(Nc2cc(C)ccc2)cc(F)c(N(=O)=O)cc1,[c:1]1([c:8]([N:9](=[O:11])=[O:10])[cH:7][cH:6][c:4](Br)[cH:3]1)[F:2].[cH:12]1[c:18]([NH2:19])[cH:17][cH:16][cH:15][c:13]1[CH3:14]>>[c:4]1([NH:19][c:18]2[cH:12][c:13]([CH3:14])[cH:15][cH:16][cH:17]2)[cH:3][c:1]([F:2])[c:8]([N:9](=[O:11])=[O:10])[cH:7][cH:6]1
5,c1(Br)cn(=O)ccc1N(=O)=O.c1(CN)ccc(F)cc1>>c1(cn(=O)ccc1N(=O)=O)NCc2ccc(F)cc2,c1(c(N(=O)=O)cc[n](=O)c1)Br.c1(ccc(F)cc1)CN>>c1(NCc2ccc(F)cc2)c(N(=O)=O)cc[n](=O)c1,[c:1]1([c:8]([N:9](=[O:11])=[O:10])[cH:7][cH:6][n:4](=[O:5])[cH:3]1)Br.[c:12]1([cH:20][cH:19][c:17]([F:18])[cH:16][cH:15]1)[CH2:13][NH2:14]>>[c:1]1([NH:14][CH2:13][c:12]2[cH:20][cH:19][c:17]([F:18])[cH:16][cH:15]2)[c:8]([N:9](=[O:11])=[O:10])[cH:7][cH:6][n:4](=[O:5])[cH:3]1
6,c1(Br)ccccc1.c1(ccccc1N)[As](=O)(O)O>>c1(ccccc1Nc2ccccc2)[As](=O)(O)O,c1(ccccc1)Br.c1([As](O)(O)=O)c(N)cccc1>>c1([As](O)(O)=O)c(Nc2ccccc2)cccc1,[c:1]1([cH:7][cH:6][cH:5][cH:4][cH:3]1)Br.[c:8]1([As:15]([OH:18])([OH:17])=[O:16])[c:13]([NH2:14])[cH:12][cH:11][cH:10][cH:9]1>>[c:8]1([As:15]([OH:18])([OH:17])=[O:16])[c:13]([NH:14][c:1]2[cH:7][cH:6][cH:5][cH:4][cH:3]2)[cH:12][cH:11][cH:10][cH:9]1
7,c12c(c(C)ccc1Br)Oc(cccc3)c3C2=O.C(O)CN>>c12c(c(C)ccc1NCCO)Oc(cccc3)c3C2=O,c12C(=O)c3ccccc3Oc1c(ccc2Br)C.C(CN)O>>c12C(=O)c3ccccc3Oc1c(ccc2NCCO)C,[c:1]12[C:16](=[O:17])[c:15]3[cH:14][cH:13][cH:12][cH:11][c:10]3[O:9][c:2]1[c:3]([cH:5][cH:6][c:7]2Br)[CH3:4].[CH2:18]([CH2:20][NH2:21])[OH:19]>>[c:1]12[C:16](=[O:17])[c:15]3[cH:14][cH:13][cH:12][cH:11][c:10]3[O:9][c:2]1[c:3]([cH:5][cH:6][c:7]2[NH:21][CH2:20][CH2:18][OH:19])[CH3:4]
8,c1(cccc(Br)c1)N(=O)=O.c1(ccccc1N)[As](=O)(O)O>>c1(ccccc1[As](=O)(O)O)Nc2cccc(N(=O)=O)c2,c1(N(=O)=O)cc(Br)ccc1.c1([As](O)(O)=O)c(N)cccc1>>c1(Nc2cc(N(=O)=O)ccc2)c([As](O)(O)=O)cccc1,[c:1]1([N:8](=[O:10])=[O:9])[cH:7][c:5](Br)[cH:4][cH:3][cH:2]1.[c:11]1([As:18]([OH:21])([OH:20])=[O:19])[c:16]([NH2:17])[cH:15][cH:14][cH:13][cH:12]1>>[c:16]1([NH:17][c:5]2[cH:7][c:1]([N:8](=[O:10])=[O:9])[cH:2][cH:3][cH:4]2)[c:11]([As:18]([OH:21])([OH:20])=[O:19])[cH:12][cH:13][cH:14][cH:15]1
9,c1(ccccc1Br)N(=O)=O.c1(ccccc1N)[As](=O)(O)O>>c1(ccccc1[As](=O)(O)O)Nc2ccccc2N(=O)=O,c1(N(=O)=O)c(Br)cccc1.c1([As](O)(O)=O)c(N)cccc1>>c1(Nc2c(N(=O)=O)cccc2)c([As](O)(O)=O)cccc1,[c:1]1([N:8](=[O:10])=[O:9])[c:6](Br)[cH:5][cH:4][cH:3][cH:2]1.[c:11]1([As:18]([OH:21])([OH:20])=[O:19])[c:16]([NH2:17])[cH:15][cH:14][cH:13][cH:12]1>>[c:16]1([NH:17][c:6]2[c:1]([N:8](=[O:10])=[O:9])[cH:2][cH:3][cH:4][cH:5]2)[c:11]([As:18]([OH:21])([OH:20])=[O:19])[cH:12][cH:13][cH:14][cH:15]1
