,raw_ractions,transformed_reactions,automap
10,c1(OC)ccccc1Br.c1(ccccc1)C(=O)Cl>>c1(ccc(OC)c(Br)c1)C(=O)c2ccccc2,c1(c(Br)cccc1)OC.c1(C(Cl)=O)ccccc1>>c1(C(c2ccccc2)=O)cc(Br)c(OC)cc1,[c:1]1([c:8]([Br:9])[cH:7][cH:6][cH:5][cH:4]1)[O:2][CH3:3].[c:10]1([C:16](Cl)=[O:17])[cH:15][cH:14][cH:13][cH:12][cH:11]1>>[c:6]1([C:16]([c:10]2[cH:15][cH:14][cH:13][cH:12][cH:11]2)=[O:17])[cH:7][c:8]([Br:9])[c:1]([O:2][CH3:3])[cH:4][cH:5]1
11,c1(ccc(OC)cc1)C(=O)Cl.c1(OC)ccccc1>>C(=O)(c1ccc(OC)cc1)c2ccc(OC)cc2,c1(C(Cl)=O)ccc(OC)cc1.c1(ccccc1)OC>>C(c1ccc(OC)cc1)(c1ccc(OC)cc1)=O,[c:1]1([C:9](Cl)=[O:10])[cH:8][cH:7][c:4]([O:5][CH3:6])[cH:3][cH:2]1.[c:12]1([cH:19][cH:18][cH:17][cH:16][cH:15]1)[O:13][CH3:14]>>[C:9]([c:17]1[cH:18][cH:19][c:12]([O:13][CH3:14])[cH:15][cH:16]1)([c:1]1[cH:8][cH:7][c:4]([O:5][CH3:6])[cH:3][cH:2]1)=[O:10]
12,c1(OC)ccccc1.C1(CCCCC1)C(=O)Cl>>C(=O)(C1CCCCC1)c2ccc(OC)cc2,c1(ccccc1)OC.C1(C(Cl)=O)CCCCC1>>C(c1ccc(OC)cc1)(C1CCCCC1)=O,[c:1]1([cH:8][cH:7][cH:6][cH:5][cH:4]1)[O:2][CH3:3].[CH:9]1([C:15](Cl)=[O:16])[CH2:14][CH2:13][CH2:12][CH2:11][CH2:10]1>>[C:15]([c:6]1[cH:7][cH:8][c:1]([O:2][CH3:3])[cH:4][cH:5]1)([CH:9]1[CH2:14][CH2:13][CH2:12][CH2:11][CH2:10]1)=[O:16]
13,c1(OC)ccccc1.c1(ccccc1)CCC(=O)Cl>>c1(ccc(OC)cc1)C(=O)CCc2ccccc2,c1(ccccc1)OC.c1(CCC(Cl)=O)ccccc1>>c1(C(CCc2ccccc2)=O)ccc(OC)cc1,[c:1]1([cH:8][cH:7][cH:6][cH:5][cH:4]1)[O:2][CH3:3].[c:9]1([CH2:15][CH2:16][C:17](Cl)=[O:18])[cH:14][cH:13][cH:12][cH:11][cH:10]1>>[c:6]1([C:17]([CH2:16][CH2:15][c:9]2[cH:14][cH:13][cH:12][cH:11][cH:10]2)=[O:18])[cH:7][cH:8][c:1]([O:2][CH3:3])[cH:4][cH:5]1
14,C(=O)(Cl)CC.c1(OC)ccccc1>>c1(ccc(OC)cc1)C(=O)CC,C(CC)(Cl)=O.c1(ccccc1)OC>>c1(C(CC)=O)ccc(OC)cc1,[C:1]([CH2:4][CH3:5])(Cl)=[O:2].[c:6]1([cH:13][cH:12][cH:11][cH:10][cH:9]1)[O:7][CH3:8]>>[c:11]1([C:1]([CH2:4][CH3:5])=[O:2])[cH:12][cH:13][c:6]([O:7][CH3:8])[cH:9][cH:10]1
15,c1(OC)ccccc1OC.c1(ccccc1)C(=O)Cl>>c1(ccc(OC)c(OC)c1)C(=O)c2ccccc2,c1(c(OC)cccc1)OC.c1(C(Cl)=O)ccccc1>>c1(C(c2ccccc2)=O)cc(OC)c(OC)cc1,[c:1]1([c:8]([O:9][CH3:10])[cH:7][cH:6][cH:5][cH:4]1)[O:2][CH3:3].[c:11]1([C:17](Cl)=[O:18])[cH:16][cH:15][cH:14][cH:13][cH:12]1>>[c:6]1([C:17]([c:11]2[cH:16][cH:15][cH:14][cH:13][cH:12]2)=[O:18])[cH:7][c:8]([O:9][CH3:10])[c:1]([O:2][CH3:3])[cH:4][cH:5]1
16,c1(OC)ccccc1Cl.c1(ccccc1)C(=O)Cl>>c1(ccc(OC)c(Cl)c1)C(=O)c2ccccc2,c1(c(Cl)cccc1)OC.c1(C(Cl)=O)ccccc1>>c1(C(c2ccccc2)=O)cc(Cl)c(OC)cc1,[c:1]1([c:8]([Cl:9])[cH:7][cH:6][cH:5][cH:4]1)[O:2][CH3:3].[c:10]1([C:16](Cl)=[O:17])[cH:15][cH:14][cH:13][cH:12][cH:11]1>>[c:6]1([C:16]([c:10]2[cH:15][cH:14][cH:13][cH:12][cH:11]2)=[O:17])[cH:7][c:8]([Cl:9])[c:1]([O:2][CH3:3])[cH:4][cH:5]1
17,c1(ccccc1)C(=O)Cl.c1(OC)cccc(OC)c1>>c1(ccc(OC)cc1OC)C(=O)c2ccccc2,c1(C(Cl)=O)ccccc1.c1(cc(OC)ccc1)OC>>c1(C(c2ccccc2)=O)c(OC)cc(OC)cc1,[c:1]1([C:7](Cl)=[O:8])[cH:6][cH:5][cH:4][cH:3][cH:2]1.[c:10]1([cH:19][c:16]([O:17][CH3:18])[cH:15][cH:14][cH:13]1)[O:11][CH3:12]>>[c:15]1([C:7]([c:1]2[cH:6][cH:5][cH:4][cH:3][cH:2]2)=[O:8])[c:16]([O:17][CH3:18])[cH:19][c:10]([O:11][CH3:12])[cH:13][cH:14]1
18,c1(ccc(C(=O)Cl)cc1)N(=O)=O.c1(OC)ccccc1>>C(=O)(c1ccc(OC)cc1)c2ccc(N(=O)=O)cc2,c1(N(=O)=O)ccc(C(Cl)=O)cc1.c1(ccccc1)OC>>C(c1ccc(N(=O)=O)cc1)(c1ccc(OC)cc1)=O,[c:1]1([N:10](=[O:12])=[O:11])[cH:9][cH:8][c:4]([C:5](Cl)=[O:6])[cH:3][cH:2]1.[c:13]1([cH:20][cH:19][cH:18][cH:17][cH:16]1)[O:14][CH3:15]>>[C:5]([c:4]1[cH:8][cH:9][c:1]([N:10](=[O:12])=[O:11])[cH:2][cH:3]1)([c:18]1[cH:19][cH:20][c:13]([O:14][CH3:15])[cH:16][cH:17]1)=[O:6]
19,C(=O)(Cl)CCCC.c1(OC)ccccc1>>c1(ccc(OC)cc1)C(=O)CCCC,C(CCCC)(Cl)=O.c1(ccccc1)OC>>c1(C(CCCC)=O)ccc(OC)cc1,[C:1]([CH2:4][CH2:5][CH2:6][CH3:7])(Cl)=[O:2].[c:8]1([cH:15][cH:14][cH:13][cH:12][cH:11]1)[O:9][CH3:10]>>[c:13]1([C:1]([CH2:4][CH2:5][CH2:6][CH3:7])=[O:2])[cH:14][cH:15][c:8]([O:9][CH3:10])[cH:11][cH:12]1
