,raw_ractions,transformed_reactions,automap
10,c1(Br)ccc(N)cn1.c1(ccccc1)B(O)O>>c1(ccc(N)cn1)c2ccccc2,c1(ncc(N)cc1)Br.c1(B(O)O)ccccc1>>c1(-c2ccccc2)ncc(N)cc1,[c:1]1([n:8][cH:7][c:5]([NH2:6])[cH:4][cH:3]1)Br.[c:9]1(B(O)O)[cH:14][cH:13][cH:12][cH:11][cH:10]1>>[c:1]1(-[c:9]2[cH:14][cH:13][cH:12][cH:11][cH:10]2)[n:8][cH:7][c:5]([NH2:6])[cH:4][cH:3]1
11,c1(cccc(Cl)c1)B(O)O.c1(C=O)ccccc1Br>>c1(cccc(Cl)c1)c2ccccc2C=O,c1(B(O)O)cc(Cl)ccc1.c1(c(Br)cccc1)C=O>>c1(-c2c(C=O)cccc2)cc(Cl)ccc1,[c:1]1(B(O)O)[cH:7][c:5]([Cl:6])[cH:4][cH:3][cH:2]1.[c:11]1([c:18](Br)[cH:17][cH:16][cH:15][cH:14]1)[CH:12]=[O:13]>>[c:1]1(-[c:14]2[c:11]([CH:12]=[O:13])[cH:18][cH:17][cH:16][cH:15]2)[cH:7][c:5]([Cl:6])[cH:4][cH:3][cH:2]1
12,c1(ccccc1C)B(O)O.c1(ccc(Br)c(C)c1)C(=O)OC>>c1(ccc(C(=O)OC)cc1C)c2ccccc2C,c1(B(O)O)c(C)cccc1.c1(C(OC)=O)cc(C)c(Br)cc1>>c1(-c2c(C)cccc2)c(C)cc(C(OC)=O)cc1,[c:1]1(B(O)O)[c:6]([CH3:7])[cH:5][cH:4][cH:3][cH:2]1.[c:11]1([C:19]([O:21][CH3:22])=[O:20])[cH:18][c:16]([CH3:17])[c:14](Br)[cH:13][cH:12]1>>[c:14]1(-[c:5]2[c:6]([CH3:7])[cH:1][cH:2][cH:3][cH:4]2)[c:16]([CH3:17])[cH:18][c:11]([C:19]([O:21][CH3:22])=[O:20])[cH:12][cH:13]1
13,c1(C=O)cccc(Br)c1.c1(B(O)O)c(C)cccc1C>>c1(c(C)cccc1C)c2cccc(C=O)c2,c1(cc(Br)ccc1)C=O.c1(c(C)cccc1C)B(O)O>>c1(-c2cc(C=O)ccc2)c(C)cccc1C,[c:1]1([cH:9][c:7](Br)[cH:6][cH:5][cH:4]1)[CH:2]=[O:3].[c:10]1([c:19]([CH3:20])[cH:18][cH:17][cH:16][c:14]1[CH3:15])B(O)O>>[c:10]1(-[c:7]2[cH:9][c:1]([CH:2]=[O:3])[cH:4][cH:5][cH:6]2)[c:19]([CH3:20])[cH:18][cH:17][cH:16][c:14]1[CH3:15]
14,c1c(C)ccnc1Br.c1(F)cc(F)ccc1B(O)O>>c1(ccc(F)cc1F)c2nccc(C)c2,c1c(Br)nccc1C.c1(c(B(O)O)ccc(F)c1)F>>c1(-c2cc(C)ccn2)c(F)cc(F)cc1,[cH:1]1[c:7](Br)[n:6][cH:5][cH:4][c:2]1[CH3:3].[c:9]1([c:16](B(O)O)[cH:15][cH:14][c:12]([F:13])[cH:11]1)[F:10]>>[c:14]1(-[c:7]2[cH:1][c:2]([CH3:3])[cH:4][cH:5][n:6]2)[c:12]([F:13])[cH:11][c:9]([F:10])[cH:16][cH:15]1
15,c12c([nH]cc1)cccc2Br.c1(ccccc1)B(O)O>>c12c(cccc1c3ccccc3)[nH]cc2,c12c(Br)cccc1[nH]cc2.c1(B(O)O)ccccc1>>c12cc[nH]c1cccc2-c1ccccc1,[c:1]12[c:9](Br)[cH:8][cH:7][cH:6][c:2]1[nH:3][cH:4][cH:5]2.[c:11]1(B(O)O)[cH:16][cH:15][cH:14][cH:13][cH:12]1>>[c:1]12[cH:5][cH:4][nH:3][c:2]1[cH:6][cH:7][cH:8][c:9]2-[c:11]1[cH:16][cH:15][cH:14][cH:13][cH:12]1
16,c12c(OCO1)cc(Br)c(C=O)c2.c1(ccccc1)B(O)O>>c1(cc2c(OCO2)cc1C=O)c3ccccc3,c12cc(C=O)c(Br)cc1OCO2.c1(B(O)O)ccccc1>>c1(-c2ccccc2)c(C=O)cc2OCOc2c1,[c:1]12[cH:12][c:9]([CH:10]=[O:11])[c:7](Br)[cH:6][c:2]1[O:3][CH2:4][O:5]2.[c:13]1(B(O)O)[cH:18][cH:17][cH:16][cH:15][cH:14]1>>[c:7]1(-[c:13]2[cH:18][cH:17][cH:16][cH:15][cH:14]2)[c:9]([CH:10]=[O:11])[cH:12][c:1]2[O:5][CH2:4][O:3][c:2]2[cH:6]1
17,c1(ccc(Br)nc1)NC(=O)NCCCCN2CCCCC2.c1(B(O)O)cc(OC)ccc1F>>c1(cc(OC)ccc1F)c2ccc(NC(=O)NCCCCN3CCCCC3)cn2,c1(NC(NCCCCN2CCCCC2)=O)cnc(Br)cc1.c1(c(F)ccc(OC)c1)B(O)O>>c1(-c2ncc(NC(NCCCCN3CCCCC3)=O)cc2)c(F)ccc(OC)c1,[c:1]1([NH:8][C:9]([NH:11][CH2:12][CH2:13][CH2:14][CH2:15][N:16]2[CH2:21][CH2:20][CH2:19][CH2:18][CH2:17]2)=[O:10])[cH:7][n:6][c:4](Br)[cH:3][cH:2]1.[c:22]1([c:32]([F:33])[cH:31][cH:30][c:27]([O:28][CH3:29])[cH:26]1)B(O)O>>[c:31]1(-[c:4]2[n:6][cH:7][c:1]([NH:8][C:9]([NH:11][CH2:12][CH2:13][CH2:14][CH2:15][N:16]3[CH2:21][CH2:20][CH2:19][CH2:18][CH2:17]3)=[O:10])[cH:2][cH:3]2)[c:32]([F:33])[cH:22][cH:26][c:27]([O:28][CH3:29])[cH:30]1
18,c1(ccc(F)cc1)B(O)O.c1(C=O)cc(Br)ccc1O>>c1(ccc(O)c(C=O)c1)c2ccc(F)cc2,c1(B(O)O)ccc(F)cc1.c1(c(O)ccc(Br)c1)C=O>>c1(-c2ccc(F)cc2)cc(C=O)c(O)cc1,[c:1]1(B(O)O)[cH:7][cH:6][c:4]([F:5])[cH:3][cH:2]1.[c:11]1([c:19]([OH:20])[cH:18][cH:17][c:15](Br)[cH:14]1)[CH:12]=[O:13]>>[c:15]1(-[c:1]2[cH:7][cH:6][c:4]([F:5])[cH:3][cH:2]2)[cH:14][c:11]([CH:12]=[O:13])[c:19]([OH:20])[cH:18][cH:17]1
19,c1(Br)nc(C)ccc1F.c1(B(O)O)c(F)cccc1F>>c1(c(F)cccc1F)c2nc(C)ccc2F,c1(c(F)ccc(C)n1)Br.c1(c(F)cccc1F)B(O)O>>c1(-c2c(F)ccc(C)n2)c(F)cccc1F,[c:1]1([c:8]([F:9])[cH:7][cH:6][c:4]([CH3:5])[n:3]1)Br.[c:10]1([c:19]([F:20])[cH:18][cH:17][cH:16][c:14]1[F:15])B(O)O>>[c:10]1(-[c:1]2[c:8]([F:9])[cH:7][cH:6][c:4]([CH3:5])[n:3]2)[c:19]([F:20])[cH:18][cH:17][cH:16][c:14]1[F:15]
