,raw_ractions,transformed_reactions,automap
0,c1(cc(N)nn1C(=O)OC(C)(C)C)C2CC2>>C1(CC1)(C(=O)Nc2n[nH]c(C3CC3)c2)c4cccc(c5ccc(NC(=O)\C=C\CN6CCCC6)nc5)c4,c1(C2CC2)[n](C(OC(C)(C)C)=O)nc(N)c1>>C1(c2cc(-c3cnc(NC(/C=C/CN4CCCC4)=O)cc3)ccc2)(C(Nc2cc(C3CC3)[nH]n2)=O)CC1,[c:1]1([CH:14]2[CH2:16][CH2:15]2)[n:6](C(OC(C)(C)C)=O)[n:5][c:3]([NH2:4])[cH:2]1>>C1(c2cc(-c3cnc(NC(/C=C/CN4CCCC4)=O)cc3)ccc2)(C([NH:4][c:3]2[cH:2][c:1]([CH:14]3[CH2:15][CH2:16]3)[nH:6][n:5]2)=O)CC1
1,c1(cc(N)nn1C(=O)OC(C)(C)C)C2CC2>>C1(C)(C)OB(c2cccc(C(C)(C)C(=O)Nc3nn(C(=O)OC(C)(C)C)c(C4CC4)c3)c2)OC1(C)C,c1(C2CC2)[n](C(OC(C)(C)C)=O)nc(N)c1>>C1(C(C)(C)OB(c2cc(C(C(Nc3cc(C4CC4)[n](C(OC(C)(C)C)=O)n3)=O)(C)C)ccc2)O1)(C)C,[c:1]1([CH:14]2[CH2:16][CH2:15]2)[n:6]([C:7]([O:9][C:10]([CH3:13])([CH3:12])[CH3:11])=[O:8])[n:5][c:3]([NH2:4])[cH:2]1>>C1(C(C)(C)OB(c2cc(C(C([NH:4][c:3]3[cH:2][c:1]([CH:14]4[CH2:16][CH2:15]4)[n:6]([C:7]([O:9][C:10]([CH3:12])([CH3:13])[CH3:11])=[O:8])[n:5]3)=O)(C)C)ccc2)O1)(C)C
2,c1(cc(N)nn1C(=O)OC(C)(C)C)C2CC2>>C(C)(C)(C(=O)Nc1n[nH]c(C2CC2)c1)c3cccc(c4ccc(NC(=O)\C=C\CN5CCCC5)nc4)c3,c1(C2CC2)[n](C(OC(C)(C)C)=O)nc(N)c1>>C(c1cc(-c2cnc(NC(/C=C/CN3CCCC3)=O)cc2)ccc1)(C(Nc1cc(C2CC2)[nH]n1)=O)(C)C,[c:1]1([CH:14]2[CH2:16][CH2:15]2)[n:6](C(OC(C)(C)C)=O)[n:5][c:3]([NH2:4])[cH:2]1>>C(c1cc(-c2cnc(NC(/C=C/CN3CCCC3)=O)cc2)ccc1)(C([NH:4][c:3]1[cH:2][c:1]([CH:14]2[CH2:15][CH2:16]2)[nH:6][n:5]1)=O)(C)C
3,c1(cc(N)nn1C(=O)OC(C)(C)C)C2CC2>>c1([nH]nc(NC(=O)[C@@H](C)c2cccc(c3ccc(NC(=O)\C=C\CN4CCOCC4)nc3)c2)c1)C5CC5,c1(C2CC2)[n](C(OC(C)(C)C)=O)nc(N)c1>>c1(C2CC2)cc(NC([C@H](c2cc(-c3cnc(NC(/C=C/CN4CCOCC4)=O)cc3)ccc2)C)=O)n[nH]1,[c:1]1([CH:14]2[CH2:16][CH2:15]2)[n:6](C(OC(C)(C)C)=O)[n:5][c:3]([NH2:4])[cH:2]1>>[c:1]1([CH:14]2[CH2:15][CH2:16]2)[cH:2][c:3]([NH:4]C([C@H](c2cc(-c3cnc(NC(/C=C/CN4CCOCC4)=O)cc3)ccc2)C)=O)[n:5][nH:6]1
4,c1(cc(NC(=O)C(C)c2cccc(Br)c2)nn1C(=O)OC(C)(C)C)C3CC3>>C(F)(F)(F)C(=O)O.c1([nH]nc(NC(=O)C(C)c2cccc(C3=CCNCC3)c2)c1)C4CC4,c1(C2CC2)[n](C(OC(C)(C)C)=O)nc(NC(C(c2cc(Br)ccc2)C)=O)c1>>C(C(O)=O)(F)(F)F.c1(C2CC2)cc(NC(C(c2cc(C3CCNCC=3)ccc2)C)=O)n[nH]1,[c:1]1([CH:25]2[CH2:27][CH2:26]2)[n:17](C([O:20][C:21]([CH3:24])(C)C)=O)[n:16][c:3]([NH:4][C:5]([CH:7]([c:9]2[cH:15][c:13](Br)[cH:12][cH:11][cH:10]2)[CH3:8])=[O:6])[cH:2]1>>[C:24]([C:21]([OH:20])=O)(F)(F)F.[c:1]1([CH:25]2[CH2:26][CH2:27]2)[cH:2][c:3]([NH:4][C:5]([CH:7]([c:9]2[cH:15][c:13](C3CCNCC=3)[cH:12][cH:11][cH:10]2)[CH3:8])=[O:6])[n:16][nH:17]1
5,c1(cc(NC(=O)C(C)c2cccc(Br)c2)nn1C(=O)OC(C)(C)C)C3CC3>>c1([nH]nc(NC(=O)C(C)c2cccc(C3=CCN(C(=O)\C=C\CN(C)C)CC3)c2)c1)C4CC4,c1(C2CC2)[n](C(OC(C)(C)C)=O)nc(NC(C(c2cc(Br)ccc2)C)=O)c1>>c1(C2CC2)cc(NC(C(c2cc(C3CCN(C(/C=C/CN(C)C)=O)CC=3)ccc2)C)=O)n[nH]1,[c:1]1([CH:25]2[CH2:27][CH2:26]2)[n:17](C(OC(C)(C)C)=O)[n:16][c:3]([NH:4][C:5]([CH:7]([c:9]2[cH:15][c:13](Br)[cH:12][cH:11][cH:10]2)[CH3:8])=[O:6])[cH:2]1>>[c:1]1([CH:25]2[CH2:26][CH2:27]2)[cH:2][c:3]([NH:4][C:5]([CH:7]([c:9]2[cH:15][c:13](C3CCN(C(/C=C/CN(C)C)=O)CC=3)[cH:12][cH:11][cH:10]2)[CH3:8])=[O:6])[n:16][nH:17]1
6,c1(cc(NC(=O)C(C)c2cccc(Br)c2)nn1C(=O)OC(C)(C)C)C3CC3>>c1([nH]nc(NC(=O)C(C)c2cccc(C3CCN(C(=O)OC(C)(C)C)CC3)c2)c1)C4CC4,c1(C2CC2)[n](C(OC(C)(C)C)=O)nc(NC(C(c2cc(Br)ccc2)C)=O)c1>>c1(C2CC2)cc(NC(C(c2cc(C3CCN(C(OC(C)(C)C)=O)CC3)ccc2)C)=O)n[nH]1,[c:1]1([CH:25]2[CH2:27][CH2:26]2)[n:17](C(OC(C)(C)C)=O)[n:16][c:3]([NH:4][C:5]([CH:7]([c:9]2[cH:15][c:13](Br)[cH:12][cH:11][cH:10]2)[CH3:8])=[O:6])[cH:2]1>>[c:1]1([CH:25]2[CH2:26][CH2:27]2)[cH:2][c:3]([NH:4][C:5]([CH:7]([c:9]2[cH:15][c:13](C3CCN(C(OC(C)(C)C)=O)CC3)[cH:12][cH:11][cH:10]2)[CH3:8])=[O:6])[n:16][nH:17]1
7,c1(cc(NC(=O)C(C)c2cccc(Br)c2)nn1C(=O)OC(C)(C)C)C3CC3>>C(F)(F)(F)C(=O)O.c1([nH]nc(NC(=O)C(C)c2cccc(C3CCNCC3)c2)c1)C4CC4,c1(C2CC2)[n](C(OC(C)(C)C)=O)nc(NC(C(c2cc(Br)ccc2)C)=O)c1>>C(C(O)=O)(F)(F)F.c1(C2CC2)cc(NC(C(c2cc(C3CCNCC3)ccc2)C)=O)n[nH]1,[c:1]1([CH:25]2[CH2:27][CH2:26]2)[n:17](C([O:20][C:21]([CH3:24])(C)C)=O)[n:16][c:3]([NH:4][C:5]([CH:7]([c:9]2[cH:15][c:13](Br)[cH:12][cH:11][cH:10]2)[CH3:8])=[O:6])[cH:2]1>>[C:24]([C:21]([OH:20])=O)(F)(F)F.[c:1]1([CH:25]2[CH2:26][CH2:27]2)[cH:2][c:3]([NH:4][C:5]([CH:7]([c:9]2[cH:15][c:13](C3CCNCC3)[cH:12][cH:11][cH:10]2)[CH3:8])=[O:6])[n:16][nH:17]1
8,c1(cc(NC(=O)C(C)c2cccc(Br)c2)nn1C(=O)OC(C)(C)C)C3CC3>>c1([nH]nc(NC(=O)C(C)c2cccc(C3CCN(C(=O)\C=C\CN(C)C)CC3)c2)c1)C4CC4,c1(C2CC2)[n](C(OC(C)(C)C)=O)nc(NC(C(c2cc(Br)ccc2)C)=O)c1>>c1(C2CC2)cc(NC(C(c2cc(C3CCN(C(/C=C/CN(C)C)=O)CC3)ccc2)C)=O)n[nH]1,[c:1]1([CH:25]2[CH2:27][CH2:26]2)[n:17](C(OC(C)(C)C)=O)[n:16][c:3]([NH:4][C:5]([CH:7]([c:9]2[cH:15][c:13](Br)[cH:12][cH:11][cH:10]2)[CH3:8])=[O:6])[cH:2]1>>[c:1]1([CH:25]2[CH2:26][CH2:27]2)[cH:2][c:3]([NH:4][C:5]([CH:7]([c:9]2[cH:15][c:13](C3CCN(C(/C=C/CN(C)C)=O)CC3)[cH:12][cH:11][cH:10]2)[CH3:8])=[O:6])[n:16][nH:17]1
9,c1(cc(NC(=O)C(C)c2cccc(Br)c2)nn1C(=O)OC(C)(C)C)C3CC3>>c1([nH]nc(NC(=O)C(C)c2cccc(c3cncc(N)n3)c2)c1)C4CC4,c1(C2CC2)[n](C(OC(C)(C)C)=O)nc(NC(C(c2cc(Br)ccc2)C)=O)c1>>c1(C2CC2)cc(NC(C(c2cc(-c3nc(N)cnc3)ccc2)C)=O)n[nH]1,[c:1]1([CH:25]2[CH2:27][CH2:26]2)[n:17](C(OC(C)(C)C)=O)[n:16][c:3]([NH:4][C:5]([CH:7]([c:9]2[cH:15][c:13](Br)[cH:12][cH:11][cH:10]2)[CH3:8])=[O:6])[cH:2]1>>[c:1]1([CH:25]2[CH2:26][CH2:27]2)[cH:2][c:3]([NH:4][C:5]([CH:7]([c:9]2[cH:15][c:13](-c3nc(N)cnc3)[cH:12][cH:11][cH:10]2)[CH3:8])=[O:6])[n:16][nH:17]1
10,c1(cc(NC(=O)C(C)c2cccc(Br)c2)nn1C(=O)OC(C)(C)C)C3CC3>>c1(cccc(C(C)C(=O)Nc2n[nH]c(C3CC3)c2)c1)c4cncc(NC(=O)\C=C\CN5CCCC5)n4,c1(C2CC2)[n](C(OC(C)(C)C)=O)nc(NC(C(c2cc(Br)ccc2)C)=O)c1>>c1(-c2nc(NC(/C=C/CN3CCCC3)=O)cnc2)cc(C(C(Nc2cc(C3CC3)[nH]n2)=O)C)ccc1,[c:1]1([CH:25]2[CH2:27][CH2:26]2)[n:17](C(OC(C)(C)C)=O)[n:16][c:3]([NH:4][C:5]([CH:7]([c:9]2[cH:15][c:13](Br)[cH:12][cH:11][cH:10]2)[CH3:8])=[O:6])[cH:2]1>>[c:13]1(-c2nc(NC(/C=C/CN3CCCC3)=O)cnc2)[cH:15][c:9]([CH:7]([C:5]([NH:4][c:3]2[cH:2][c:1]([CH:25]3[CH2:26][CH2:27]3)[nH:17][n:16]2)=[O:6])[CH3:8])[cH:10][cH:11][cH:12]1
