,raw_ractions,transformed_reactions,automap
0,[C@]12(O[C@]([H])(C=C1)C3)[C@]3([H])C(=O)N(c4ccccc4)C2>>[C@]12(O[C@]([H])(CC1)C3)[C@]3([H])C(=O)N(c4ccccc4)C2,[C@]123CN(c4ccccc4)C(=O)[C@]1([H])C[C@](C=C2)([H])O3>>[C@]123CN(c4ccccc4)C(=O)[C@]1([H])C[C@](CC2)([H])O3,[C@:1]123[CH2:19][N:12]([c:13]4[cH:18][cH:17][cH:16][cH:15][cH:14]4)[C:10](=[O:11])[C@:8]1([H])[CH2:7][C@:3]([CH:5]=[CH:6]2)([H])[O:2]3>>[C@:1]123[CH2:19][N:12]([c:13]4[cH:18][cH:17][cH:16][cH:15][cH:14]4)[C:10](=[O:11])[C@:8]1([H])[CH2:7][C@:3]([CH2:5][CH2:6]2)([H])[O:2]3
1,[C@]12(O[C@]([H])(C=C1)C3)[C@]3([H])C(=O)N(c4ccccc4)C2>>[C@]12(O[C@]([H])([C@H]([2H])[C@@H]1[2H])C3)[C@]3([H])C(=O)N(c4ccccc4)C2,[C@]123CN(c4ccccc4)C(=O)[C@]1([H])C[C@](C=C2)([H])O3>>[C@]123CN(c4ccccc4)C(=O)[C@]1([H])C[C@]([C@@H]([C@@H]2[2H])[2H])([H])O3,[C@:1]123[CH2:19][N:12]([c:13]4[cH:18][cH:17][cH:16][cH:15][cH:14]4)[C:10](=[O:11])[C@:8]1([H])[CH2:7][C@:3]([CH:5]=[CH:6]2)([H])[O:2]3>>[C@:1]123[CH2:19][N:12]([c:13]4[cH:18][cH:17][cH:16][cH:15][cH:14]4)[C:10](=[O:11])[C@:8]1([H])[CH2:7][C@:3]([C@@H:5]([C@@H:6]2[2H])[2H])([H])[O:2]3
2,[C@]12(O[C@](C)(C=C1)C3)[C@]3([H])C(=O)N(c4ccccc4)C2>>[C@]12(O[C@](C)(CC1)C3)[C@]3([H])C(=O)N(c4ccccc4)C2,[C@]123CN(c4ccccc4)C(=O)[C@]1([H])C[C@](C=C2)(C)O3>>[C@]123CN(c4ccccc4)C(=O)[C@]1([H])C[C@](CC2)(C)O3,[C@:1]123[CH2:19][N:12]([c:13]4[cH:18][cH:17][cH:16][cH:15][cH:14]4)[C:10](=[O:11])[C@:8]1([H])[CH2:7][C@:3]([CH:5]=[CH:6]2)([CH3:4])[O:2]3>>[C@:1]123[CH2:19][N:12]([c:13]4[cH:18][cH:17][cH:16][cH:15][cH:14]4)[C:10](=[O:11])[C@:8]1([H])[CH2:7][C@:3]([CH2:5][CH2:6]2)([CH3:4])[O:2]3
3,[C@@]12(O[C@@](CC)(C=C1)C3)[C@@]3([H])C(=O)N(c4ccccc4)C2>>[C@@]12(O[C@@](CC)(CC1)C3)[C@@]3([H])C(=O)N(c4ccccc4)C2,[C@@]123CN(c4ccccc4)C(=O)[C@@]1([H])C[C@@](C=C2)(CC)O3>>[C@@]123CN(c4ccccc4)C(=O)[C@@]1([H])C[C@@](CC2)(CC)O3,[C@@:1]123[CH2:20][N:13]([c:14]4[cH:19][cH:18][cH:17][cH:16][cH:15]4)[C:11](=[O:12])[C@@:9]1([H])[CH2:8][C@@:3]([CH:6]=[CH:7]2)([CH2:4][CH3:5])[O:2]3>>[C@@:1]123[CH2:20][N:13]([c:14]4[cH:19][cH:18][cH:17][cH:16][cH:15]4)[C:11](=[O:12])[C@@:9]1([H])[CH2:8][C@@:3]([CH2:6][CH2:7]2)([CH2:4][CH3:5])[O:2]3
4,[C@]12(O[C@]([H])(C=C1)C3)[C@]3(C)C(=O)N(c4ccccc4)C2>>[C@]12(O[C@]([H])(CC1)C3)[C@]3(C)C(=O)N(c4ccccc4)C2,[C@]123CN(c4ccccc4)C(=O)[C@]1(C)C[C@](C=C2)([H])O3>>[C@]123CN(c4ccccc4)C(=O)[C@]1(C)C[C@](CC2)([H])O3,[C@:1]123[CH2:19][N:12]([c:13]4[cH:18][cH:17][cH:16][cH:15][cH:14]4)[C:10](=[O:11])[C@:8]1([CH3:9])[CH2:7][C@:3]([CH:5]=[CH:6]2)([H])[O:2]3>>[C@:1]123[CH2:19][N:12]([c:13]4[cH:18][cH:17][cH:16][cH:15][cH:14]4)[C:10](=[O:11])[C@:8]1([CH3:9])[CH2:7][C@:3]([CH2:5][CH2:6]2)([H])[O:2]3
5,[C@]12(O[C@H](C=C1)C3)[C@]3([H])C(=O)N(Cc4ccccc4)C2>>[C@]12(O[C@]([H])(CC1)C3)[C@]3([H])C(=O)N(Cc4ccccc4)C2,[C@]123CN(Cc4ccccc4)C(=O)[C@]1([H])C[C@@H](C=C2)O3>>[C@]123CN(Cc4ccccc4)C(=O)[C@]1([H])C[C@](CC2)([H])O3,[C@:1]123[CH2:19][N:11]([CH2:12][c:13]4[cH:18][cH:17][cH:16][cH:15][cH:14]4)[C:9](=[O:10])[C@:7]1([H])[CH2:6][C@@H:3]([CH:4]=[CH:5]2)[O:2]3>>[C@:1]123[CH2:19][N:11]([CH2:12][c:13]4[cH:18][cH:17][cH:16][cH:15][cH:14]4)[C:9](=[O:10])[C@:7]1([H])[CH2:6][C@:3]([CH2:4][CH2:5]2)([H])[O:2]3
6,[C@]12(O[C@]([H])(C=C1)C3)[C@]3(C)C(=O)N(Cc4ccccc4)C2>>[C@]12(O[C@]([H])(CC1)C3)[C@]3(C)C(=O)N(Cc4ccccc4)C2,[C@]123CN(Cc4ccccc4)C(=O)[C@]1(C)C[C@](C=C2)([H])O3>>[C@]123CN(Cc4ccccc4)C(=O)[C@]1(C)C[C@](CC2)([H])O3,[C@:1]123[CH2:20][N:12]([CH2:13][c:14]4[cH:19][cH:18][cH:17][cH:16][cH:15]4)[C:10](=[O:11])[C@:8]1([CH3:9])[CH2:7][C@:3]([CH:5]=[CH:6]2)([H])[O:2]3>>[C@:1]123[CH2:20][N:12]([CH2:13][c:14]4[cH:19][cH:18][cH:17][cH:16][cH:15]4)[C:10](=[O:11])[C@:8]1([CH3:9])[CH2:7][C@:3]([CH2:5][CH2:6]2)([H])[O:2]3
7,[C@@]12(O[C@@]([H])(C=C1)[C@@H]3C(=O)O)[C@@]3([H])C(=O)N(Cc4ccccc4)C2>>[C@@]12(O[C@@]([H])(CC1)[C@@H]3C(=O)O)[C@@]3([H])C(=O)N(Cc4ccccc4)C2,[C@@]123CN(Cc4ccccc4)C(=O)[C@@]1([H])[C@@H](C(O)=O)[C@@](C=C2)([H])O3>>[C@@]123CN(Cc4ccccc4)C(=O)[C@@]1([H])[C@@H](C(O)=O)[C@@](CC2)([H])O3,[C@@:1]123[CH2:23][N:15]([CH2:16][c:17]4[cH:22][cH:21][cH:20][cH:19][cH:18]4)[C:13](=[O:14])[C@@:11]1([H])[C@@H:7]([C:8]([OH:10])=[O:9])[C@@:3]([CH:5]=[CH:6]2)([H])[O:2]3>>[C@@:1]123[CH2:23][N:15]([CH2:16][c:17]4[cH:22][cH:21][cH:20][cH:19][cH:18]4)[C:13](=[O:14])[C@@:11]1([H])[C@@H:7]([C:8]([OH:10])=[O:9])[C@@:3]([CH2:5][CH2:6]2)([H])[O:2]3
8,[C@@]12(O[C@@]([H])(C=C1)[C@@H]3C(=O)OC)[C@@]3([H])C(=O)N(c4ccccc4)C2>>[C@@]12(O[C@@]([H])(CC1)[C@@H]3C(=O)OC)[C@@]3([H])C(=O)N(c4ccccc4)C2,[C@@]123CN(c4ccccc4)C(=O)[C@@]1([H])[C@@H](C(OC)=O)[C@@](C=C2)([H])O3>>[C@@]123CN(c4ccccc4)C(=O)[C@@]1([H])[C@@H](C(OC)=O)[C@@](CC2)([H])O3,[C@@:1]123[CH2:23][N:16]([c:17]4[cH:22][cH:21][cH:20][cH:19][cH:18]4)[C:14](=[O:15])[C@@:12]1([H])[C@@H:7]([C:8]([O:10][CH3:11])=[O:9])[C@@:3]([CH:5]=[CH:6]2)([H])[O:2]3>>[C@@:1]123[CH2:23][N:16]([c:17]4[cH:18][cH:19][cH:20][cH:21][cH:22]4)[C:14](=[O:15])[C@@:12]1([H])[C@@H:7]([C:8]([O:10][CH3:11])=[O:9])[C@@:3]([CH2:5][CH2:6]2)([H])[O:2]3
9,[C@@]12(O[C@@]([H])(C=C1)[C@@H]3C(=O)OC)[C@@]3([H])C(=O)N(c4ccccc4)C2>>[C@@]12(O[C@@]([H])([C@@H]([2H])[C@H]1[2H])[C@@H]3C(=O)OC)[C@@]3([H])C(=O)N(c4ccccc4)C2,[C@@]123CN(c4ccccc4)C(=O)[C@@]1([H])[C@@H](C(OC)=O)[C@@](C=C2)([H])O3>>[C@@]123CN(c4ccccc4)C(=O)[C@@]1([H])[C@@H](C(OC)=O)[C@@]([C@H]([C@H]2[2H])[2H])([H])O3,[C@@:1]123[CH2:23][N:16]([c:17]4[cH:22][cH:21][cH:20][cH:19][cH:18]4)[C:14](=[O:15])[C@@:12]1([H])[C@@H:7]([C:8]([O:10][CH3:11])=[O:9])[C@@:3]([CH:5]=[CH:6]2)([H])[O:2]3>>[C@@:1]123[CH2:23][N:16]([c:17]4[cH:18][cH:19][cH:20][cH:21][cH:22]4)[C:14](=[O:15])[C@@:12]1([H])[C@@H:7]([C:8]([O:10][CH3:11])=[O:9])[C@@:3]([C@H:5]([C@H:6]2[2H])[2H])([H])[O:2]3
