,raw_ractions,transformed_reactions,automap
16,c1(ccc(SC)nc1)N(=O)=O>>S(C)(=O)(=O)c1ccc(N(=O)=O)cn1,c1(N(=O)=O)cnc(SC)cc1>>S(c1ncc(N(=O)=O)cc1)(=O)(=O)C,[c:1]1([N:9](=[O:11])=[O:10])[cH:8][n:7][c:4](SC)[cH:3][cH:2]1>>S([c:4]1[n:7][cH:8][c:1]([N:9](=[O:11])=[O:10])[cH:2][cH:3]1)(=O)(=O)C
17,c1(SC)nc(Cl)cc(Cl)n1>>c1(SC)nc(N)cc(Cl)n1,c1(nc(Cl)cc(Cl)n1)SC>>c1(nc(Cl)cc(N)n1)SC,[c:1]1([n:10][c:8]([Cl:9])[cH:7][c:5](Cl)[n:4]1)[S:2][CH3:3]>>[c:1]1([n:10][c:8]([Cl:9])[cH:7][c:5](N)[n:4]1)[S:2][CH3:3]
18,c1(ccccc1OCc2ccccc2)N(=O)=O>>c1(ccccc1N)OCc2ccccc2,c1(N(=O)=O)c(OCc2ccccc2)cccc1>>c1(OCc2ccccc2)c(N)cccc1,[c:1]1(N(=O)=O)[c:6]([O:7][CH2:8][c:9]2[cH:14][cH:13][cH:12][cH:11][cH:10]2)[cH:5][cH:4][cH:3][cH:2]1>>[c:6]1([O:7][CH2:8][c:9]2[cH:14][cH:13][cH:12][cH:11][cH:10]2)[c:1](N)[cH:2][cH:3][cH:4][cH:5]1
19,c1(ccc(Cl)nc1)N(=O)=O.c1(O)ccccc1>>c1(ccc(N(=O)=O)cn1)Oc2ccccc2,c1(N(=O)=O)cnc(Cl)cc1.c1(ccccc1)O>>c1(Oc2ccccc2)ncc(N(=O)=O)cc1,[c:1]1([N:8](=[O:10])=[O:9])[cH:7][n:6][c:4](Cl)[cH:3][cH:2]1.[c:11]1([cH:17][cH:16][cH:15][cH:14][cH:13]1)[OH:12]>>[c:4]1([O:12][c:11]2[cH:17][cH:16][cH:15][cH:14][cH:13]2)[n:6][cH:7][c:1]([N:8](=[O:10])=[O:9])[cH:2][cH:3]1
20,c1(C=CC#N)ccccc1>>c1(CCC#N)ccccc1,c1(ccccc1)C=CC#N>>c1(ccccc1)CCC#N,[c:1]1([cH:10][cH:9][cH:8][cH:7][cH:6]1)[CH:2]=CC#N>>[c:1]1([cH:6][cH:7][cH:8][cH:9][cH:10]1)[CH2:2]CC#N
21,c12c(cccc1)oc(cccc3)c23>>c12c(ccc(I)c1)oc(cccc3)c23,c12c3ccccc3oc1cccc2>>c12c3ccccc3oc1ccc(c2)I,[c:1]12[c:13]3[cH:12][cH:11][cH:10][cH:9][c:8]3[o:7][c:2]1[cH:3][cH:4][cH:5][cH:6]2>>[c:1]12[c:13]3[cH:12][cH:11][cH:10][cH:9][c:8]3[o:7][c:2]1[cH:3][cH:4][c:5]([cH:6]2)I
22,c12c(cccc1CO)[nH]cc2>>c12c(cccc1C=O)[nH]cc2,c12cc[nH]c1cccc2CO>>c12cc[nH]c1cccc2C=O,[c:1]12[cH:11][cH:10][nH:9][c:2]1[cH:3][cH:4][cH:5][c:6]2[CH2:7]O>>[c:1]12[cH:11][cH:10][nH:9][c:2]1[cH:3][cH:4][cH:5][c:6]2[CH:7]=O
23,c1(OC)ccc(C)cc1>>c1(Cl)cc(C)ccc1OC,c1(ccc(C)cc1)OC>>c1(c(OC)ccc(C)c1)Cl,[c:1]1([cH:9][cH:8][c:6]([CH3:7])[cH:5][cH:4]1)[O:2][CH3:3]>>[c:9]1([c:1]([O:2][CH3:3])[cH:4][cH:5][c:6]([CH3:7])[cH:8]1)Cl
24,c1(ccccn1)CC(=O)OCC>>C1(CCCCN1)CC(=O)OCC,c1(CC(OCC)=O)ncccc1>>C1(CC(OCC)=O)NCCCC1,[c:1]1([CH2:7][C:8]([O:10][CH2:11][CH3:12])=[O:9])[n:6][cH:5][cH:4][cH:3][cH:2]1>>[CH:1]1([CH2:7][C:8]([O:10][CH2:11][CH3:12])=[O:9])[NH:6][CH2:5][CH2:4][CH2:3][CH2:2]1
25,c1(ccc(O)cc1O)C(=O)CC>>c1(CCC)ccc(O)cc1O,c1(C(CC)=O)c(O)cc(O)cc1>>c1(c(O)cc(O)cc1)CCC,[c:1]1([C:9]([CH2:11][CH3:12])=O)[c:7]([OH:8])[cH:6][c:4]([OH:5])[cH:3][cH:2]1>>[c:1]1([c:7]([OH:8])[cH:6][c:4]([OH:5])[cH:3][cH:2]1)[CH2:9][CH2:11][CH3:12]
