,raw_ractions,transformed_reactions,automap
4697,c1(c2cc(C)ccc2OC)c3c(CCCC3)c(C(=O)OCC)n1C(=O)OC(C)(C)C>>C(c1ccccc1)(=C2N=C(c3cc(C)ccc3OC)C(CCCC4)=C24)c5[nH]c(c6cc(C)ccc6OC)c(CCCC7)c57,c1([n](C(OC(C)(C)C)=O)c(C(OCC)=O)c2CCCCc12)-c1c(OC)ccc(C)c1>>C(c1c2CCCCc2c(-c2c(OC)ccc(C)c2)[nH]1)(=C1C2CCCCC=2C(c2c(OC)ccc(C)c2)=N1)c1ccccc1,[c:1]1([n:23](C(OC(C)(C)C)=O)[c:17](C(OCC)=O)[c:12]2[CH2:13][CH2:14][CH2:15][CH2:16][c:11]12)-c1c(OC)ccc(C)c1>>C([c:1]1[c:11]2[CH2:16][CH2:15][CH2:14][CH2:13][c:12]2[c:17](-c2c(OC)ccc(C)c2)[nH:23]1)(=[C:17]1[C:12]2[CH2:13][CH2:14][CH2:15][CH2:16][C:11]=2[C:1](c2c(OC)ccc(C)c2)=[N:23]1)c1ccccc1
4698,c1(c2cc(F)ccc2OC)c3c(CCCC3)c(C(=O)OCC)n1C(=O)OC(C)(C)C>>C(c1ccccc1)(c2[nH]c(c3cc(F)ccc3OC)c(CCCC4)c24)c5[nH]c(c6cc(F)ccc6OC)c(CCCC7)c57,c1([n](C(OC(C)(C)C)=O)c(C(OCC)=O)c2CCCCc12)-c1c(OC)ccc(F)c1>>C(c1c2CCCCc2c(-c2c(OC)ccc(F)c2)[nH]1)(c1c2CCCCc2c(-c2c(OC)ccc(F)c2)[nH]1)c1ccccc1,[c:1]1([n:23](C(OC(C)(C)C)=O)[c:17]([C:18](OCC)=O)[c:12]2[CH2:13][CH2:14][CH2:15][CH2:16][c:11]12)-c1c(OC)ccc(F)c1>>[CH:18]([c:1]1[c:11]2[CH2:16][CH2:15][CH2:14][CH2:13][c:12]2[c:17](-[c:18]2c(OC)ccc(F)c2)[nH:23]1)([c:17]1[c:12]2[CH2:13][CH2:14][CH2:15][CH2:16][c:11]2[c:1](-c2c(OC)ccc(F)c2)[nH:23]1)c1ccccc1
4699,c1(c2cc(F)ccc2OC)c3c(CCCC3)c(C(=O)OCC)n1C(=O)OC(C)(C)C>>C(c1ccccc1)(=C2N=C(c3cc(F)ccc3OC)C(CCCC4)=C24)c5[nH]c(c6cc(F)ccc6OC)c(CCCC7)c57,c1([n](C(OC(C)(C)C)=O)c(C(OCC)=O)c2CCCCc12)-c1c(OC)ccc(F)c1>>C(c1c2CCCCc2c(-c2c(OC)ccc(F)c2)[nH]1)(=C1C2CCCCC=2C(c2c(OC)ccc(F)c2)=N1)c1ccccc1,[c:1]1([n:23](C(OC(C)(C)C)=O)[c:17](C(OCC)=O)[c:12]2[CH2:13][CH2:14][CH2:15][CH2:16][c:11]12)-[c:2]1[c:8]([O:9]C)[cH:7][cH:6][c:4]([F:5])[cH:3]1>>[C:1]([c:17]1[c:12]2[CH2:13][CH2:14][CH2:15][CH2:16][c:11]2[c:1](-[c:2]2[c:8]([O:9]C)[cH:7][cH:6][c:4]([F:5])[cH:3]2)[nH:23]1)(=[C:17]1[C:12]2[CH2:13][CH2:14][CH2:15][CH2:16][C:11]=2[C:1]([c:2]2[c:8]([O:9]C)[cH:7][cH:6][c:4]([F:5])[cH:3]2)=[N:23]1)[c:2]1[cH:8][cH:7][cH:6][cH:4][cH:3]1
4700,c1([nH]cc(CCCC2)c12)c3ccccc3OCc4ccccc4>>C(c1ccccc1)(=C2N=C(c3ccccc3OCc4ccccc4)C(CCCC5)=C25)c6[nH]c(c7ccccc7OCc8ccccc8)c(CCCC9)c69,c1(-c2c(OCc3ccccc3)cccc2)c2CCCCc2c[nH]1>>C(c1c2CCCCc2c(-c2c(OCc3ccccc3)cccc2)[nH]1)(=C1C2CCCCC=2C(c2c(OCc3ccccc3)cccc2)=N1)c1ccccc1,[c:1]1(-[c:10]2[c:15]([O:16][CH2:17][c:18]3[cH:23][cH:22][cH:21][cH:20][cH:19]3)[cH:14][cH:13][cH:12][cH:11]2)[c:9]2[CH2:8][CH2:7][CH2:6][CH2:5][c:4]2[cH:3][nH:2]1>>[C:3]([c:3]1[c:4]2[CH2:5][CH2:6][CH2:7][CH2:8][c:9]2[c:1](-[c:10]2[c:15]([O:16][CH2:17][c:18]3[cH:19][cH:20][cH:21][cH:22][cH:23]3)[cH:14][cH:13][cH:12][cH:11]2)[nH:2]1)(=[C:3]1[C:4]2[CH2:5][CH2:6][CH2:7][CH2:8][C:9]=2[C:1]([c:10]2[c:15]([O:16][CH2:17][c:18]3[cH:19][cH:20][cH:21][cH:22][cH:23]3)[cH:14][cH:13][cH:12][cH:11]2)=[N:2]1)[c:4]1[cH:9][cH:8][cH:7][cH:6][cH:5]1
4701,c1([nH]cc(CCCC2)c12)c3cc(C)ccc3OC.c1([nH]cc(CCCC2)c12)c3cc(C)ccc3OC>>C(c1ccccc1)(=C2N=C(c3cc(C)ccc3OC)C(CCCC4)=C24)c5[nH]c(c6cc(C)ccc6OC)c(CCCC7)c57,c1(-c2c(OC)ccc(C)c2)c2CCCCc2c[nH]1.c1(-c2c(OC)ccc(C)c2)c2CCCCc2c[nH]1>>C(c1c2CCCCc2c(-c2c(OC)ccc(C)c2)[nH]1)(=C1C2CCCCC=2C(c2c(OC)ccc(C)c2)=N1)c1ccccc1,[c:1]1(-[c:10]2[c:16]([O:17][CH3:18])[cH:15][cH:14][c:12]([CH3:13])[cH:11]2)[c:9]2[CH2:8][CH2:7][CH2:6][CH2:5][c:4]2[cH:3][nH:2]1.[c:19]1(-[c:28]2[c:34]([O:35][CH3:36])[cH:33][cH:32][c:30]([CH3:31])[cH:29]2)[c:27]2[CH2:26][CH2:25][CH2:24][CH2:23][c:22]2[cH:21][nH:20]1>>[C:3]([c:21]1[c:22]2[CH2:23][CH2:24][CH2:25][CH2:26][c:27]2[c:19](-[c:28]2[c:34]([O:35][CH3:36])[cH:33][cH:32][c:30]([CH3:31])[cH:29]2)[nH:20]1)(=[C:3]1[C:4]2[CH2:5][CH2:6][CH2:7][CH2:8][C:9]=2[C:1]([c:10]2[c:16]([O:17][CH3:18])[cH:15][cH:14][c:12]([CH3:13])[cH:11]2)=[N:2]1)[c:4]1[cH:9][cH:8][cH:7][cH:6][cH:5]1
4702,c1([nH]cc(CCCC2)c12)c3cc(F)ccc3OC>>C(c1ccccc1)(=C2N=C(c3cc(F)ccc3OC)C(CCCC4)=C24)c5[nH]c(c6cc(F)ccc6OC)c(CCCC7)c57,c1(-c2c(OC)ccc(F)c2)c2CCCCc2c[nH]1>>C(c1c2CCCCc2c(-c2c(OC)ccc(F)c2)[nH]1)(=C1C2CCCCC=2C(c2c(OC)ccc(F)c2)=N1)c1ccccc1,[c:1]1(-[c:10]2[c:16]([O:17][CH3:18])[cH:15][cH:14][c:12]([F:13])[cH:11]2)[c:9]2[CH2:8][CH2:7][CH2:6][CH2:5][c:4]2[cH:3][nH:2]1>>[C:3]([c:3]1[c:4]2[CH2:5][CH2:6][CH2:7][CH2:8][c:9]2[c:1](-[c:10]2[c:16]([O:17][CH3:18])[cH:15][cH:14][c:12]([F:13])[cH:11]2)[nH:2]1)(=[C:3]1[C:4]2[CH2:5][CH2:6][CH2:7][CH2:8][C:9]=2[C:1]([c:10]2[c:16]([O:17][CH3:18])[cH:15][cH:14][c:12]([F:13])[cH:11]2)=[N:2]1)[c:4]1[cH:9][cH:8][cH:7][cH:6][cH:5]1
4703,C(c1ccccc1)(c2[nH]c(c3ccccc3OCc4ccccc4)c(CCCC5)c25)c6[nH]c(c7ccccc7OCc8ccccc8)c(CCCC9)c69>>B12(N(=C(c(cccc3)c3O1)C(CCCC4)=C45)C5=C6c7ccccc7)n(c(c(cccc8)c8O2)c(CCCC9)c9%10)c6%10,C(c1c2CCCCc2c(-c2c(OCc3ccccc3)cccc2)[nH]1)(c1c2CCCCc2c(-c2c(OCc3ccccc3)cccc2)[nH]1)c1ccccc1>>B123Oc4ccccc4-c4c5c(c(C(c6ccccc6)=C6C7CCCCC=7C(c7c(O1)cccc7)=N26)[n]34)CCCC5,C(c1c2CCCCc2c(-c2c(OCc3ccccc3)cccc2)[nH]1)(c1c2CCCCc2c(-c2c(OCc3ccccc3)cccc2)[nH]1)c1ccccc1>>B123Oc4ccccc4-c4c5c(c(C(c6ccccc6)=C6C7CCCCC=7C(c7c(O1)cccc7)=N26)[n]34)CCCC5
4704,C(c1ccccc1)(c2[nH]c(c3cc(C)ccc3OC)c(CCCC4)c24)c5[nH]c(c6cc(C)ccc6OC)c(CCCC7)c57>>B12(N(=C(c(cc(C)cc3)c3O1)C(CCCC4)=C45)C5=C6c7ccccc7)n(c(c(cc(C)cc8)c8O2)c(CCCC9)c9%10)c6%10,C(c1c2CCCCc2c(-c2c(OC)ccc(C)c2)[nH]1)(c1c2CCCCc2c(-c2c(OC)ccc(C)c2)[nH]1)c1ccccc1>>B123Oc4ccc(C)cc4-c4c5c(c(C(c6ccccc6)=C6C7CCCCC=7C(c7c(O1)ccc(C)c7)=N26)[n]34)CCCC5,C(c1c2CCCCc2c(-c2c(OC)ccc(C)c2)[nH]1)(c1c2CCCCc2c(-c2c(OC)ccc(C)c2)[nH]1)c1ccccc1>>B123Oc4ccc(C)cc4-c4c5c(c(C(c6ccccc6)=C6C7CCCCC=7C(c7c(O1)ccc(C)c7)=N26)[n]34)CCCC5
4705,C(c1ccccc1)(c2[nH]c(c3cc(F)ccc3OC)c(CCCC4)c24)c5[nH]c(c6cc(F)ccc6OC)c(CCCC7)c57>>B12(N(=C(c(cc(F)cc3)c3O1)C(CCCC4)=C45)C5=C6c7ccccc7)n(c(c(cc(F)cc8)c8O2)c(CCCC9)c9%10)c6%10,C(c1c2CCCCc2c(-c2c(OC)ccc(F)c2)[nH]1)(c1c2CCCCc2c(-c2c(OC)ccc(F)c2)[nH]1)c1ccccc1>>B123Oc4ccc(F)cc4-c4c5c(c(C(c6ccccc6)=C6C7CCCCC=7C(c7c(O1)ccc(F)c7)=N26)[n]34)CCCC5,C(c1c2CCCCc2c(-c2c(OC)ccc(F)c2)[nH]1)(c1c2CCCCc2c(-c2c(OC)ccc(F)c2)[nH]1)c1ccccc1>>B123Oc4ccc(F)cc4-c4c5c(c(C(c6ccccc6)=C6C7CCCCC=7C(c7c(O1)ccc(F)c7)=N26)[n]34)CCCC5
4706,c12c(CCCC1)c(Br)[nH]c2C(=O)OCC>>c1(c2ccccc2OCc3ccccc3)c4c(CCCC4)c(C(=O)OCC)n1C(=O)OC(C)(C)C,c12c(C(OCC)=O)[nH]c(Br)c1CCCC2>>c1([n](C(OC(C)(C)C)=O)c(C(OCC)=O)c2CCCCc12)-c1c(OCc2ccccc2)cccc1,[c:1]12[c:10]([C:11]([O:13][CH2:14][CH3:15])=[O:12])[nH:9][c:7](Br)[c:2]1[CH2:3][CH2:4][CH2:5][CH2:6]2>>[c:7]1([n:9](C(OC(C)(C)C)=O)[c:10]([C:11]([O:13][CH2:14][CH3:15])=[O:12])[c:1]2[CH2:6][CH2:5][CH2:4][CH2:3][c:2]12)-c1c(OCc2ccccc2)cccc1
