,raw_ractions,transformed_reactions,automap
757,[Ru]123([H])([H])([P](C)(C)C)(C4(C)=C15C)(C4(C)=C26C)C5(C)=C36C>>[Ru]123([H])([P](C)(C)C)(c4ccc(C)cc4)(C5(C)=C16C)(C5(C)=C27C)C6(C)=C37C,"[Ru]12345(C6(C)C1(C)=C2(C)C3(=C4(C5=6C)C)C)([P](C)(C)C)([H])[H]>>[Ru]12345(C6(C)C1(C)=C2(C)C3(=C4(C5=6C)C)C)(c1ccc(C)cc1)([P](C)(C)C)[H] |^1:13,39|","[Ru]12345(C6(C)C1(C)=C2(C)C3(=C4(C5=6C)C)C)([P](C)(C)C)([H])[H]>>[Ru]12345(C6(C)C1(C)=C2(C)C3(=C4(C5=6C)C)C)(c1ccc(C)cc1)([P](C)(C)C)[H] |^1:13,39|"
758,[Fe+2]1234([CH]5=[CH]16)([CH-]57)([CH]6=[CH]27)([CH]8=[CH]39)([CH-]8%10)[CH]%10=C49[Li].[Sn](Cl)(CC)(CC)CC>>[Fe]1234([CH]5=[CH]16)([CH]5=[CH]27)([C@H]67)([C@H]89)([CH]8=[CH]3%10)[CH]9=C4%10[Sn](CC)(CC)CC,[Fe+2]12345678(C9([Li])[CH]1=[CH]2[CH-]3[CH]4=9)[CH]1[CH-]5[CH]6=[CH]7[CH]8=1.[Sn](CC)(CC)(CC)Cl>>[Fe]12345678(C9([Sn](CC)(CC)CC)[CH]1=[CH]2[C@@H]3[CH]4=9)[C@H]1[CH]5=[CH]6[CH]7=[CH]81,[Fe+2]12345678(C9([Li])[CH]1=[CH]2[CH-]3[CH]4=9)[CH]1[CH-]5[CH]6=[CH]7[CH]8=1.[Sn](CC)(CC)(CC)Cl>>[Fe]12345678(C9([Sn](CC)(CC)CC)[CH]1=[CH]2[C@@H]3[CH]4=9)[C@H]1[CH]5=[CH]6[CH]7=[CH]81
759,[Fe]1234([C@@H]56)([CH]5=[CH]17)([CH]6=[CH]27)([CH]8=[CH]39)([CH]8=[CH]4%10)[C@@]9%10CC>>[Fe+]12345([CH]6=[CH]17)([CH]6=[CH]28)([CH]7=[CH]38)([CH]9=[CH]4%10)([C@@H]9%11)[CH]%10=[CH]5%11,[Fe]12345678([C@]9(CC)[CH]1=[CH]2[CH]3=[CH]49)[CH]1[CH]5=[CH]6[C@H]7[CH]8=1>>[Fe+]123456789([CH]%10[C@@H]1[CH]2=[CH]3[CH]4=%10)[CH]1[CH]5=[CH]6[CH]7=[CH]8[CH]9=1,[Fe]12345678([C@:11]9(CC)[CH:10]1=[CH:9]2[CH:7]3=[CH:8]49)[CH:9]1[CH:7]5=[CH:8]6[C@H:11]7[CH:10]8=1>>[Fe+]123456789([CH:8]%10[C@@H:11]1[CH:10]2=[CH:9]3[CH:7]4=%10)[CH]1[CH]5=[CH]6[CH]7=[CH]8[CH]9=1
760,[SiH3][SiH3].P([H])([H])[H]>>,[SiH3][SiH3].P([H])([H])[H]>>,[SiH3][SiH3].P([H])([H])[H]>>
761,[Rh]1234(OC(C)=CC(C)=O1)C([H])([C@@]([H])(C[C@]56[H])C2([H])=C35[H])=C46[H]>>[Rh+]1234([CH]([C@H](CC56)[CH]1=[CH]25)=[CH]36)[P](CC[P]4(c7ccccc7)c8ccccc8)(c9ccccc9)c%10ccccc%10.Cl(=O)(=O)(=O)[O-],"[Rh]1234(C5([H])[C@]6(C1([H])=C2([H])[C@@](C6)([H])C3=5[H])[H])O=C(C)C=C(C)O4>>[Rh+]1234([P](c5ccccc5)(c5ccccc5)CC[P]1(c1ccccc1)c1ccccc1)[CH]1C5[CH]2=[CH]3[C@@H](C5)[CH]4=1.Cl([O-])(=O)(=O)=O |^1:22,37|","[Rh]1234(C5([H])[C@]6(C1([H])=C2([H])[C@@](C6)([H])C3=5[H])[H])O=C(C)C=C(C)O4>>[Rh+]1234([P](c5ccccc5)(c5ccccc5)CC[P]1(c1ccccc1)c1ccccc1)[CH]1C5[CH]2=[CH]3[C@@H](C5)[CH]4=1.Cl([O-])(=O)(=O)=O |^1:22,37|"
762,[Ni+]12([P](c3ccccc3)(c4ccccc4)c5ccccc5)([P](c6ccccc6)(c7ccccc7)c8ccccc8)([CH]9=[CH]1%10)([CH]9=[CH]2%11)[C@@H]%10%11.[H-](F)F>>[Ni]12(Cl)([P](c3ccccc3)(c4ccccc4)c5ccccc5)([C@@H]67)([CH]6=[CH]18)[CH]7=[CH]28,"[Ni+]1234([C@@H]5[CH]1=[CH]2[CH]3=[CH]45)([P](c1ccccc1)(c1ccccc1)c1ccccc1)[P](c1ccccc1)(c1ccccc1)c1ccccc1.[H-](F)F>>[Ni]1234([CH]5[CH]1=[CH]2[C@H]3[CH]4=5)([P](c1ccccc1)(c1ccccc1)c1ccccc1)Cl |^1:6,25,53|","[Ni+]1234([C@@H]5[CH]1=[CH]2[CH]3=[CH]45)([P:2]([c:9]1[cH:14][cH:13][cH:12][cH:11][cH:10]1)([c:15]1[cH:16][cH:17][cH:18][cH:19][cH:20]1)[c:3]1[cH:4][cH:5][cH:6][cH:7][cH:8]1)[P:2]([c:15]1[cH:20][cH:19][cH:18][cH:17][cH:16]1)([c:9]1[cH:14][cH:13][cH:12][cH:11][cH:10]1)[c:3]1[cH:8][cH:7][cH:6][cH:5][cH:4]1.[H-](F)F>>[Ni]1234([CH]5[CH]1=[CH]2[C@H]3[CH]4=5)([P:2]([c:15]1[cH:16][cH:17][cH:18][cH:19][cH:20]1)([c:9]1[cH:10][cH:11][cH:12][cH:13][cH:14]1)[c:3]1[cH:8][cH:7][cH:6][cH:5][cH:4]1)Cl |^1:6,25,53|"
763,[Pt]([H])([Si@@](C)(c1ccccc1)c2ccccc2)([P](c3ccccc3)(c4ccccc4)c5ccccc5)[P](c6ccccc6)(c7ccccc7)c8ccccc8.C[Li]>>[P](c1ccccc1)(c2ccccc2)(c3ccccc3)[Pt](C)(I)[P](c4ccccc4)(c5ccccc5)c6ccccc6,"[Pt]([P](c1ccccc1)(c1ccccc1)c1ccccc1)([P](c1ccccc1)(c1ccccc1)c1ccccc1)([Si@](c1ccccc1)(c1ccccc1)C)[H].C[Li]>>[P]([Pt]([P](c1ccccc1)(c1ccccc1)c1ccccc1)(I)C)(c1ccccc1)(c1ccccc1)c1ccccc1 |^1:1,20,56,58|","[Pt:1]([P:36]([c:49]1[cH:54][cH:53][cH:52][cH:51][cH:50]1)([c:43]1[cH:48][cH:47][cH:46][cH:45][cH:44]1)[c:37]1[cH:42][cH:41][cH:40][cH:39][cH:38]1)([P:17]([c:30]1[cH:35][cH:34][cH:33][cH:32][cH:31]1)([c:24]1[cH:29][cH:28][cH:27][cH:26][cH:25]1)[c:18]1[cH:23][cH:22][cH:21][cH:20][cH:19]1)([Si@](c1ccccc1)(c1ccccc1)C)[H].C[Li]>>[P:17]([Pt:1]([P:36]([c:49]1[cH:54][cH:53][cH:52][cH:51][cH:50]1)([c:43]1[cH:48][cH:47][cH:46][cH:45][cH:44]1)[c:37]1[cH:42][cH:41][cH:40][cH:39][cH:38]1)(I)C)([c:30]1[cH:35][cH:34][cH:33][cH:32][cH:31]1)([c:24]1[cH:29][cH:28][cH:27][cH:26][cH:25]1)[c:18]1[cH:23][cH:22][cH:21][cH:20][cH:19]1 |^1:1,20,56,58|"
764,B(Cl)(\C=C/B(Cl)N(C(C)C)C(C)C)N(C(C)C)C(C)C>>C12([H])B(N(C(C)C)C(C)C)C([H])(C([H])(B3N(C(C)C)C(C)C)B1N(C(C)C)C(C)C)B(N(C(C)C)C(C)C)C23[H],B(N(C(C)C)C(C)C)(/C=C\B(N(C(C)C)C(C)C)Cl)Cl>>C12(C3([H])B(N(C(C)C)C(C)C)C(B1N(C(C)C)C(C)C)([H])C(B3N(C(C)C)C(C)C)([H])B2N(C(C)C)C(C)C)[H],[B:5]([N:7]([CH:11]([CH3:13])[CH3:12])[CH:8]([CH3:10])[CH3:9])(/[CH:4]=[CH:4]\[B:5]([N:7]([CH:11]([CH3:13])[CH3:12])[CH:8]([CH3:10])[CH3:9])Cl)Cl>>[C:4]12([C:4]3([H])[B:5]([N:7]([CH:8]([CH3:9])[CH3:10])[CH:11]([CH3:12])[CH3:13])[C:4]([B:5]1[N:7]([CH:8]([CH3:9])[CH3:10])[CH:11]([CH3:12])[CH3:13])([H])[C:4]([B:5]3[N:7]([CH:8]([CH3:9])[CH3:10])[CH:11]([CH3:12])[CH3:13])([H])[B:5]2[N:7]([CH:8]([CH3:9])[CH3:10])[CH:11]([CH3:12])[CH3:13])[H]
765,[PH4+]>>P([H])([H])[H].[H][H],[PH4+]>>P([H])([H])[H].[H][H],[PH4+]>>P([H])([H])[H].[H][H]
766,[Re]12(Cl)(Cl)(Cl)(Cl)(C3(C)=C14C)(C3(C)=C25C)[C@]45CC>>[Re]12([H])([H])(C3(C)=C14C)([C@]35C)(C5(C)=C24CC)#[Re]67([H])([H])(C8(C)=C69C)(C8(C)=C7%10C)([C@@]9%10CC)([H])[H],[Re]1234([C@@]5(CC)C1(C)=C2(C)C3(=C45C)C)(Cl)(Cl)(Cl)Cl>>[Re]1234(#[Re]5678([H])([H])([C@]9(CC)C5(C)=C6(C)C7(=C89C)C)([H])[H])(C5(CC)C1(C)=C2([C@@]3(C4=5C)C)C)([H])[H],[Re]1234([C@@]5(CC)C1(C)=C2(C)C3(=C45C)C)(Cl)(Cl)(Cl)Cl>>[Re]1234(#[Re]5678([H])([H])([C@]9(CC)C5(C)=C6(C)C7(=C89C)C)([H])[H])(C5(CC)C1(C)=C2([C@@]3(C4=5C)C)C)([H])[H]
