,raw_ractions,transformed_reactions,automap
0,[C@H]12[C@H](OC(C)(C)O1)[C@@H](CO)O[C@H]2N3C=CC(S([O-])(=O)=O)=NC3=O.[Na+]>>,[C@H]12[C@H](N3C(=O)N=C(S(=O)(=O)[O-])C=C3)O[C@H](CO)[C@H]1OC(O2)(C)C.[Na+]>>,[C@H]12[C@H](N3C(=O)N=C(S(=O)(=O)[O-])C=C3)O[C@H](CO)[C@H]1OC(O2)(C)C.[Na+]>>
1,[C@@H]1(SC(CCC=C)=NOS([O-])(=O)=O)O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O.[K+]>>,[C@@H]1([C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)SC(=NOS(=O)(=O)[O-])CCC=C.[K+]>>,[C@@H]1([C@H](O)[C@@H](O)[C@H](O)[C@@H](CO)O1)SC(=NOS(=O)(=O)[O-])CCC=C.[K+]>>
2,[C@H]1(O[C@H](COP([O-])([O-])=O)[C@@H](O)[C@H]1O)N2C(=O)NC(=O)CC2O.[Na+]>>,[C@H]1(N2C(O)CC(=O)NC2=O)[C@H](O)[C@H](O)[C@@H](COP(=O)([O-])[O-])O1.[Na+]>>,[C@H]1(N2C(O)CC(=O)NC2=O)[C@H](O)[C@H](O)[C@@H](COP(=O)([O-])[O-])O1.[Na+]>>
3,C12(C)N=C(\C(\C)=C(/N=C(\C=C(\C(C)(C)[C@@H]3CCC(N)=O)/N=C3\C(\C)=C(\[C@](C)(CCC(=O)NCC(C)OP([O])(=O)O[C@@H]4[C@@H](CO)O[C@H](n5cnc(cc(C)c(C)c6)c56)[C@@H]4O)[C@H]7CC(N)=O)/N([Co]C[C@H]8O[C@@H](n9cnc(c(N)ncn%10)c9%10)[C@H](O)[C@@H]8O)C17)[C@H]%11CCC(N)=O)\[C@@]%11(C)CC(N)=O)C(CCC(N)=O)[C@]2(C)CC(N)=O>>,C12([C@](CC(=O)N)(C)C(CCC(=O)N)C(C(=C3[C@](CC(=O)N)(C)[C@H](CCC(=O)N)C(C=C4N=C(C(=C5N(C1[C@H](CC(=O)N)[C@]5(CCC(NCC(OP(O[C@H]1[C@@H](O)[C@@H]([n]5c6cc(C)c(C)cc6nc5)O[C@@H]1CO)(=O)[O])C)=O)C)[Co]C[C@@H]1[C@@H](O)[C@@H](O)[C@H]([n]5c6ncnc(N)c6nc5)O1)C)[C@@H](CCC(=O)N)C4(C)C)=N3)C)=N2)C>> |^1:72|,C12([C@](CC(=O)N)(C)C(CCC(=O)N)C(C(=C3[C@](CC(=O)N)(C)[C@H](CCC(=O)N)C(C=C4N=C(C(=C5N(C1[C@H](CC(=O)N)[C@]5(CCC(NCC(OP(O[C@H]1[C@@H](O)[C@@H]([n]5c6cc(C)c(C)cc6nc5)O[C@@H]1CO)(=O)[O])C)=O)C)[Co]C[C@@H]1[C@@H](O)[C@@H](O)[C@H]([n]5c6ncnc(N)c6nc5)O1)C)[C@@H](CCC(=O)N)C4(C)C)=N3)C)=N2)C>> |^1:72|
4,[Ga]([H])(CC)CC>>,[Ga](CC)(CC)[H]>>,[Ga](CC)(CC)[H]>>
5,[Hg](CC)C(C)C>>,[Hg](C(C)C)CC>>,[Hg](C(C)C)CC>>
6,C1([Li])CC1>>,C1(CC1)[Li]>>,C1(CC1)[Li]>>
7,C(C)(C)(C)[Hg]C(C)C>>,C([Hg]C(C)C)(C)(C)C>>,C([Hg]C(C)C)(C)(C)C>>
8,C([Cr+2])Br>>,C(Br)[Cr+2]>>,C(Br)[Cr+2]>>
9,C([Hg]Cl)COC>>,C(COC)[Hg]Cl>>,C(COC)[Hg]Cl>>
10,C(C)(CC)C[Mg]Cl>>,C(C[Mg]Cl)(CC)C>>,C(C[Mg]Cl)(CC)C>>
11,C(C)(CC)C[Mg]Br>>,C(C[Mg]Br)(CC)C>>,C(C[Mg]Br)(CC)C>>
12,C(C)=N.[H+]>>,C(=N)C.[H+]>>,C(=N)C.[H+]>>
13,C(CC=C)[Sn](C)(C)C>>,C([Sn](C)(C)C)CC=C>>,C([Sn](C)(C)C)CC=C>>
14,C12[C+](CCC1)CCC2>>,C12CCC[C+]1CCC2>>,C12CCC[C+]1CCC2>>
15,[Al](C(C)CC)(C(C)CC)C(C)CC>>,[Al](C(CC)C)(C(CC)C)C(CC)C>>,[Al](C(CC)C)(C(CC)C)C(CC)C>>
16,[In](CC(C)C)(CC(C)C)CC(C)C>>,[In](CC(C)C)(CC(C)C)CC(C)C>>,[In](CC(C)C)(CC(C)C)CC(C)C>>
17,C(=C/C)/[Ge](C)(C)C>>,C(/[Ge](C)(C)C)=C/C>>,C(/[Ge](C)(C)C)=C/C>>
18,C1(Cl)CC[Cl+]C1>>,C1(C[Cl+]CC1)Cl>>,C1(C[Cl+]CC1)Cl>>
