,raw_ractions,transformed_reactions,automap
1282,Br[H].c1(nccc(C)c1N)n2cccc2>>c12n(ccc1)c3c(c(C)ccn3)NC2(C)C,Br[H].c1(-[n]2cccc2)c(N)c(C)ccn1>>c12C(C)(C)Nc3c(ccnc3-[n]1ccc2)C,Br[H].[c:3]1(-[n:11]2[cH:15][cH:14][cH:13][cH:12]2)[c:9]([NH2:10])[c:7]([CH3:8])[cH:6][cH:5][n:4]1>>[c:12]12C(C)(C)[NH:10][c:9]3[c:7]([cH:6][cH:5][n:4][c:3]3-[n:11]1[cH:15][cH:14][cH:13]2)[CH3:8]
1283,[C@]12(C)[C@@]([H])(C[C@]([2H])(OC(C)=O)C1=O)[C@@]3([H])[C@@]([H])([C@]4(C)[C@]([H])(C[C@@H](OC(C)=O)CC4)CC3)CC2>>[C@@]12(C)[C@]([H])(C[C@@H](O)CC1)CC[C@@]([H])([C@@]3([H])[C@@](C)([C@@H](O)C([2H])C3)CC4)[C@@]24[H],[C@@]12(CC[C@@]3([C@]4(CC[C@H](OC(=O)C)C[C@@]4(CC[C@@]3([H])[C@@]1(C[C@@](C2=O)(OC(=O)C)[2H])[H])[H])C)[H])C>>[C@]12([C@@]3([H])CC[C@@]4([C@H](C(C[C@@]4([H])[C@]3([H])CC[C@]1(C[C@H](CC2)O)[H])[2H])O)C)C,[C@@:1]12([CH2:33][CH2:32][C@@:16]3([C@:18]4([CH2:29][CH2:28][C@H:23]([O:24]C(=O)C)[CH2:22][C@@:20]4([CH2:30][CH2:31][C@@:14]3([H])[C@@:3]1([CH2:5][C@@:6]([C:12]2=O)(OC(=O)C)[2H])[H])[H])[CH3:19])[H])[CH3:2]>>[C@:18]12([C@@:16]3([H])[CH2:32][CH2:33][C@@:1]4([C@H:12]([CH:6]([CH2:5][C@@:3]4([H])[C@:14]3([H])[CH2:31][CH2:30][C@:20]1([CH2:22][C@H:23]([CH2:28][CH2:29]2)[OH:24])[H])[2H])O)[CH3:2])[CH3:19]
1284,C(C)(C)(OC(=O)NNC(=O)CNC(=O)[C@@]([H])(N)CCC(N)=O)C(Cl)(Cl)Cl>>[C@@]([H])(CCC(=O)OCc1ccccc1)(NC(=O)OCc2ccc(OC)cc2)C(=O)N[C@@]([H])(CCC(N)=O)C(=O)NCC(=O)NN,C(C(Cl)(Cl)Cl)(OC(NNC(CNC([C@](CCC(=O)N)(N)[H])=O)=O)=O)(C)C>>[C@@](C(N[C@](C(NCC(NN)=O)=O)(CCC(=O)N)[H])=O)(NC(OCc1ccc(OC)cc1)=O)(CCC(OCc1ccccc1)=O)[H],C(C(Cl)(Cl)Cl)(OC([NH:7][NH:8][C:9]([CH2:11][NH:12][C:13]([C@:15]([CH2:18][CH2:19][C:20](=[O:22])[NH2:21])([NH2:17])[H])=[O:14])=[O:10])=O)(C)C>>[C@@](C([NH:17][C@:15]([C:13]([NH:12][CH2:11][C:9]([NH:8][NH2:7])=[O:10])=[O:14])([CH2:18][CH2:19][C:20](=[O:22])[NH2:21])[H])=O)(NC(OCc1ccc(OC)cc1)=O)(CCC(OCc1ccccc1)=O)[H]
1285,c1(ccc(N(=O)=O)cc1)NC(=O)CC[C@@]([H])(C(=O)O)NC(=O)OC(C)(C)C>>[C@@]([H])(CCC(N)=O)(NC(=O)[C@]([H])(CC(C)C)NC(=O)OC(C)(C)C)C(=O)N[C@@]([H])(COCc1ccccc1)C(=O)N[C@@]([H])(CC(C)C)C(=O)OC,c1(NC(CC[C@](NC(OC(C)(C)C)=O)(C(O)=O)[H])=O)ccc(N(=O)=O)cc1>>[C@@](C(N[C@](C(N[C@](C(OC)=O)(CC(C)C)[H])=O)(COCc1ccccc1)[H])=O)(NC([C@@](NC(OC(C)(C)C)=O)(CC(C)C)[H])=O)(CCC(=O)N)[H],[c:1]1(NC(CC[C@](NC(OC(C)(C)C)=O)(C(O)=O)[H])=O)[cH:9][cH:8][c:4](N(=O)=O)[cH:3][cH:2]1>>[C@@](C(N[C@](C(N[C@](C(OC)=O)(CC(C)C)[H])=O)(COC[c:1]1[cH:2][cH:3][cH:4][cH:8][cH:9]1)[H])=O)(NC([C@@](NC(OC(C)(C)C)=O)(CC(C)C)[H])=O)(CCC(=O)N)[H]
1286,c1(ccc(N(=O)=O)cc1)NC(=O)CC[C@@]([H])(C(=O)O)NC(=O)OC(C)(C)C>>[C@]([H])(NC(=O)OC(C)(C)C)(Cc1ccc(OCc2ccccc2)cc1)C(=O)N[C@@]([H])(CC(C)C)C(=O)N[C@@]([H])(CCC(N)=O)C(=O)N[C@@]([H])(COCc3ccccc3)C(=O)N[C@@]([H])(CC(C)C)C(=O)OC.O([H])[H],c1(NC(CC[C@](NC(OC(C)(C)C)=O)(C(O)=O)[H])=O)ccc(N(=O)=O)cc1>>[C@](C(N[C@](C(N[C@](C(N[C@](C(N[C@](C(OC)=O)(CC(C)C)[H])=O)(COCc1ccccc1)[H])=O)(CCC(=O)N)[H])=O)(CC(C)C)[H])=O)(Cc1ccc(OCc2ccccc2)cc1)(NC(OC(C)(C)C)=O)[H].O([H])[H],[c:1]1(NC(CC[C@](NC(OC(C)(C)C)=O)(C(O)=O)[H])=O)[cH:9][cH:8][c:4](N(=O)=[O:6])[cH:3][cH:2]1>>[C@](C(N[C@](C(N[C@](C(N[C@](C(N[C@](C(OC)=O)(CC(C)C)[H])=O)(COC[c:1]1[cH:2][cH:3][cH:4][cH:8][cH:9]1)[H])=O)(CCC(=O)N)[H])=O)(CC(C)C)[H])=O)(C[c:1]1[cH:2][cH:3][c:4](OC[c:1]2[cH:2][cH:3][cH:4][cH:8][cH:9]2)[cH:8][cH:9]1)(NC(OC(C)(C)C)=O)[H].[O:6]([H])[H]
1287,[C@]12([H])[C@]([H])(C[C@@H](OC(C)=O)[C@@H]1COS(=O)(=O)c3ccccc3)[C@H](O[Si](C)(C)C(C)(C)C)CC2>>[Si](c1ccccc1)(c2ccccc2)(O[C@@H]3C[C@]([H])([C@H](O[Si](C)(C)C(C)(C)C)CC4)[C@@]4([H])[C@H]3\C=C\[C@H](CCCCC)O[Si](c5ccccc5)(c6ccccc6)C(C)(C)C)C(C)(C)C,[C@@]12(CC[C@@H](O[Si](C(C)(C)C)(C)C)[C@]1(C[C@H]([C@@H]2COS(c1ccccc1)(=O)=O)OC(=O)C)[H])[H]>>[Si](C(C)(C)C)(O[C@H]1[C@H](/C=C/[C@@H](O[Si](C(C)(C)C)(c2ccccc2)c2ccccc2)CCCCC)[C@@]2([H])CC[C@@H](O[Si](C(C)(C)C)(C)C)[C@@]2([H])C1)(c1ccccc1)c1ccccc1,[C@@]12(CC[C@@H:23]([O:24][Si:25]([C:28]([CH3:31])([CH3:30])[CH3:29])([CH3:27])[CH3:26])[C@]1(C[C@H]([C@@H]2COS(c1ccccc1)(=O)=O)OC(=O)C)[H])[H]>>[Si:25]([C:28]([CH3:29])([CH3:30])[CH3:31])([O:24][C@H:23]1[C@H](/C=C/[C@@H:23]([O:24][Si:25]([C:28]([CH3:29])([CH3:30])[CH3:31])([c:27]2ccccc2)[c:26]2ccccc2)CCCCC)[C@@]2([H])CC[C@@H:23]([O:24][Si:25]([C:28]([CH3:29])([CH3:30])[CH3:31])([CH3:27])[CH3:26])[C@@]2([H])C1)([c:27]1ccccc1)[c:26]1ccccc1
1288,C1(CC\C(\C)=C(\C(=O)OC)/C(=O)OC)(C(=O)OCC)CC(CCC2)=C2C1O>>[C@@]1(C(=O)O)([C@]([H])([C@@]2([H])C3=CCC2)[C@@](C)(CC1)C4C(=O)O)[C@@]34[H],C1(C(O)C2CCCC=2C1)(C(OCC)=O)CC/C(=C(\C(OC)=O)/C(OC)=O)/C>>[C@@]12([C@]3([H])C(C(O)=O)[C@@](CC1)(C)[C@]2([C@@]1(CCC=C13)[H])[H])C(O)=O,[C:1]1([CH:26](O)[C:25]2[CH2:24][CH2:23][CH2:22][C:21]=2[CH2:20]1)([C:15]([O:17]CC)=[O:16])[CH2:2][CH2:3]/[C:4](=C(\C(OC)=O)/C(OC)=O)/[CH3:5]>>[C@@:1]12([C@:20]3([H])[CH:5](C(O)=O)[C@@:4]([CH2:3][CH2:2]1)(C)[C@:26]2([C@@:22]1([CH2:23][CH2:24][CH:25]=[C:21]13)[H])[H])[C:15]([OH:17])=[O:16]
1289,C1(CC\C(\C)=C(\C(=O)OC)/C(=O)OC)(C(=O)OCC)CC(CCC2)=C2C1O>>[C@@](C[C@H]1C2C(=O)O)(C[C@](C(=O)O)(CC3)C4)(C4=C1)[C@]23C,C1(C(O)C2CCCC=2C1)(C(OCC)=O)CC/C(=C(\C(OC)=O)/C(OC)=O)/C>>[C@@]123[C@@]4(C)CC[C@@](CC1=C[C@H](C4C(O)=O)C2)(C(O)=O)C3,[C:1]1([CH:26](O)[C:25]2[CH2:24][CH2:23][CH2:22][C:21]=2[CH2:20]1)([C:15]([O:17]CC)=[O:16])[CH2:2][CH2:3]/[C:4](=C(\C(OC)=O)/C(OC)=O)/[CH3:5]>>[C@@:22]123[C@@:4]4([CH3:5])[CH2:3][CH2:2][C@@:1]([CH2:20][C:21]1=[CH:25][C@H:24]([CH:1]4[C:15]([OH:17])=[O:16])[CH2:23]2)([C:15]([OH:17])=[O:16])[CH2:26]3
1290,C1(CC\C(\C)=C(\C(=O)OC)/C(=O)OC)(C(=O)OCC)CC(CCC2)=C2C1O>>[C@@](C[C@H]1C2(C(=O)O)C(=O)O)(C[C@](C(=O)O)(CC3)C4)(C4=C1)[C@]23C,C1(C(O)C2CCCC=2C1)(C(OCC)=O)CC/C(=C(\C(OC)=O)/C(OC)=O)/C>>[C@@]123[C@@]4(C)CC[C@@](CC1=C[C@H](C4(C(O)=O)C(O)=O)C2)(C(O)=O)C3,[C:1]1([CH:26](O)[C:25]2[CH2:24][CH2:23][CH2:22][C:21]=2[CH2:20]1)([C:15]([O:17]CC)=[O:16])[CH2:2][CH2:3]/[C:4](=C(\C(OC)=O)/C(OC)=O)/[CH3:5]>>[C@@:22]123[C@@:4]4([CH3:5])[CH2:3][CH2:2][C@@:1]([CH2:20][C:21]1=[CH:25][C@H:24](C4(C(O)=O)C(O)=O)[CH2:23]2)([C:15]([OH:17])=[O:16])[CH2:26]3
1291,C1(CC\C(\C)=C(\C(=O)OC)/C(=O)OC)(C(=O)OCC)CC(CCC2)=C2C1O>>C1(C(=O)O)(C(=O)O)[C@@H]2C[C@@](C[C@@](C(=O)OCC)(C3)CC4)(C3=C2)[C@]14C,C1(C(O)C2CCCC=2C1)(C(OCC)=O)CC/C(=C(\C(OC)=O)/C(OC)=O)/C>>C1([C@]2(C)CC[C@@]3(CC4=C[C@H]1C[C@@]42C3)C(OCC)=O)(C(O)=O)C(O)=O,[C:1]1([CH:26](O)[C:25]2[CH2:24][CH2:23][CH2:22][C:21]=2[CH2:20]1)([C:15]([O:17][CH2:18][CH3:19])=[O:16])[CH2:2][CH2:3]/[C:4](=C(\C(OC)=O)/C(OC)=O)/[CH3:5]>>C1([C@:4]2([CH3:5])[CH2:3][CH2:2][C@@:1]3([CH2:20][C:21]4=[CH:25][C@H:24]1[CH2:23][C@@:22]42[CH2:26]3)[C:15]([O:17][CH2:18][CH3:19])=[O:16])(C(O)=O)C(O)=O
