,raw_ractions,transformed_reactions,automap
0,c1(Br)ccc(C)cc1.C1(CCCCC1)NC2CCCCC2>>N(C1CCCCC1)(C2CCCCC2)c3ccc(C)cc3,c1(ccc(C)cc1)Br.C1(NC2CCCCC2)CCCCC1>>N(c1ccc(C)cc1)(C1CCCCC1)C1CCCCC1,[c:1]1([cH:8][cH:7][c:5]([CH3:6])[cH:4][cH:3]1)Br.[CH:9]1([NH:15][CH:16]2[CH2:21][CH2:20][CH2:19][CH2:18][CH2:17]2)[CH2:14][CH2:13][CH2:12][CH2:11][CH2:10]1>>[N:15]([c:1]1[cH:8][cH:7][c:5]([CH3:6])[cH:4][cH:3]1)([CH:16]1[CH2:17][CH2:18][CH2:19][CH2:20][CH2:21]1)[CH:9]1[CH2:14][CH2:13][CH2:12][CH2:11][CH2:10]1
1,c1(Br)ccccn1.C(C)(C)NC(C)C>>c1(ccccn1)N(C(C)C)C(C)C,c1(ncccc1)Br.C(NC(C)C)(C)C>>c1(N(C(C)C)C(C)C)ncccc1,[c:1]1([n:7][cH:6][cH:5][cH:4][cH:3]1)Br.[CH:8]([NH:11][CH:12]([CH3:14])[CH3:13])([CH3:10])[CH3:9]>>[c:1]1([N:11]([CH:12]([CH3:14])[CH3:13])[CH:8]([CH3:10])[CH3:9])[n:7][cH:6][cH:5][cH:4][cH:3]1
2,S1CCNCC1.c1(Br)ccccn1>>N1(CCSCC1)c2ccccn2,S1CCNCC1.c1(ncccc1)Br>>N1(c2ncccc2)CCSCC1,[S:1]1[CH2:6][CH2:5][NH:4][CH2:3][CH2:2]1.[c:7]1([n:13][cH:12][cH:11][cH:10][cH:9]1)Br>>[N:4]1([c:12]2[n:13][cH:7][cH:9][cH:10][cH:11]2)[CH2:5][CH2:6][S:1][CH2:2][CH2:3]1
3,c1(Br)cccnc1.C(NC)CCC>>c1(cccnc1)N(C)CCCC,c1(cnccc1)Br.C(CCC)NC>>c1(N(CCCC)C)cnccc1,[c:1]1([cH:7][n:6][cH:5][cH:4][cH:3]1)Br.[CH2:8]([CH2:11][CH2:12][CH3:13])[NH:9][CH3:10]>>[c:1]1([N:9]([CH2:8][CH2:11][CH2:12][CH3:13])[CH3:10])[cH:7][n:6][cH:5][cH:4][cH:3]1
4,c1(Br)cccnc1.c12c(cccc1)CCCN2>>N1(CCCc(cccc2)c12)c3cccnc3,c1(cnccc1)Br.c12NCCCc1cccc2>>N1(c2cnccc2)c2ccccc2CCC1,[c:1]1([cH:7][n:6][cH:5][cH:4][cH:3]1)Br.[c:8]12[NH:17][CH2:16][CH2:15][CH2:14][c:9]1[cH:10][cH:11][cH:12][cH:13]2>>[N:17]1([c:1]2[cH:7][n:6][cH:5][cH:4][cH:3]2)[c:8]2[cH:13][cH:12][cH:11][cH:10][c:9]2[CH2:14][CH2:15][CH2:16]1
5,c1(OC)ccc(Br)cc1.C1(CCCCC1)NC2CCCCC2>>N(C1CCCCC1)(C2CCCCC2)c3ccc(OC)cc3,c1(ccc(Br)cc1)OC.C1(NC2CCCCC2)CCCCC1>>N(c1ccc(OC)cc1)(C1CCCCC1)C1CCCCC1,[c:1]1([cH:9][cH:8][c:6](Br)[cH:5][cH:4]1)[O:2][CH3:3].[CH:10]1([NH:16][CH:17]2[CH2:22][CH2:21][CH2:20][CH2:19][CH2:18]2)[CH2:15][CH2:14][CH2:13][CH2:12][CH2:11]1>>[N:16]([c:6]1[cH:8][cH:9][c:1]([O:2][CH3:3])[cH:4][cH:5]1)([CH:17]1[CH2:18][CH2:19][CH2:20][CH2:21][CH2:22]1)[CH:10]1[CH2:15][CH2:14][CH2:13][CH2:12][CH2:11]1
6,c1(Br)ccc(Br)cc1.c12c(ccc(OC)c1)[nH]c(ccc(OC)c3)c23>>n1(c2ccc(Br)cc2)c3c(cc(OC)cc3)c(cc(OC)cc4)c14,c1(ccc(Br)cc1)Br.c12c3cc(OC)ccc3[nH]c1ccc(c2)OC>>[n]1(c2ccc(OC)cc2c2cc(ccc12)OC)-c1ccc(Br)cc1,[c:1]1([cH:8][cH:7][c:5]([Br:6])[cH:4][cH:3]1)Br.[c:9]12[c:25]3[cH:24][c:21]([O:22][CH3:23])[cH:20][cH:19][c:18]3[nH:17][c:10]1[cH:11][cH:12][c:13]([cH:16]2)[O:14][CH3:15]>>[n:17]1([c:10]2[cH:11][cH:12][c:13]([O:14][CH3:15])[cH:16][c:9]2[c:25]2[cH:24][c:21]([cH:20][cH:19][c:18]12)[O:22][CH3:23])-[c:1]1[cH:8][cH:7][c:5]([Br:6])[cH:4][cH:3]1
7,C12C(CCC1)Nc(cccc3)c23.c1(C=O)ccc(Br)cc1>>N1(c2ccc(C=O)cc2)c3c(cccc3)C(CCC4)C14,C12c3ccccc3NC1CCC2.c1(ccc(Br)cc1)C=O>>N1(C2CCCC2c2ccccc12)c1ccc(C=O)cc1,[CH:1]12[c:12]3[cH:11][cH:10][cH:9][cH:8][c:7]3[NH:6][CH:2]1[CH2:3][CH2:4][CH2:5]2.[c:13]1([cH:21][cH:20][c:18](Br)[cH:17][cH:16]1)[CH:14]=[O:15]>>[N:6]1([CH:2]2[CH2:3][CH2:4][CH2:5][CH:1]2[c:12]2[cH:11][cH:10][cH:9][cH:8][c:7]12)[c:18]1[cH:20][cH:21][c:13]([CH:14]=[O:15])[cH:16][cH:17]1
8,N1CCCC1.c1(cc(C(F)(F)F)cc(C#N)c1Br)c2ccc(OC)cc2>>c1(N2CCCC2)c(C#N)cc(C(F)(F)F)cc1c3ccc(OC)cc3,N1CCCC1.c1(-c2ccc(OC)cc2)c(Br)c(C#N)cc(C(F)(F)F)c1>>c1(c(-c2ccc(OC)cc2)cc(C(F)(F)F)cc1C#N)N1CCCC1,[NH:1]1[CH2:5][CH2:4][CH2:3][CH2:2]1.[c:6]1(-[c:19]2[cH:26][cH:25][c:22]([O:23][CH3:24])[cH:21][cH:20]2)[c:17](Br)[c:14]([C:15]#[N:16])[cH:13][c:8]([C:9]([F:12])([F:11])[F:10])[cH:7]1>>[c:17]1([c:6](-[c:19]2[cH:26][cH:25][c:22]([O:23][CH3:24])[cH:21][cH:20]2)[cH:7][c:8]([C:9]([F:10])([F:11])[F:12])[cH:13][c:14]1[C:15]#[N:16])[N:1]1[CH2:5][CH2:4][CH2:3][CH2:2]1
9,c12c(cccc1)[nH]cc2CC(=O)OCC.C(F)(F)(F)c1ccc(Br)c(CN(CC)C(=O)C2CC2)c1>>n1(cc(CC(=O)OCC)c(cccc2)c12)c3ccc(C(F)(F)F)cc3CN(CC)C(=O)C4CC4,c12c(CC(OCC)=O)c[nH]c1cccc2.C(c1cc(CN(C(C2CC2)=O)CC)c(Br)cc1)(F)(F)F>>[n]1(-c2c(CN(C(C3CC3)=O)CC)cc(C(F)(F)F)cc2)c2ccccc2c(CC(OCC)=O)c1,[c:1]12[c:9]([CH2:10][C:11]([O:13][CH2:14][CH3:15])=[O:12])[cH:8][nH:7][c:2]1[cH:3][cH:4][cH:5][cH:6]2.[C:16]([c:20]1[cH:35][c:25]([CH2:26][N:27]([C:30]([CH:32]2[CH2:34][CH2:33]2)=[O:31])[CH2:28][CH3:29])[c:23](Br)[cH:22][cH:21]1)([F:19])([F:18])[F:17]>>[n:7]1(-[c:23]2[c:25]([CH2:26][N:27]([C:30]([CH:32]3[CH2:34][CH2:33]3)=[O:31])[CH2:28][CH3:29])[cH:35][c:20]([C:16]([F:17])([F:19])[F:18])[cH:21][cH:22]2)[c:2]2[cH:3][cH:4][cH:5][cH:6][c:1]2[c:9]([CH2:10][C:11]([O:13][CH2:14][CH3:15])=[O:12])[cH:8]1
