,raw_ractions,transformed_reactions,automap
0,[C@H]1(O[C@H](COP(=O)(O)OP(=O)(O)O[C@H]2O[C@H](CO[3H])[C@@H](O)[C@H](O)[C@H]2NC(C)=O)[C@@H](O)[C@H]1O)N3C=CC(=O)NC3=O>>,[C@H]1(N2C(=O)NC(=O)C=C2)[C@H](O)[C@H](O)[C@@H](COP(OP(O[C@@H]2[C@H](NC(=O)C)[C@@H](O)[C@H](O)[C@@H](CO[3H])O2)(O)=O)(O)=O)O1>>,[C@H]1(N2C(=O)NC(=O)C=C2)[C@H](O)[C@H](O)[C@@H](COP(OP(O[C@@H]2[C@H](NC(=O)C)[C@@H](O)[C@H](O)[C@@H](CO[3H])O2)(O)=O)(O)=O)O1>>
1,[C@H]1(O[C@H](COP(=O)(O)OP(=O)(O)O[C@H]2O[C@H](CO[3H])[C@@H](O)[C@H](O)[C@H]2NC(C)=O)[C@@H](O)[C@H]1O)N3C=CC(=O)NC3=O>>,[C@H]1(N2C(=O)NC(=O)C=C2)[C@H](O)[C@H](O)[C@@H](COP(OP(O[C@@H]2[C@H](NC(=O)C)[C@@H](O)[C@H](O)[C@@H](CO[3H])O2)(O)=O)(O)=O)O1>>,[C@H]1(N2C(=O)NC(=O)C=C2)[C@H](O)[C@H](O)[C@@H](COP(OP(O[C@@H]2[C@H](NC(=O)C)[C@@H](O)[C@H](O)[C@@H](CO[3H])O2)(O)=O)(O)=O)O1>>
2,[C@H]1(O[C@H](COP(=O)(O)OP(=O)(O)O[C@H]2O[C@H](CO[3H])[C@@H](O)[C@H](O)[C@H]2NC(C)=O)[C@@H](O)[C@H]1O)N3C=CC(=O)NC3=O>>,[C@H]1(N2C(=O)NC(=O)C=C2)[C@H](O)[C@H](O)[C@@H](COP(OP(O[C@@H]2[C@H](NC(=O)C)[C@@H](O)[C@H](O)[C@@H](CO[3H])O2)(O)=O)(O)=O)O1>>,[C@H]1(N2C(=O)NC(=O)C=C2)[C@H](O)[C@H](O)[C@@H](COP(OP(O[C@@H]2[C@H](NC(=O)C)[C@@H](O)[C@H](O)[C@@H](CO[3H])O2)(O)=O)(O)=O)O1>>
3,[C@H]1(O[C@H](COP(=O)(O)OP(=O)(O)O[C@H]2O[C@H](CO[3H])[C@@H](O)[C@H](O)[C@H]2NC(C)=O)[C@@H](O)[C@H]1O)N3C=CC(=O)NC3=O>>,[C@H]1(N2C(=O)NC(=O)C=C2)[C@H](O)[C@H](O)[C@@H](COP(OP(O[C@@H]2[C@H](NC(=O)C)[C@@H](O)[C@H](O)[C@@H](CO[3H])O2)(O)=O)(O)=O)O1>>,[C@H]1(N2C(=O)NC(=O)C=C2)[C@H](O)[C@H](O)[C@@H](COP(OP(O[C@@H]2[C@H](NC(=O)C)[C@@H](O)[C@H](O)[C@@H](CO[3H])O2)(O)=O)(O)=O)O1>>
4,[C@H]1(O[C@H](COP(=O)(O)OP(=O)(O)O[C@H]2O[C@H](CO[3H])[C@@H](O)[C@H](O)[C@H]2NC(C)=O)[C@@H](O)[C@H]1O)N3C=CC(=O)NC3=O>>,[C@H]1(N2C(=O)NC(=O)C=C2)[C@H](O)[C@H](O)[C@@H](COP(OP(O[C@@H]2[C@H](NC(=O)C)[C@@H](O)[C@H](O)[C@@H](CO[3H])O2)(O)=O)(O)=O)O1>>,[C@H]1(N2C(=O)NC(=O)C=C2)[C@H](O)[C@H](O)[C@@H](COP(OP(O[C@@H]2[C@H](NC(=O)C)[C@@H](O)[C@H](O)[C@@H](CO[3H])O2)(O)=O)(O)=O)O1>>
5,[C@H]1(O[C@H](COP(=O)(O)OP(=O)(O)O[C@H]2O[C@H](CO[3H])[C@@H](O)[C@H](O)[C@H]2NC(C)=O)[C@@H](O)[C@H]1O)N3C=CC(=O)NC3=O>>,[C@H]1(N2C(=O)NC(=O)C=C2)[C@H](O)[C@H](O)[C@@H](COP(OP(O[C@@H]2[C@H](NC(=O)C)[C@@H](O)[C@H](O)[C@@H](CO[3H])O2)(O)=O)(O)=O)O1>>,[C@H]1(N2C(=O)NC(=O)C=C2)[C@H](O)[C@H](O)[C@@H](COP(OP(O[C@@H]2[C@H](NC(=O)C)[C@@H](O)[C@H](O)[C@@H](CO[3H])O2)(O)=O)(O)=O)O1>>
6,c1(ccc(S)cc1)N(=O)=O>>,c1(N(=O)=O)ccc(S)cc1>>,c1(N(=O)=O)ccc(S)cc1>>
7,C(SCc1ccc(Cl)cc1)(Cn2ccnc2)c3ccc(Cl)cc3Cl>>,C(c1c(Cl)cc(Cl)cc1)(C[n]1cncc1)SCc1ccc(Cl)cc1>>,C(c1c(Cl)cc(Cl)cc1)(C[n]1cncc1)SCc1ccc(Cl)cc1>>
8,[C@@]1(OC[C@H](COc2ccc(N3CCN(c4ccc(N5C=NN(C(C)CC)C5=O)cc4)CC3)cc2)O1)(Cn6cncn6)c7ccc(Cl)cc7Cl>>,[C@@]1(c2c(Cl)cc(Cl)cc2)(C[n]2ncnc2)O[C@@H](COc2ccc(N3CCN(c4ccc(N5C(=O)N(C(CC)C)N=C5)cc4)CC3)cc2)CO1>>,[C@@]1(c2c(Cl)cc(Cl)cc2)(C[n]2ncnc2)O[C@@H](COc2ccc(N3CCN(c4ccc(N5C(=O)N(C(CC)C)N=C5)cc4)CC3)cc2)CO1>>
9,[C@@](O)(Cn1cncn1)(c2ccc(F)cc2F)[C@@H](C)c3ncncc3F>>,[C@@]([C@H](c1c(F)cncn1)C)(c1c(F)cc(F)cc1)(C[n]1ncnc1)O>>,[C@@]([C@H](c1c(F)cncn1)C)(c1c(F)cc(F)cc1)(C[n]1ncnc1)O>>
10,C(OCc1ccc(Cl)cc1)(Cn2ccnc2)c3ccc(Cl)cc3Cl>>,C(c1c(Cl)cc(Cl)cc1)(C[n]1cncc1)OCc1ccc(Cl)cc1>>,C(c1c(Cl)cc(Cl)cc1)(C[n]1cncc1)OCc1ccc(Cl)cc1>>
