,raw_ractions,transformed_reactions,automap
4313,[C@@H]12[C@@H](OC(C)(C)O1)[C@H](O)O[C@@H]2[C@@]3([H])COC(C)(C)O3>>[C@]1([H])(OC(C)(C)O[C@@]1([H])C#N)[C@]([H])(OS(C)(=O)=O)[C@@]2([H])COC(C)(C)O2,[C@@H]12[C@@H]([C@@]3(OC(C)(C)OC3)[H])O[C@@H](O)[C@@H]1OC(O2)(C)C>>[C@]1([C@@]([C@@]2(OC(C)(C)OC2)[H])(OS(=O)(=O)C)[H])([C@@](C#N)([H])OC(C)(C)O1)[H],[C@@H:1]12[C@@H:11]([C@@:12]3([O:19][C:16]([CH3:18])([CH3:17])[O:15][CH2:14]3)[H])[O:10][C@@H:8](O)[C@@H:2]1[O:3][C:4]([O:7]2)([CH3:6])[CH3:5]>>[C@:1]1([C@@:11]([C@@:12]2([O:19][C:16]([CH3:18])([CH3:17])[O:15][CH2:14]2)[H])([O:10]S(=O)(=O)C)[H])([C@@:2]([C:8]#N)([H])[O:3][C:4]([CH3:6])([CH3:5])[O:7]1)[H]
4314,c12c(C=CC(=O)O1)c(OC)cc(O)c2>>c12c(OC(=O)C=C1)c(I)c(OC)cc2OC,c12cc(O)cc(OC)c1C=CC(O2)=O>>c12c(OC)cc(OC)c(I)c1OC(C=C2)=O,[c:1]12[cH:14][c:12]([OH:13])[cH:11][c:8]([O:9][CH3:10])[c:2]1[CH:3]=[CH:4][C:5]([O:7]2)=[O:6]>>[c:2]12[c:8]([O:9][CH3:10])[cH:11][c:12]([O:13]C)[c:14](I)[c:1]1[O:7][C:5]([CH:4]=[CH:3]2)=[O:6]
4315,c12c(C=CC(=O)O1)c(OC)cc(O)c2>>c12c(OC(=O)C=C1)c(\C=C\C(C)C)c(OC)cc2OC,c12cc(O)cc(OC)c1C=CC(O2)=O>>c12c(OC)cc(OC)c(/C=C/C(C)C)c1OC(C=C2)=O,[c:1]12[cH:14][c:12]([OH:13])[cH:11][c:8]([O:9][CH3:10])[c:2]1[CH:3]=[CH:4][C:5]([O:7]2)=[O:6]>>[c:2]12[c:8]([O:9][CH3:10])[cH:11][c:12]([O:13]C)[c:14](/[CH:14]=[CH:1]/[CH:2]([CH3:8])[CH3:3])[c:1]1[O:7][C:5]([CH:4]=[CH:3]2)=[O:6]
4316,c12c(C=CC(=O)O1)c(OC)cc(O)c2>>c12c(OC(=O)C=C1)c(\C=C\C(=C)C)c(OC)cc2OC,c12cc(O)cc(OC)c1C=CC(O2)=O>>c12c(OC)cc(OC)c(/C=C/C(C)=C)c1OC(C=C2)=O,[c:1]12[cH:14][c:12]([OH:13])[cH:11][c:8]([O:9][CH3:10])[c:2]1[CH:3]=[CH:4][C:5]([O:7]2)=[O:6]>>[c:2]12[c:8]([O:9][CH3:10])[cH:11][c:12]([O:13]C)[c:14](/[CH:14]=[CH:1]/[C:2]([CH3:3])=[CH2:8])[c:1]1[O:7][C:5]([CH:4]=[CH:3]2)=[O:6]
4317,c12c(C=CC(=O)O1)c(OC)cc(O)c2>>c12c(C=CC(=O)O1)c(OC)cc(OC)c2\C=C\C(C)(C)O,c12cc(O)cc(OC)c1C=CC(O2)=O>>c12c(/C=C/C(O)(C)C)c(OC)cc(OC)c1C=CC(O2)=O,[c:1]12[cH:14][c:12]([OH:13])[cH:11][c:8]([O:9][CH3:10])[c:2]1[CH:3]=[CH:4][C:5]([O:7]2)=[O:6]>>[c:1]12[c:14](/C=C/C(O)(C)C)[c:12]([O:13]C)[cH:11][c:8]([O:9][CH3:10])[c:2]1[CH:3]=[CH:4][C:5]([O:7]2)=[O:6]
4318,C1(S)(S)CCCCC1>>C12(CCCCC1)SN=S=NS2,C1(CCCCC1)(S)S>>C12(SN=S=NS1)CCCCC2,[C:1]1([CH2:8][CH2:7][CH2:6][CH2:5][CH2:4]1)([SH:3])[SH:2]>>[C:1]12([S:3]N=S=N[S:2]1)[CH2:8][CH2:7][CH2:6][CH2:5][CH2:4]2
4319,C12([Si](C)(C)C)C(CCCC1)O2>>[Si](C)(C)(C)\C=C\CC1=CCCCC1,C12(OC1CCCC2)[Si](C)(C)C>>[Si](/C=C/CC1CCCCC=1)(C)(C)C,[C:1]12(O[CH:6]1[CH2:7][CH2:8][CH2:9][CH2:10]2)[Si](C)(C)C>>[Si](/C=C/C[C:6]1[CH2:7][CH2:8][CH2:9][CH2:10][CH:1]=1)(C)(C)C
4320,C(=O)(C=N#N)C(C)(C)C>>[Si](C)(C)(C)C#CC(C)(C)C,C(C(C)(C)C)(C=N#N)=O>>[Si](C#CC(C)(C)C)(C)(C)C,[C:1]([C:6]([CH3:9])([CH3:8])[CH3:7])(C=N#N)=O>>[Si](C#[C:1][C:6]([CH3:9])([CH3:8])[CH3:7])(C)(C)C
4321,C(=O)(C=N#N)C(C)(C)C>>[Si](C)(C)(OC)C(C(=O)C(C)(C)C)[Si](C)(C)C,C(C(C)(C)C)(C=N#N)=O>>[Si](C([Si](C)(C)C)C(C(C)(C)C)=O)(OC)(C)C,[C:1]([C:6]([CH3:9])([CH3:8])[CH3:7])([CH:3]=N#N)=[O:2]>>[Si]([CH:3]([Si](C)(C)C)[C:1]([C:6]([CH3:9])([CH3:8])[CH3:7])=[O:2])(OC)(C)C
4322,C(=O)(C=N#N)C(C)(C)C>>C1([Si](C)(C)C)=C(C(C)(C)C)O[Si]1(C)C,C(C(C)(C)C)(C=N#N)=O>>C1([Si](C)(C)OC=1C(C)(C)C)[Si](C)(C)C,[C:1]([C:6]([CH3:9])([CH3:8])[CH3:7])(C=N#N)=O>>C1([Si](C)(C)O[C:1]=1[C:6]([CH3:9])([CH3:8])[CH3:7])[Si](C)(C)C
