,raw_ractions,transformed_reactions,automap
0,C(/C)(=C/CO)\CC\C=C(\C)/C>>[C@@]12(C(C)C)O[C@@](C)([C@]([H])(CC[C@@H]3C)[C@@]3([H])[C@@H]1OC(=O)C=Cc4ccccc4)[C@H](OC(=O)[C@H](C)NC(=O)OC(C)(C)C)C2,C(/CC/C=C(\C)/C)(=C\CO)\C>>[C@@]12(C[C@@H](OC([C@@H](NC(OC(C)(C)C)=O)C)=O)[C@@]([C@]3([C@]([C@@H]1OC(C=Cc1ccccc1)=O)([H])[C@@H](C)CC3)[H])(C)O2)C(C)C,[C:1](/[CH2:6][CH2:7]/[CH:8]=[C:9](\[CH3:11])/C)(=[CH:3]\[CH2:4][OH:5])\C>>[C@@]12(C[C@@H](OC([C@@H](NC(OC(C)(C)C)=O)C)=O)[C@@]([C@]3([C@]([C@@H]1[O:5][C:4]([CH:3]=[CH:1][c:6]1[cH:7][cH:8][cH:9][cH:11]c1)=O)([H])[C@@H](C)CC3)[H])(C)O2)C(C)C
1,C(/C)(=C/CO)\CC\C=C(\C)/C>>[C@@]12(C(C)C)O[C@@](C)([C@]([H])(CC[C@@H]3C)[C@@]3([H])[C@@H]1OC(=O)C=Cc4ccccc4)[C@H](OC(=O)[C@H](c5ccccc5)O[Si](c6ccccc6)(c7ccccc7)C(C)(C)C)C2,C(/CC/C=C(\C)/C)(=C\CO)\C>>[C@@]12(C[C@@H](OC([C@@H](O[Si](C(C)(C)C)(c3ccccc3)c3ccccc3)c3ccccc3)=O)[C@@]([C@]3([C@]([C@@H]1OC(C=Cc1ccccc1)=O)([H])[C@@H](C)CC3)[H])(C)O2)C(C)C,[C:1](/[CH2:6][CH2:7]/[CH:8]=[C:9](\[CH3:11])/C)(=[CH:3]\[CH2:4][OH:5])\C>>[C@@]12(C[C@@H](OC([C@@H](O[Si](C(C)(C)C)(c3ccccc3)c3ccccc3)c3ccccc3)=O)[C@@]([C@]3([C@]([C@@H]1[O:5][C:4]([CH:3]=[CH:1][c:6]1[cH:7][cH:8][cH:9][cH:11]c1)=O)([H])[C@@H](C)CC3)[H])(C)O2)C(C)C
2,C(/C)(=C/CO)\CC\C=C(\C)/C>>[C@@]12(C(C)C)O[C@@](C)([C@]([H])(CC[C@@H]3C)[C@@]3([H])[C@@H]1OC(=O)C=Cc4ccccc4)[C@H](OC(=O)[C@@H](O)c5ccccc5)C2,C(/CC/C=C(\C)/C)(=C\CO)\C>>[C@@]12(C[C@@H](OC([C@H](c3ccccc3)O)=O)[C@@]([C@]3([C@]([C@@H]1OC(C=Cc1ccccc1)=O)([H])[C@@H](C)CC3)[H])(C)O2)C(C)C,[C:1](/[CH2:6][CH2:7]/[CH:8]=[C:9](\[CH3:11])/C)(=[CH:3]\[CH2:4][OH:5])\C>>[C@@]12(C[C@@H](OC([C@H](c3ccccc3)O)=O)[C@@]([C@]3([C@]([C@@H]1[O:5][C:4]([CH:3]=[CH:1][c:6]1[cH:7][cH:8][cH:9][cH:11]c1)=O)([H])[C@@H](C)CC3)[H])(C)O2)C(C)C
3,C(/C)(=C/CO)\CC\C=C(\C)/C>>[C@@]12(C(C)C)O[C@@](C)([C@]([H])(CC[C@@H]3C)[C@@]3([H])[C@@H]1OC(=O)C=Cc4ccccc4)[C@H](OC(=O)OC(C)(C)C)C2,C(/CC/C=C(\C)/C)(=C\CO)\C>>[C@@]12(C[C@@H](OC(OC(C)(C)C)=O)[C@@]([C@]3([C@]([C@@H]1OC(C=Cc1ccccc1)=O)([H])[C@@H](C)CC3)[H])(C)O2)C(C)C,[C:1](/[CH2:6][CH2:7]/[CH:8]=[C:9](\[CH3:11])/C)(=[CH:3]\[CH2:4][OH:5])\C>>[C@@]12(C[C@@H](OC(OC(C)(C)C)=O)[C@@]([C@]3([C@]([C@@H]1[O:5][C:4]([CH:3]=[CH:1][c:6]1[cH:7][cH:8][cH:9][cH:11]c1)=O)([H])[C@@H](C)CC3)[H])(C)O2)C(C)C
4,[C@]12(C)O[C@](C(C)C)(C=C([C@@](C)(O)CC3)[C@]13[H])C[C@H]2O[Si](C)(C)C(C)(C)C.c1(ccccc1)C=CC(=O)Cl>>[C@]12(C)O[C@](C(C)C)(C=C([C@@](C)(OC(=O)C=Cc3ccccc3)CC4)[C@]14[H])C[C@H]2O[Si](C)(C)C(C)(C)C,[C@]12([C@H](O[Si](C(C)(C)C)(C)C)C[C@](C=C3[C@@]1([H])CC[C@@]3(O)C)(C(C)C)O2)C.c1(C=CC(Cl)=O)ccccc1>>[C@]12([C@H](O[Si](C(C)(C)C)(C)C)C[C@](C=C3[C@@]1([H])CC[C@@]3(OC(C=Cc1ccccc1)=O)C)(C(C)C)O2)C,[C@:1]12([C@H:18]([O:19][Si:20]([C:23]([CH3:26])([CH3:25])[CH3:24])([CH3:22])[CH3:21])[CH2:17][C@:4]([CH:8]=[C:9]3[C@@:15]1([H])[CH2:14][CH2:13][C@@:10]3([OH:12])[CH3:11])([CH:5]([CH3:7])[CH3:6])[O:3]2)[CH3:2].[c:27]1([CH:33]=[CH:34][C:35](Cl)=[O:36])[cH:32][cH:31][cH:30][cH:29][cH:28]1>>[C@:1]12([C@H:18]([O:19][Si:20]([C:23]([CH3:26])([CH3:25])[CH3:24])([CH3:22])[CH3:21])[CH2:17][C@:4]([CH:8]=[C:9]3[C@@:15]1([H])[CH2:14][CH2:13][C@@:10]3([O:12][C:35]([CH:34]=[CH:33][c:27]1[cH:32][cH:31][cH:30][cH:29][cH:28]1)=[O:36])[CH3:11])([CH:5]([CH3:7])[CH3:6])[O:3]2)[CH3:2]
5,[C@]12(C)O[C@](C(C)C)([C@@H](O)C(=C(C)CC3)[C@]13[H])C[C@H]2O[Si](C)(C)C(C)(C)C.c1(ccccc1)C=CC(=O)Cl>>[C@@]12(C(C)C)O[C@@](C)([C@@]3([H])C(=C(C)CC3)[C@@H]1OC(=O)C=Cc4ccccc4)[C@H](O[Si](C)(C)C(C)(C)C)C2,[C@]12([C@H](O[Si](C(C)(C)C)(C)C)C[C@]([C@H](C3[C@@]1([H])CCC=3C)O)(C(C)C)O2)C.c1(C=CC(Cl)=O)ccccc1>>[C@@]12(C[C@@H](O[Si](C(C)(C)C)(C)C)[C@@]([C@@]3(CCC(C)=C3[C@@H]1OC(C=Cc1ccccc1)=O)[H])(C)O2)C(C)C,[C@:1]12([C@H:18]([O:19][Si:20]([C:23]([CH3:26])([CH3:25])[CH3:24])([CH3:22])[CH3:21])[CH2:17][C@:4]([C@H:8]([C:10]3[C@@:15]1([H])[CH2:14][CH2:13][C:11]=3[CH3:12])[OH:9])([CH:5]([CH3:7])[CH3:6])[O:3]2)[CH3:2].[c:27]1([CH:33]=[CH:34][C:35](Cl)=[O:36])[cH:32][cH:31][cH:30][cH:29][cH:28]1>>[C@@:4]12([CH2:17][C@@H:18]([O:19][Si:20]([C:23]([CH3:26])([CH3:25])[CH3:24])([CH3:22])[CH3:21])[C@@:1]([C@@:15]3([CH2:14][CH2:13][C:11]([CH3:12])=[C:10]3[C@@H:8]1[O:9][C:35]([CH:34]=[CH:33][c:27]1[cH:32][cH:31][cH:30][cH:29][cH:28]1)=[O:36])[H])([CH3:2])[O:3]2)[CH:5]([CH3:7])[CH3:6]
6,[C@]12(C)O[C@](C(C)C)([C@@H](O)[C@@]([H])([C@@H](C)CC3)[C@]13[H])C[C@H]2O[Si](C)(C)C(C)(C)C.c1(ccccc1)C=CC(=O)Cl>>[C@@]12(C(C)C)O[C@@](C)([C@]([H])(CC[C@@H]3C)[C@@]3([H])[C@@H]1OC(=O)C=Cc4ccccc4)[C@H](O[Si](C)(C)C(C)(C)C)C2,[C@]12([C@H](O[Si](C(C)(C)C)(C)C)C[C@]([C@H]([C@@]3([C@@]1([H])CC[C@@H]3C)[H])O)(C(C)C)O2)C.c1(C=CC(Cl)=O)ccccc1>>[C@@]12(C[C@@H](O[Si](C(C)(C)C)(C)C)[C@@]([C@]3([C@]([C@@H]1OC(C=Cc1ccccc1)=O)([H])[C@@H](C)CC3)[H])(C)O2)C(C)C,[C@:1]12([C@H:19]([O:20][Si:21]([C:24]([CH3:27])([CH3:26])[CH3:25])([CH3:23])[CH3:22])[CH2:18][C@:4]([C@H:8]([C@@:10]3([C@@:16]1([H])[CH2:15][CH2:14][C@@H:12]3[CH3:13])[H])[OH:9])([CH:5]([CH3:7])[CH3:6])[O:3]2)[CH3:2].[c:28]1([CH:34]=[CH:35][C:36](Cl)=[O:37])[cH:33][cH:32][cH:31][cH:30][cH:29]1>>[C@@:4]12([CH2:18][C@@H:19]([O:20][Si:21]([C:24]([CH3:27])([CH3:26])[CH3:25])([CH3:23])[CH3:22])[C@@:1]([C@:16]3([C@:10]([C@@H:8]1[O:9][C:36]([CH:35]=[CH:34][c:28]1[cH:33][cH:32][cH:31][cH:30][cH:29]1)=[O:37])([H])[C@@H:12]([CH3:13])[CH2:14][CH2:15]3)[H])([CH3:2])[O:3]2)[CH:5]([CH3:7])[CH3:6]
7,[C@]12(C)O[C@](C(C)C)(C=C([C@@](C)(OC(=O)C=Cc3ccccc3)CC4)[C@]14[H])C[C@H]2O.[Si](OCC(=O)O)(c1ccccc1)(c2ccccc2)C(C)(C)C>>[C@]12(C)O[C@](C(C)C)(C=C([C@@](C)(OC(=O)C=Cc3ccccc3)CC4)[C@]14[H])C[C@H]2OC(=O)CO[Si](c5ccccc5)(c6ccccc6)C(C)(C)C,[C@]12([C@H](O)C[C@](C=C3[C@@]1([H])CC[C@@]3(OC(C=Cc1ccccc1)=O)C)(C(C)C)O2)C.[Si](C(C)(C)C)(c1ccccc1)(c1ccccc1)OCC(O)=O>>[C@]12([C@H](OC(CO[Si](C(C)(C)C)(c3ccccc3)c3ccccc3)=O)C[C@](C=C3[C@@]1([H])CC[C@@]3(OC(C=Cc1ccccc1)=O)C)(C(C)C)O2)C,[C@:1]12([C@H:28]([OH:29])[CH2:27][C@:4]([CH:8]=[C:9]3[C@@:25]1([H])[CH2:24][CH2:23][C@@:10]3([O:12][C:13]([CH:15]=[CH:16][c:17]1[cH:22][cH:21][cH:20][cH:19][cH:18]1)=[O:14])[CH3:11])([CH:5]([CH3:7])[CH3:6])[O:3]2)[CH3:2].[Si:30]([C:48]([CH3:51])([CH3:50])[CH3:49])([c:42]1[cH:47][cH:46][cH:45][cH:44][cH:43]1)([c:36]1[cH:41][cH:40][cH:39][cH:38][cH:37]1)[O:31][CH2:32][C:33](O)=[O:34]>>[C@:1]12([C@H:28]([O:29][C:33]([CH2:32][O:31][Si:30]([C:48]([CH3:51])([CH3:50])[CH3:49])([c:42]3[cH:43][cH:44][cH:45][cH:46][cH:47]3)[c:36]3[cH:41][cH:40][cH:39][cH:38][cH:37]3)=[O:34])[CH2:27][C@:4]([CH:8]=[C:9]3[C@@:25]1([H])[CH2:24][CH2:23][C@@:10]3([O:12][C:13]([CH:15]=[CH:16][c:17]1[cH:22][cH:21][cH:20][cH:19][cH:18]1)=[O:14])[CH3:11])([CH:5]([CH3:7])[CH3:6])[O:3]2)[CH3:2]
8,[C@@]12(C(C)C)O[C@@](C)([C@@]3([H])C(=C(C)CC3)[C@@H]1OC(=O)C=Cc4ccccc4)[C@H](O)C2.[Si](OCC(=O)O)(c1ccccc1)(c2ccccc2)C(C)(C)C>>[C@@]12(C(C)C)O[C@@](C)([C@@]3([H])C(=C(C)CC3)[C@@H]1OC(=O)C=Cc4ccccc4)[C@H](OC(=O)CO[Si](c5ccccc5)(c6ccccc6)C(C)(C)C)C2,[C@@]12(C[C@@H](O)[C@@]([C@@]3(CCC(C)=C3[C@@H]1OC(C=Cc1ccccc1)=O)[H])(C)O2)C(C)C.[Si](C(C)(C)C)(c1ccccc1)(c1ccccc1)OCC(O)=O>>[C@@]12(C[C@@H](OC(CO[Si](C(C)(C)C)(c3ccccc3)c3ccccc3)=O)[C@@]([C@@]3(CCC(C)=C3[C@@H]1OC(C=Cc1ccccc1)=O)[H])(C)O2)C(C)C,[C@@:1]12([CH2:29][C@@H:27]([OH:28])[C@@:6]([C@@:8]3([CH2:14][CH2:13][C:11]([CH3:12])=[C:10]3[C@@H:15]1[O:16][C:17]([CH:19]=[CH:20][c:21]1[cH:26][cH:25][cH:24][cH:23][cH:22]1)=[O:18])[H])([CH3:7])[O:5]2)[CH:2]([CH3:4])[CH3:3].[Si:30]([C:48]([CH3:51])([CH3:50])[CH3:49])([c:42]1[cH:47][cH:46][cH:45][cH:44][cH:43]1)([c:36]1[cH:41][cH:40][cH:39][cH:38][cH:37]1)[O:31][CH2:32][C:33](O)=[O:34]>>[C@@:1]12([CH2:29][C@@H:27]([O:28][C:33]([CH2:32][O:31][Si:30]([C:48]([CH3:51])([CH3:50])[CH3:49])([c:42]3[cH:43][cH:44][cH:45][cH:46][cH:47]3)[c:36]3[cH:41][cH:40][cH:39][cH:38][cH:37]3)=[O:34])[C@@:6]([C@@:8]3([CH2:14][CH2:13][C:11]([CH3:12])=[C:10]3[C@@H:15]1[O:16][C:17]([CH:19]=[CH:20][c:21]1[cH:26][cH:25][cH:24][cH:23][cH:22]1)=[O:18])[H])([CH3:7])[O:5]2)[CH:2]([CH3:4])[CH3:3]
9,[C@@]12(C(C)C)O[C@@](C)([C@]([H])(CC[C@@H]3C)[C@@]3([H])[C@@H]1OC(=O)C=Cc4ccccc4)[C@H](O)C2.[Si](OCC(=O)O)(c1ccccc1)(c2ccccc2)C(C)(C)C>>[C@@]12(C(C)C)O[C@@](C)([C@]([H])(CC[C@@H]3C)[C@@]3([H])[C@@H]1OC(=O)C=Cc4ccccc4)[C@H](OC(=O)CO[Si](c5ccccc5)(c6ccccc6)C(C)(C)C)C2,[C@@]12(C[C@@H](O)[C@@]([C@]3([C@]([C@@H]1OC(C=Cc1ccccc1)=O)([H])[C@@H](C)CC3)[H])(C)O2)C(C)C.[Si](C(C)(C)C)(c1ccccc1)(c1ccccc1)OCC(O)=O>>[C@@]12(C[C@@H](OC(CO[Si](C(C)(C)C)(c3ccccc3)c3ccccc3)=O)[C@@]([C@]3([C@]([C@@H]1OC(C=Cc1ccccc1)=O)([H])[C@@H](C)CC3)[H])(C)O2)C(C)C,[C@@:1]12([CH2:30][C@@H:28]([OH:29])[C@@:6]([C@:8]3([C@:14]([C@@H:16]1[O:17][C:18]([CH:20]=[CH:21][c:22]1[cH:27][cH:26][cH:25][cH:24][cH:23]1)=[O:19])([H])[C@@H:12]([CH3:13])[CH2:11][CH2:10]3)[H])([CH3:7])[O:5]2)[CH:2]([CH3:4])[CH3:3].[Si:31]([C:49]([CH3:52])([CH3:51])[CH3:50])([c:43]1[cH:48][cH:47][cH:46][cH:45][cH:44]1)([c:37]1[cH:42][cH:41][cH:40][cH:39][cH:38]1)[O:32][CH2:33][C:34](O)=[O:35]>>[C@@:1]12([CH2:30][C@@H:28]([O:29][C:34]([CH2:33][O:32][Si:31]([C:49]([CH3:52])([CH3:51])[CH3:50])([c:43]3[cH:44][cH:45][cH:46][cH:47][cH:48]3)[c:37]3[cH:42][cH:41][cH:40][cH:39][cH:38]3)=[O:35])[C@@:6]([C@:8]3([C@:14]([C@@H:16]1[O:17][C:18]([CH:20]=[CH:21][c:22]1[cH:27][cH:26][cH:25][cH:24][cH:23]1)=[O:19])([H])[C@@H:12]([CH3:13])[CH2:11][CH2:10]3)[H])([CH3:7])[O:5]2)[CH:2]([CH3:4])[CH3:3]
