,raw_ractions,transformed_reactions,automap
2601,S1(=O)(=O)N=C(Cl)c(cccc2)c12>>S1(=O)(=O)N=C(C(C)(C)C)c(cccc2)c12,S1(c2ccccc2C(Cl)=N1)(=O)=O>>S1(c2ccccc2C(C(C)(C)C)=N1)(=O)=O,[S:1]1([c:12]2[cH:11][cH:10][cH:9][cH:8][c:7]2[C:5](Cl)=[N:4]1)(=[O:3])=[O:2]>>[S:1]1([c:12]2[cH:11][cH:10][cH:9][cH:8][c:7]2[C:5]([C:7]([CH3:12])([CH3:8])[CH3:5])=[N:4]1)(=[O:3])=[O:2]
2602,[C@@]12(C[C@](OC)([C@@H](OCc3ccccc3)C4(C)C)CC1)[C@]4([H])CC[C@@H]2C>>[C@@]123CC[C@@](C)(C(=O)C1)C(C)(C)[C@]2([H])CC[C@H]3C,[C@@]123[C@@H](C)CC[C@]1([H])C(C)(C)[C@H](OCc1ccccc1)[C@@](CC2)(OC)C3>>[C@@]123[C@H](C)CC[C@@]1([H])C(C)(C)[C@@](C(C2)=O)(C)CC3,[C@@:1]123[C@@H:24](C)C[CH2:22][C@:20]1([H])[C:15]([CH3:17])([CH3:16])[C@H:6](OCc1ccccc1)[C@@:3](CC2)(OC)[CH2:2]3>>[C@@:2]123[C@H](C)C[CH2:24][C@@:1]1([H])[C:20]([CH3:22])(C)[C@@:15]([C:6]([CH2:3]2)=O)([CH3:16])[CH2:17]C3
2603,[C@@]12(C[C@](OC)([C@@H](OCc3ccccc3)C4(C)C)CC1)[C@]4([H])CC[C@@H]2C>>[C@@]12(C[C@](OC)(C(=C)C3(C)C)CC1)[C@]3([H])CC[C@@H]2C,[C@@]123[C@@H](C)CC[C@]1([H])C(C)(C)[C@H](OCc1ccccc1)[C@@](CC2)(OC)C3>>[C@@]123[C@@H](C)CC[C@]1([H])C(C)(C)C(=C)[C@@](CC2)(OC)C3,[C@@:1]123[C@@H:24]([CH3:25])[CH2:23][CH2:22][C@:20]1([H])[C:15]([CH3:17])([CH3:16])[C@H:6](OCc1ccccc1)[C@@:3]([CH2:18][CH2:19]2)([O:4][CH3:5])[CH2:2]3>>[C@@:1]123[C@@H:24]([CH3:25])[CH2:23][CH2:22][C@:20]1([H])[C:15]([CH3:17])([CH3:16])[C:6](=C)[C@@:3]([CH2:18][CH2:19]2)([O:4][CH3:5])[CH2:2]3
2604,[Si](C)(C)(OCCC(=C)C=O)C(C)(C)C>>[Si](C)(C)(OCCC(=C)[C@@H](O)[C@H](C)Cc1ccccc1)C(C)(C)C,[Si](C(C)(C)C)(OCCC(C=O)=C)(C)C>>[Si](C(C)(C)C)(OCCC([C@H]([C@@H](Cc1ccccc1)C)O)=C)(C)C,[Si:1]([C:11]([CH3:14])([CH3:13])[CH3:12])([O:4][CH2:5][CH2:6][C:7]([CH:9]=O)=[CH2:8])([CH3:3])[CH3:2]>>[Si:1]([C:11]([CH3:14])([CH3:13])[CH3:12])([O:4][CH2:5][CH2:6][C:7]([C@H:9]([C@@H](Cc1ccccc1)C)O)=[CH2:8])([CH3:3])[CH3:2]
2605,[Si](C)(C)(OCCC(=C)C=O)C(C)(C)C>>[Si](C)(C)(OCCC(=C)[C@@H](O)[C@H](C)C(=O)N(C)OC)C(C)(C)C,[Si](C(C)(C)C)(OCCC(C=O)=C)(C)C>>[Si](C(C)(C)C)(OCCC([C@H]([C@@H](C(N(OC)C)=O)C)O)=C)(C)C,[Si:1]([C:11]([CH3:14])([CH3:13])[CH3:12])([O:4][CH2:5][CH2:6][C:7]([CH:9]=O)=[CH2:8])([CH3:3])[CH3:2]>>[Si:1]([C:11]([CH3:14])([CH3:13])[CH3:12])([O:4][CH2:5][CH2:6][C:7]([C@H:9]([C@@H](C(N(OC)C)=O)C)O)=[CH2:8])([CH3:3])[CH3:2]
2606,[Si](C)(C)(OCCC(=C)C=O)C(C)(C)C>>[Si](C)(C)(OCCC(=C)[C@@H](O)[C@H](C)C(O)c1ccccc1)C(C)(C)C,[Si](C(C)(C)C)(OCCC(C=O)=C)(C)C>>[Si](C(C)(C)C)(OCCC([C@H]([C@@H](C(c1ccccc1)O)C)O)=C)(C)C,[Si:1]([C:11]([CH3:14])([CH3:13])[CH3:12])([O:4][CH2:5][CH2:6][C:7]([CH:9]=O)=[CH2:8])([CH3:3])[CH3:2]>>[Si:1]([C:11]([CH3:14])([CH3:13])[CH3:12])([O:4][CH2:5][CH2:6][C:7]([C@H:9]([C@@H](C(c1ccccc1)O)C)O)=[CH2:8])([CH3:3])[CH3:2]
2607,[Si](C)(C)(OCCC(=C)C=O)C(C)(C)C>>C1(c2ccccc2)OC(C)(C)O[C@H](C(=C)CCO[Si](C)(C)C(C)(C)C)[C@@H]1C,[Si](C(C)(C)C)(OCCC(C=O)=C)(C)C>>C1([C@@H](C)[C@@H](C(CCO[Si](C(C)(C)C)(C)C)=C)OC(C)(C)O1)c1ccccc1,[Si:1]([C:11]([CH3:14])([CH3:13])[CH3:12])([O:4][CH2:5][CH2:6][C:7]([CH:9]=O)=[CH2:8])([CH3:3])[CH3:2]>>C1([C@@H](C)[C@@H:9]([C:7]([CH2:6][CH2:5][O:4][Si:1]([C:11]([CH3:14])([CH3:13])[CH3:12])([CH3:3])[CH3:2])=[CH2:8])OC(C)(C)O1)c1ccccc1
2608,[Si](C)(C)(OCCC(=C)C=O)C(C)(C)C>>[Si](C)(C)(OCCC(=C)[C@@H](O)[C@H](C)C(=O)c1ccccc1)C(C)(C)C,[Si](C(C)(C)C)(OCCC(C=O)=C)(C)C>>[Si](C(C)(C)C)(OCCC([C@H]([C@@H](C(c1ccccc1)=O)C)O)=C)(C)C,[Si:1]([C:11]([CH3:14])([CH3:13])[CH3:12])([O:4][CH2:5][CH2:6][C:7]([CH:9]=O)=[CH2:8])([CH3:3])[CH3:2]>>[Si:1]([C:11]([CH3:14])([CH3:13])[CH3:12])([O:4][CH2:5][CH2:6][C:7]([C@H:9]([C@@H](C(c1ccccc1)=O)C)O)=[CH2:8])([CH3:3])[CH3:2]
2609,[Si](C)(C)(O[C@H](\C(\C)=C\C)[C@@H](C)C=O)C(C)(C)C>>[Si](C)(C)(O[C@H](\C(\C)=C\C)[C@@H](C)\C=C\C=O)C(C)(C)C,[Si](C(C)(C)C)(O[C@@H]([C@H](C=O)C)/C(=C/C)/C)(C)C>>[Si](C(C)(C)C)(O[C@@H]([C@H](/C=C/C=O)C)/C(=C/C)/C)(C)C,[Si:1]([C:14]([CH3:17])([CH3:16])[CH3:15])([O:4][C@@H:5]([C@H:10]([CH:12]=O)[CH3:11])/[C:6](=[CH:8]/[CH3:9])/[CH3:7])([CH3:3])[CH3:2]>>[Si:1]([C:14]([CH3:17])([CH3:16])[CH3:15])([O:4][C@@H:5]([C@H:10](/[CH:12]=C/C=O)[CH3:11])/[C:6](=[CH:8]/[CH3:9])/[CH3:7])([CH3:3])[CH3:2]
2610,[Si](C)(C)(O[C@H](\C(\C)=C\C)[C@@H](C)C=O)C(C)(C)C>>[Si](C)(C)(O[C@H](\C(\C)=C\C)[C@@H](C)\C=C\[C@@H](O)[C@@H](C)C(=O)[C@H](C)OC(=O)c1ccccc1)C(C)(C)C,[Si](C(C)(C)C)(O[C@@H]([C@H](C=O)C)/C(=C/C)/C)(C)C>>[Si](C(C)(C)C)(O[C@@H]([C@H](/C=C/[C@H]([C@H](C([C@@H](OC(c1ccccc1)=O)C)=O)C)O)C)/C(=C/C)/C)(C)C,[Si:1]([C:14]([CH3:17])([CH3:16])[CH3:15])([O:4][C@@H:5]([C@H:10]([CH:12]=O)[CH3:11])/[C:6](=[CH:8]/[CH3:9])/[CH3:7])([CH3:3])[CH3:2]>>[Si:1]([C:14]([CH3:17])([CH3:16])[CH3:15])([O:4][C@@H:5]([C@H:10](/[CH:12]=C/[C@H]([C@H](C([C@@H](OC(c1ccccc1)=O)C)=O)C)O)[CH3:11])/[C:6](=[CH:8]/[CH3:9])/[CH3:7])([CH3:3])[CH3:2]
