,raw_ractions,transformed_reactions,automap
0,c1(cc(Cl)ccc1F)c2ccc(CN(C[C@@H](O)C(=O)OCC)NC(=O)c3onc(OC)c3)cc2>>c1(cc(Cl)ccc1F)c2ccc(CN(C[C@@H](O)C(=O)OCOC(=O)[C@@H](NC(=O)OC)C(C)C)NC(=O)c3onc(OC)c3)cc2,c1(-c2ccc(CN(NC(c3cc(OC)no3)=O)C[C@H](C(OCC)=O)O)cc2)c(F)ccc(Cl)c1>>c1(-c2ccc(CN(NC(c3cc(OC)no3)=O)C[C@H](C(OCOC([C@H](C(C)C)NC(OC)=O)=O)=O)O)cc2)c(F)ccc(Cl)c1,[c:1]1(-[c:9]2[cH:34][cH:33][c:12]([CH2:13][N:14]([NH:23][C:24]([c:26]3[cH:32][c:29]([O:30][CH3:31])[n:28][o:27]3)=[O:25])[CH2:15][C@H:16]([C:18]([O:20]CC)=[O:19])[OH:17])[cH:11][cH:10]2)[c:7]([F:8])[cH:6][cH:5][c:3]([Cl:4])[cH:2]1>>[c:1]1(-[c:9]2[cH:10][cH:11][c:12]([CH2:13][N:14]([NH:23][C:24]([c:26]3[cH:32][c:29]([O:30][CH3:31])[n:28][o:27]3)=[O:25])[CH2:15][C@H:16]([C:18]([O:20]COC([C@H](C(C)C)NC(OC)=O)=O)=[O:19])[OH:17])[cH:33][cH:34]2)[c:7]([F:8])[cH:6][cH:5][c:3]([Cl:4])[cH:2]1
1,c1(cc(Cl)ccc1F)c2ccc(CN(C[C@@H](O)C(=O)OCC)NC(=O)c3onc(OC)c3)cc2>>c1(cc(Cl)ccc1F)c2ccc(CN(C[C@@H](O)C(=O)OCOC(=O)OC(C)C)NC(=O)c3onc(OC)c3)cc2,c1(-c2ccc(CN(NC(c3cc(OC)no3)=O)C[C@H](C(OCC)=O)O)cc2)c(F)ccc(Cl)c1>>c1(-c2ccc(CN(NC(c3cc(OC)no3)=O)C[C@H](C(OCOC(OC(C)C)=O)=O)O)cc2)c(F)ccc(Cl)c1,[c:1]1(-[c:9]2[cH:34][cH:33][c:12]([CH2:13][N:14]([NH:23][C:24]([c:26]3[cH:32][c:29]([O:30][CH3:31])[n:28][o:27]3)=[O:25])[CH2:15][C@H:16]([C:18]([O:20][CH2:21]C)=[O:19])[OH:17])[cH:11][cH:10]2)[c:7]([F:8])[cH:6][cH:5][c:3]([Cl:4])[cH:2]1>>[c:1]1(-[c:9]2[cH:34][cH:33][c:12]([CH2:13][N:14]([NH:23][C:24]([c:26]3[cH:32][c:29]([O:30][CH3:31])[n:28][o:27]3)=[O:25])[CH2:15][C@H:16]([C:18]([O:20][CH2:21]OC(OC(C)C)=O)=[O:19])[OH:17])[cH:11][cH:10]2)[c:7]([F:8])[cH:6][cH:5][c:3]([Cl:4])[cH:2]1
2,c1(cc(Cl)ccc1F)c2ccc(CN(C[C@@H](O)C(=O)OCC)NC(=O)c3onc(OC)c3)cc2>>c1(cc(Cl)ccc1F)c2ccc(CN(NC(=O)c3onc(OC)c3)C[C@@H](OC(=O)CN)C(=O)OCC)cc2,c1(-c2ccc(CN(NC(c3cc(OC)no3)=O)C[C@H](C(OCC)=O)O)cc2)c(F)ccc(Cl)c1>>c1(-c2ccc(CN(C[C@H](C(OCC)=O)OC(CN)=O)NC(c3cc(OC)no3)=O)cc2)c(F)ccc(Cl)c1,[c:1]1(-[c:9]2[cH:34][cH:33][c:12]([CH2:13][N:14]([NH:23][C:24]([c:26]3[cH:32][c:29]([O:30][CH3:31])[n:28][o:27]3)=[O:25])[CH2:15][C@H:16]([C:18]([O:20][CH2:21][CH3:22])=[O:19])[OH:17])[cH:11][cH:10]2)[c:7]([F:8])[cH:6][cH:5][c:3]([Cl:4])[cH:2]1>>[c:1]1(-[c:9]2[cH:34][cH:33][c:12]([CH2:13][N:14]([CH2:15][C@H:16]([C:18]([O:20][CH2:21][CH3:22])=[O:19])[O:17][C:26]([CH2:24][NH2:23])=[O:27])[NH:23][C:24]([c:26]3[cH:32][c:29]([O:30][CH3:31])[n:28][o:27]3)=[O:25])[cH:11][cH:10]2)[c:7]([F:8])[cH:6][cH:5][c:3]([Cl:4])[cH:2]1
3,c1(cc(Cl)ccc1F)c2ccc(CN(C[C@@H](O)C(=O)OCC)NC(=O)c3onc(OC)c3)cc2>>c1(cc(Cl)ccc1F)c2ccc(CN(C[C@@H](OC(=O)CC)C(=O)O)NC(=O)c3onc(OC)c3)cc2,c1(-c2ccc(CN(NC(c3cc(OC)no3)=O)C[C@H](C(OCC)=O)O)cc2)c(F)ccc(Cl)c1>>c1(-c2ccc(CN(NC(c3cc(OC)no3)=O)C[C@H](C(O)=O)OC(CC)=O)cc2)c(F)ccc(Cl)c1,[c:1]1(-[c:9]2[cH:34][cH:33][c:12]([CH2:13][N:14]([NH:23][C:24]([c:26]3[cH:32][c:29]([O:30][CH3:31])[n:28][o:27]3)=[O:25])[CH2:15][C@H:16]([C:18]([O:20]CC)=[O:19])[OH:17])[cH:11][cH:10]2)[c:7]([F:8])[cH:6][cH:5][c:3]([Cl:4])[cH:2]1>>[c:1]1(-[c:9]2[cH:34][cH:33][c:12]([CH2:13][N:14]([NH:23][C:24]([c:26]3[cH:32][c:29]([O:30][CH3:31])[n:28][o:27]3)=[O:25])[CH2:15][C@H:16]([C:18]([OH:20])=[O:19])[O:17][C:18]([CH2:16][CH3:15])=[O:19])[cH:11][cH:10]2)[c:7]([F:8])[cH:6][cH:5][c:3]([Cl:4])[cH:2]1
4,c1(cc(Cl)ccc1F)c2ccc(CN(C[C@@H](O)C(=O)OCC)NC(=O)c3onc(OC)c3)cc2>>C(F)(F)(F)C(=O)O.c1(cc(Cl)ccc1F)c2ccc(CN(C[C@@H](O)C(=O)OCOC(=O)[C@@H](N)C(C)C)NC(=O)c3onc(OC)c3)cc2,c1(-c2ccc(CN(NC(c3cc(OC)no3)=O)C[C@H](C(OCC)=O)O)cc2)c(F)ccc(Cl)c1>>C(C(O)=O)(F)(F)F.c1(-c2ccc(CN(NC(c3cc(OC)no3)=O)C[C@H](C(OCOC([C@H](C(C)C)N)=O)=O)O)cc2)c(F)ccc(Cl)c1,[c:1]1(-[c:9]2[cH:34][cH:33][c:12]([CH2:13][N:14]([NH:23][C:24]([c:26]3[cH:32][c:29]([O:30][CH3:31])[n:28][o:27]3)=[O:25])[CH2:15][C@H:16]([C:18]([O:20]CC)=[O:19])[OH:17])[cH:11][cH:10]2)[c:7]([F:8])[cH:6][cH:5][c:3]([Cl:4])[cH:2]1>>[C:16]([C:18]([OH:20])=[O:19])(F)(F)F.[c:1]1(-[c:9]2[cH:34][cH:33][c:12]([CH2:13][N:14]([NH:23][C:24]([c:26]3[cH:32][c:29]([O:30][CH3:31])[n:28][o:27]3)=[O:25])[CH2:15][C@H:16]([C:18]([O:20]COC([C@H](C(C)C)N)=O)=[O:19])[OH:17])[cH:11][cH:10]2)[c:7]([F:8])[cH:6][cH:5][c:3]([Cl:4])[cH:2]1
5,c1(cc(Cl)ccc1F)c2ccc(CN(C[C@@H](O)C(=O)OCC)NC(=O)c3onc(OC)c3)cc2>>c1(cc(Cl)ccc1F)c2ccc(CN(NC(=O)c3onc(OC)c3)C[C@H](C(=O)O)OC(=O)[C@@H](NC(=O)OC)C(C)C)cc2,c1(-c2ccc(CN(NC(c3cc(OC)no3)=O)C[C@H](C(OCC)=O)O)cc2)c(F)ccc(Cl)c1>>c1(-c2ccc(CN(C[C@@H](OC([C@H](C(C)C)NC(OC)=O)=O)C(O)=O)NC(c3cc(OC)no3)=O)cc2)c(F)ccc(Cl)c1,[c:1]1(-[c:9]2[cH:34][cH:33][c:12]([CH2:13][N:14]([NH:23][C:24]([c:26]3[cH:32][c:29]([O:30][CH3:31])[n:28][o:27]3)=[O:25])[CH2:15][C@H:16]([C:18]([O:20]CC)=[O:19])[OH:17])[cH:11][cH:10]2)[c:7]([F:8])[cH:6][cH:5][c:3]([Cl:4])[cH:2]1>>[c:1]1(-[c:9]2[cH:34][cH:33][c:12]([CH2:13][N:14]([CH2:15][C@@H:16]([O:17]C([C@H](C(C)C)NC(OC)=O)=O)[C:18]([OH:20])=[O:19])[NH:23][C:24]([c:26]3[cH:32][c:29]([O:30][CH3:31])[n:28][o:27]3)=[O:25])[cH:11][cH:10]2)[c:7]([F:8])[cH:6][cH:5][c:3]([Cl:4])[cH:2]1
6,c1(cc(Cl)ccc1F)c2ccc(CN(C[C@@H](O)C(=O)OCC)NC(=O)c3onc(OC)c3)cc2>>c1(cc(Cl)ccc1F)c2ccc(CN(NC(=O)c3onc(OC)c3)C[C@H](C(=O)O)OC(=O)[C@H](C)N)cc2,c1(-c2ccc(CN(NC(c3cc(OC)no3)=O)C[C@H](C(OCC)=O)O)cc2)c(F)ccc(Cl)c1>>c1(-c2ccc(CN(C[C@@H](OC([C@@H](N)C)=O)C(O)=O)NC(c3cc(OC)no3)=O)cc2)c(F)ccc(Cl)c1,[c:1]1(-[c:9]2[cH:34][cH:33][c:12]([CH2:13][N:14]([NH:23][C:24]([c:26]3[cH:32][c:29]([O:30][CH3:31])[n:28][o:27]3)=[O:25])[CH2:15][C@H:16]([C:18]([O:20]CC)=[O:19])[OH:17])[cH:11][cH:10]2)[c:7]([F:8])[cH:6][cH:5][c:3]([Cl:4])[cH:2]1>>[c:1]1(-[c:9]2[cH:34][cH:33][c:12]([CH2:13][N:14]([CH2:15][C@@H:16]([O:17]C([C@@H](N)C)=O)[C:18]([OH:20])=[O:19])[NH:23][C:24]([c:26]3[cH:32][c:29]([O:30][CH3:31])[n:28][o:27]3)=[O:25])[cH:11][cH:10]2)[c:7]([F:8])[cH:6][cH:5][c:3]([Cl:4])[cH:2]1
7,c1(cc(Cl)ccc1F)c2ccc(CN(C[C@@H](O)C(=O)OCC)NC(=O)c3onc(OC)c3)cc2>>c1(cc(Cl)ccc1F)c2ccc(CN(NC(=O)c3onc(OC)c3)C[C@H](C(=O)O)OC(=O)[C@H](C(C)C)NC(=O)OC(C)(C)C)cc2,c1(-c2ccc(CN(NC(c3cc(OC)no3)=O)C[C@H](C(OCC)=O)O)cc2)c(F)ccc(Cl)c1>>c1(-c2ccc(CN(C[C@@H](OC([C@@H](NC(OC(C)(C)C)=O)C(C)C)=O)C(O)=O)NC(c3cc(OC)no3)=O)cc2)c(F)ccc(Cl)c1,[c:1]1(-[c:9]2[cH:34][cH:33][c:12]([CH2:13][N:14]([NH:23][C:24]([c:26]3[cH:32][c:29]([O:30][CH3:31])[n:28][o:27]3)=[O:25])[CH2:15][C@H:16]([C:18]([O:20]CC)=[O:19])[OH:17])[cH:11][cH:10]2)[c:7]([F:8])[cH:6][cH:5][c:3]([Cl:4])[cH:2]1>>[c:1]1(-[c:9]2[cH:34][cH:33][c:12]([CH2:13][N:14]([CH2:15][C@@H:16]([O:17]C([C@@H](NC(OC(C)(C)C)=O)C(C)C)=O)[C:18]([OH:20])=[O:19])[NH:23][C:24]([c:26]3[cH:32][c:29]([O:30][CH3:31])[n:28][o:27]3)=[O:25])[cH:11][cH:10]2)[c:7]([F:8])[cH:6][cH:5][c:3]([Cl:4])[cH:2]1
8,c1(cc(Cl)ccc1F)c2ccc(CN(C[C@@H](O)C(=O)OCC)NC(=O)c3onc(OC)c3)cc2>>c1(cc(Cl)ccc1F)c2ccc(CN(NC(=O)c3onc(OC)c3)C[C@H](C(=O)O)OC(=O)CNC(=O)OC(C)(C)C)cc2,c1(-c2ccc(CN(NC(c3cc(OC)no3)=O)C[C@H](C(OCC)=O)O)cc2)c(F)ccc(Cl)c1>>c1(-c2ccc(CN(C[C@@H](OC(CNC(OC(C)(C)C)=O)=O)C(O)=O)NC(c3cc(OC)no3)=O)cc2)c(F)ccc(Cl)c1,[c:1]1(-[c:9]2[cH:34][cH:33][c:12]([CH2:13][N:14]([NH:23][C:24]([c:26]3[cH:32][c:29]([O:30][CH3:31])[n:28][o:27]3)=[O:25])[CH2:15][C@H:16]([C:18]([O:20]CC)=[O:19])[OH:17])[cH:11][cH:10]2)[c:7]([F:8])[cH:6][cH:5][c:3]([Cl:4])[cH:2]1>>[c:1]1(-[c:9]2[cH:34][cH:33][c:12]([CH2:13][N:14]([CH2:15][C@@H:16]([O:17]C(CNC(OC(C)(C)C)=O)=O)[C:18]([OH:20])=[O:19])[NH:23][C:24]([c:26]3[cH:32][c:29]([O:30][CH3:31])[n:28][o:27]3)=[O:25])[cH:11][cH:10]2)[c:7]([F:8])[cH:6][cH:5][c:3]([Cl:4])[cH:2]1
9,c1(cc(Cl)ccc1F)c2ccc(CN(C[C@@H](O)C(=O)OCC)NC(=O)c3onc(OC)c3)cc2>>c1(cc(Cl)ccc1F)c2ccc(CN(C[C@@H](O)C(=O)OC(C)OC(=O)OC3CCCCC3)NC(=O)c4onc(OC)c4)cc2,c1(-c2ccc(CN(NC(c3cc(OC)no3)=O)C[C@H](C(OCC)=O)O)cc2)c(F)ccc(Cl)c1>>c1(-c2ccc(CN(NC(c3cc(OC)no3)=O)C[C@H](C(OC(OC(OC3CCCCC3)=O)C)=O)O)cc2)c(F)ccc(Cl)c1,[c:1]1(-[c:9]2[cH:34][cH:33][c:12]([CH2:13][N:14]([NH:23][C:24]([c:26]3[cH:32][c:29]([O:30][CH3:31])[n:28][o:27]3)=[O:25])[CH2:15][C@H:16]([C:18]([O:20][CH2:21][CH3:22])=[O:19])[OH:17])[cH:11][cH:10]2)[c:7]([F:8])[cH:6][cH:5][c:3]([Cl:4])[cH:2]1>>[c:1]1(-[c:9]2[cH:34][cH:33][c:12]([CH2:13][N:14]([NH:23][C:24]([c:26]3[cH:32][c:29]([O:30][CH3:31])[n:28][o:27]3)=[O:25])[CH2:15][C@H:16]([C:18]([O:20][CH:21](OC(OC3CCCCC3)=O)[CH3:22])=[O:19])[OH:17])[cH:11][cH:10]2)[c:7]([F:8])[cH:6][cH:5][c:3]([Cl:4])[cH:2]1
