,raw_ractions,transformed_reactions,automap
0,c1(cccc(B(O)O)c1)C(N)=O.[C@@H]1(C[C@H](CC2)N[C@@H]12)c3cnc(F)c(Br)c3>>[C@H]1(C[C@@]([H])(CC2)N[C@]12[H])c3cnc(F)c(c4cccc(C(N)=O)c4)c3,c1(C(=O)N)cc(B(O)O)ccc1.[C@@H]1(c2cc(Br)c(F)nc2)[C@H]2CC[C@H](N2)C1>>[C@H]1(c2cc(-c3cc(C(=O)N)ccc3)c(F)nc2)[C@]2([H])CC[C@](N2)([H])C1,[c:1]1([C:10](=[O:12])[NH2:11])[cH:9][c:5](B(O)O)[cH:4][cH:3][cH:2]1.[C@@H:13]1([c:20]2[cH:27][c:25](Br)[c:23]([F:24])[n:22][cH:21]2)[C@H:19]2[CH2:17][CH2:16][C@H:15]([NH:18]2)[CH2:14]1>>[C@H:13]1([c:20]2[cH:27][c:25](-[c:5]3[cH:9][c:1]([C:10](=[O:12])[NH2:11])[cH:2][cH:3][cH:4]3)[c:23]([F:24])[n:22][cH:21]2)[C@:19]2([H])[CH2:17][CH2:16][C@:15]([NH:18]2)([H])[CH2:14]1
1,C1(C)(C)OB(c2cc(N)c(F)cc2C)OC1(C)C.c12c(cnc(Cl)c1)cc(Br)cn2>>c1(cnc(cc(Cl)nc2)c2c1)c3cc(N)c(F)cc3C,C1(C(C)(C)OB(c2c(C)cc(F)c(N)c2)O1)(C)C.c12ncc(Br)cc1cnc(c2)Cl>>c1(-c2c(C)cc(F)c(N)c2)cc2cnc(Cl)cc2nc1,C1(C(C)(C)OB([c:6]2[c:13]([CH3:14])[cH:12][c:10]([F:11])[c:8]([NH2:9])[cH:7]2)O1)(C)C.[c:19]12[n:30][cH:29][c:27](Br)[cH:26][c:20]1[cH:21][n:22][c:23]([cH:25]2)[Cl:24]>>[c:27]1(-[c:6]2[c:13]([CH3:14])[cH:12][c:10]([F:11])[c:8]([NH2:9])[cH:7]2)[cH:26][c:20]2[cH:21][n:22][c:23]([Cl:24])[cH:25][c:19]2[n:30][cH:29]1
2,c12c([nH]cc1C=O)cc(Cl)c(Br)c2.C1(C)(C)COB(c2ccc(OCC(C)(C)CO)cc2)OC1>>c12c([nH]cc1C=O)cc(Cl)c(c3ccc(OCC(C)(C)CO)cc3)c2,c12cc(Br)c(Cl)cc1[nH]cc2C=O.C1(COB(c2ccc(OCC(CO)(C)C)cc2)OC1)(C)C>>c12cc(-c3ccc(OCC(CO)(C)C)cc3)c(Cl)cc1[nH]cc2C=O,[c:1]12[cH:13][c:11](Br)[c:9]([Cl:10])[cH:8][c:2]1[nH:3][cH:4][c:5]2[CH:6]=[O:7].C1(COB([c:20]2[cH:32][cH:31][c:23]([O:24][CH2:25][C:26]([CH2:29][OH:30])([CH3:28])[CH3:27])[cH:22][cH:21]2)OC1)(C)C>>[c:1]12[cH:13][c:11](-[c:20]3[cH:32][cH:31][c:23]([O:24][CH2:25][C:26]([CH2:29][OH:30])([CH3:28])[CH3:27])[cH:22][cH:21]3)[c:9]([Cl:10])[cH:8][c:2]1[nH:3][cH:4][c:5]2[CH:6]=[O:7]
3,c1(ccc(OC)cc1)B(O)O.c1(C)cc(Br)c(C#N)cc1N(=O)=O>>c1(cc(C)c(N(=O)=O)cc1C#N)c2ccc(OC)cc2,c1(B(O)O)ccc(OC)cc1.c1(c(N(=O)=O)cc(C#N)c(Br)c1)C>>c1(-c2ccc(OC)cc2)c(C#N)cc(N(=O)=O)c(C)c1,[c:1]1(B(O)O)[cH:8][cH:7][c:4]([O:5][CH3:6])[cH:3][cH:2]1.[c:12]1([c:21]([N:22](=[O:24])=[O:23])[cH:20][c:17]([C:18]#[N:19])[c:15](Br)[cH:14]1)[CH3:13]>>[c:15]1(-[c:1]2[cH:8][cH:7][c:4]([O:5][CH3:6])[cH:3][cH:2]2)[c:17]([C:18]#[N:19])[cH:20][c:21]([N:22](=[O:24])=[O:23])[c:12]([CH3:13])[cH:14]1
