,raw_ractions,transformed_reactions,automap
0,c12c(ccs1)nccc2O>>c12c(cnc(ccs3)c13)nc([C@@H](C)O)n2[C@@H]4CC[C@@H](CCC#N)CC4,c12c(O)ccnc1ccs2>>c12[n]([C@H]3CC[C@H](CCC#N)CC3)c([C@H](O)C)nc1cnc1c2scc1,[c:1]12[c:9](O)[cH:8][cH:7][n:6][c:2]1[cH:3][cH:4][s:5]2>>[c:9]12[n]([C@H]3CC[C@H](CCC#N)CC3)c([C@H](O)C)n[c:8]1[cH:7][n:6][c:2]1[c:1]2[s:5][cH:4][cH:3]1
1,c12c(ccs1)nccc2O>>c12c(cnc(ccs3)c13)nc([C@@H](C)O)n2C4CCN(C(=O)OC(C)(C)C)CC4F,c12c(O)ccnc1ccs2>>c12[n](C3C(F)CN(C(OC(C)(C)C)=O)CC3)c([C@H](O)C)nc1cnc1c2scc1,[c:1]12[c:9](O)[cH:8][cH:7][n:6][c:2]1[cH:3][cH:4][s:5]2>>[c:9]12[n](C3C(F)CN(C(OC(C)(C)C)=O)CC3)c([C@H](O)C)n[c:8]1[cH:7][n:6][c:2]1[c:1]2[s:5][cH:4][cH:3]1
2,c12c(ccs1)nccc2O>>n1(C2CCNCC2F)c([C@@H](C)O)nc(cnc(ccs3)c34)c14,c12c(O)ccnc1ccs2>>[n]1(c2c3sccc3ncc2nc1[C@H](O)C)C1C(F)CNCC1,[c:1]12[c:9](O)[cH:8][cH:7][n:6][c:2]1[cH:3][cH:4][s:5]2>>[n]1([c:9]2[c:1]3[s:5][cH:4][cH:3][c:2]3[n:6][cH:7][c:8]2nc1[C@H](O)C)C1C(F)CNCC1
3,c12c(ccs1)nccc2O>>c1(N[C@@H]2CC[C@@H](CS(=O)(=O)NC)CC2)c(N(=O)=O)cnc(ccs3)c13,c12c(O)ccnc1ccs2>>c1(c2sccc2ncc1N(=O)=O)N[C@H]1CC[C@H](CS(NC)(=O)=O)CC1,[c:1]12[c:9](O)[cH:8][cH:7][n:6][c:2]1[cH:3][cH:4][s:5]2>>[c:9]1([c:1]2[s:5][cH:4][cH:3][c:2]2[n:6][cH:7][c:8]1N(=O)=O)N[C@H]1CC[C@H](CS(NC)(=O)=O)CC1
4,c12c(ccs1)nccc2O>>c12c(ccs1)ncc(N)c2N[C@@H]3CC[C@@H](CS(=O)(=O)NC)CC3,c12c(O)ccnc1ccs2>>c12c(N[C@H]3CC[C@H](CS(NC)(=O)=O)CC3)c(N)cnc1ccs2,[c:1]12[c:9](O)[cH:8][cH:7][n:6][c:2]1[cH:3][cH:4][s:5]2>>[c:1]12[c:9](N[C@H]3CC[C@H](CS(NC)(=O)=O)CC3)[c:8](N)[cH:7][n:6][c:2]1[cH:3][cH:4][s:5]2
5,c12c(ccs1)nccc2O>>c12c(cnc(ccs3)c13)nc([C@@H](C)O)n2[C@@H]4CC[C@@H](CS(=O)(=O)NC)CC4,c12c(O)ccnc1ccs2>>c12[n]([C@H]3CC[C@H](CS(NC)(=O)=O)CC3)c([C@H](O)C)nc1cnc1c2scc1,[c:1]12[c:9](O)[cH:8][cH:7][n:6][c:2]1[cH:3][cH:4][s:5]2>>[c:9]12[n]([C@H]3CC[C@H](CS(NC)(=O)=O)CC3)c([C@H](O)C)n[c:8]1[cH:7][n:6][c:2]1[c:1]2[s:5][cH:4][cH:3]1
6,c12c(ccs1)nccc2O>>c12c(cnc(ccs3)c13)nc([C@@H](C)O)n2[C@H]4CC[C@H](COS(=O)(=O)c5ccc(C)cc5)OC4,c12c(O)ccnc1ccs2>>c12[n]([C@@H]3CO[C@@H](COS(c4ccc(C)cc4)(=O)=O)CC3)c([C@H](O)C)nc1cnc1c2scc1,[c:1]12[c:9](O)[cH:8][cH:7][n:6][c:2]1[cH:3][cH:4][s:5]2>>[c:9]12[n]([C@@H]3CO[C@@H](COS(c4ccc(C)cc4)(=O)=O)CC3)c([C@H](O)C)n[c:8]1[cH:7][n:6][c:2]1[c:1]2[s:5][cH:4][cH:3]1
7,c12c(ccs1)nccc2O>>c12c(cnc(ccs3)c13)nc([C@@H](C)O)n2[C@H]4CC[C@H](CC#N)OC4,c12c(O)ccnc1ccs2>>c12[n]([C@@H]3CO[C@@H](CC#N)CC3)c([C@H](O)C)nc1cnc1c2scc1,[c:1]12[c:9](O)[cH:8][cH:7][n:6][c:2]1[cH:3][cH:4][s:5]2>>[c:9]12[n]([C@@H]3CO[C@@H](CC#N)CC3)c([C@H](O)C)n[c:8]1[cH:7][n:6][c:2]1[c:1]2[s:5][cH:4][cH:3]1
8,c12c(ccs1)nccc2O>>n1(c(CN(OC(=O)C(C)(C)C)S(C)(=O)=O)nc(cnc(ccs2)c23)c13)[C@H]4CC(CC5)CC45,c12c(O)ccnc1ccs2>>[n]1([C@@H]2C3CCC(C3)C2)c2c3sccc3ncc2nc1CN(S(=O)(=O)C)OC(C(C)(C)C)=O,[c:1]12[c:9](O)[cH:8][cH:7][n:6][c:2]1[cH:3][cH:4][s:5]2>>[n]1([C@@H]2C3CCC(C3)C2)[c:9]2[c:1]3[s:5][cH:4][cH:3][c:2]3[n:6][cH:7][c:8]2nc1CN(S(=O)(=O)C)OC(C(C)(C)C)=O
9,c12c(ccs1)nccc2O>>n1(c(CNS(C)(=O)=O)nc(cnc(ccs2)c23)c13)[C@H]4CC(CC5)CC45,c12c(O)ccnc1ccs2>>[n]1([C@@H]2C3CCC(C3)C2)c2c3sccc3ncc2nc1CNS(=O)(=O)C,[c:1]12[c:9](O)[cH:8][cH:7][n:6][c:2]1[cH:3][cH:4][s:5]2>>[n]1([C@@H]2C3CCC(C3)C2)[c:9]2[c:1]3[s:5][cH:4][cH:3][c:2]3[n:6][cH:7][c:8]2nc1CNS(=O)(=O)C
