,raw_ractions,transformed_reactions,automap
10,C1(=O)CCC(=O)O1.c1(OC)ccccc1F>>c1(ccc(OC)c(F)c1)C(=O)CCC(=O)O,C1(OC(=O)CC1)=O.c1(c(F)cccc1)OC>>c1(C(CCC(O)=O)=O)cc(F)c(OC)cc1,[C:1]1([O:7][C:5](=[O:6])[CH2:4][CH2:3]1)=[O:2].[c:8]1([c:15]([F:16])[cH:14][cH:13][cH:12][cH:11]1)[O:9][CH3:10]>>[c:13]1([C:5]([CH2:4][CH2:3][C:1]([OH:7])=[O:2])=[O:6])[cH:14][c:15]([F:16])[c:8]([O:9][CH3:10])[cH:11][cH:12]1
11,O1C(=O)CCCC1=O.c1(OC)ccccc1>>c1(ccc(OC)cc1)C(=O)CCCC(=O)O,O1C(=O)CCCC1=O.c1(ccccc1)OC>>c1(C(CCCC(O)=O)=O)ccc(OC)cc1,[O:1]1[C:7](=[O:8])[CH2:6][CH2:5][CH2:4][C:2]1=[O:3].[c:9]1([cH:16][cH:15][cH:14][cH:13][cH:12]1)[O:10][CH3:11]>>[c:14]1([C:2]([CH2:4][CH2:5][CH2:6][C:7]([OH:1])=[O:8])=[O:3])[cH:15][cH:16][c:9]([O:10][CH3:11])[cH:12][cH:13]1
12,c1(ccc(OC)cc1)B(O)O.c1(ccccc1)C(=O)O>>C(=O)(c1ccccc1)c2ccc(OC)cc2,c1(B(O)O)ccc(OC)cc1.c1(C(O)=O)ccccc1>>C(c1ccc(OC)cc1)(c1ccccc1)=O,[c:1]1(B(O)O)[cH:8][cH:7][c:4]([O:5][CH3:6])[cH:3][cH:2]1.[c:12]1([C:18](O)=[O:19])[cH:17][cH:16][cH:15][cH:14][cH:13]1>>[C:18]([c:1]1[cH:8][cH:7][c:4]([O:5][CH3:6])[cH:3][cH:2]1)([c:12]1[cH:17][cH:16][cH:15][cH:14][cH:13]1)=[O:19]
13,c1(OC)cc(C)cc(C)c1.C(C)(=O)OC(C)=O>>c1(C)cc(OC)cc(C)c1C(C)=O,c1(cc(C)cc(C)c1)OC.C(OC(=O)C)(=O)C>>c1(c(C(=O)C)c(C)cc(OC)c1)C,[c:1]1([cH:10][c:8]([CH3:9])[cH:7][c:5]([CH3:6])[cH:4]1)[O:2][CH3:3].[C:11](OC(=O)C)(=[O:13])[CH3:12]>>[c:5]1([c:7]([C:11](=[O:13])[CH3:12])[c:8]([CH3:9])[cH:10][c:1]([O:2][CH3:3])[cH:4]1)[CH3:6]
14,c1(cccc(OC)c1)OC(C)=O>>c1(O)cc(OC)ccc1C(C)=O,c1(OC(=O)C)cc(OC)ccc1>>c1(c(C(=O)C)ccc(OC)c1)O,[c:1]1([O:9]C(=O)C)[cH:8][c:5]([O:6][CH3:7])[cH:4][cH:3][cH:2]1>>[c:1]1([c:2](C(=O)C)[cH:3][cH:4][c:5]([O:6][CH3:7])[cH:8]1)[OH:9]
15,c1(OC)c(OC)cc(OC(C)=O)cc1OC>>c1(OC)c(OC)c(OC)cc(O)c1C(C)=O,c1(c(OC)cc(OC(=O)C)cc1OC)OC>>c1(c(C(=O)C)c(O)cc(OC)c1OC)OC,[c:1]1([c:14]([O:15][CH3:16])[cH:13][c:8]([O:9]C(=O)C)[cH:7][c:4]1[O:5][CH3:6])[O:2][CH3:3]>>[c:14]1([c:13](C(=O)C)[c:8]([OH:9])[cH:7][c:4]([O:5][CH3:6])[c:1]1[O:2][CH3:3])[O:15][CH3:16]
16,c1(OC)ccc(O)cc1OC.C(C)(=O)OC(C)=O>>c1(C(C)=O)cc(OC)c(OC)cc1O,c1(c(OC)cc(O)cc1)OC.C(OC(=O)C)(=O)C>>c1(c(O)cc(OC)c(OC)c1)C(=O)C,[c:1]1([c:9]([O:10][CH3:11])[cH:8][c:6]([OH:7])[cH:5][cH:4]1)[O:2][CH3:3].[C:12](OC(=O)C)(=[O:14])[CH3:13]>>[c:5]1([c:6]([OH:7])[cH:8][c:9]([O:10][CH3:11])[c:1]([O:2][CH3:3])[cH:4]1)[C:12](=[O:14])[CH3:13]
17,c12c(cccc1)C(=O)OC2=O.c1(OC)ccc(Br)cc1>>c1(ccccc1C(=O)O)C(=O)c2ccc(OC)cc2,c12C(=O)OC(=O)c1cccc2.c1(ccc(Br)cc1)OC>>c1(C(c2ccc(OC)cc2)=O)c(C(O)=O)cccc1,[c:1]12[C:10](=[O:11])[O:9][C:7](=[O:8])[c:2]1[cH:3][cH:4][cH:5][cH:6]2.[c:12]1([cH:20][cH:19][c:17](Br)[cH:16][cH:15]1)[O:13][CH3:14]>>[c:1]1([C:10]([c:17]2[cH:19][cH:20][c:12]([O:13][CH3:14])[cH:15][cH:16]2)=[O:11])[c:2]([C:7]([OH:9])=[O:8])[cH:3][cH:4][cH:5][cH:6]1
18,c1(OC)c(OC)cc(NC(=CC(=O)OCC)C(=O)OCC)cc1OC>>c12c(NC(C(=O)OCC)=CC1=O)cc(OC)c(OC)c2OC,c1(c(OC)cc(NC(C(OCC)=O)=CC(OCC)=O)cc1OC)OC>>c12c(OC)c(OC)c(OC)cc1NC(=CC2=O)C(OCC)=O,[c:1]1([c:23]([O:24][CH3:25])[cH:22][c:8]([NH:9][C:10]([C:17]([O:19][CH2:20][CH3:21])=[O:18])=[CH:11][C:12](OCC)=[O:13])[cH:7][c:4]1[O:5][CH3:6])[O:2][CH3:3]>>[c:22]12[c:23]([O:24][CH3:25])[c:1]([O:2][CH3:3])[c:4]([O:5][CH3:6])[cH:7][c:8]1[NH:9][C:10](=[CH:11][C:12]2=[O:13])[C:17]([O:19][CH2:20][CH3:21])=[O:18]
19,C1(=O)CCC(=O)O1.c1(OC)cccc(OC)c1>>c1(ccc(OC)cc1O)C(=O)CCC(=O)O,C1(OC(=O)CC1)=O.c1(cc(OC)ccc1)OC>>c1(C(CCC(O)=O)=O)c(O)cc(OC)cc1,[C:1]1([O:7][C:5](=[O:6])[CH2:4][CH2:3]1)=[O:2].[c:8]1([cH:17][c:14]([O:15]C)[cH:13][cH:12][cH:11]1)[O:9][CH3:10]>>[c:13]1([C:5]([CH2:4][CH2:3][C:1]([OH:7])=[O:2])=[O:6])[c:14]([OH:15])[cH:17][c:8]([O:9][CH3:10])[cH:11][cH:12]1
