,raw_ractions,transformed_reactions,automap
0,C1(Oc(cc(Br)cc2C(=O)OC)c2O1)(c3ccccc3)c4ccccc4.c1(ccc(F)cc1)B(O)O>>C1(Oc(cc(c2ccc(F)cc2)cc3C(=O)OC)c3O1)(c4ccccc4)c5ccccc5,C1(c2ccccc2)(c2ccccc2)Oc2c(C(OC)=O)cc(Br)cc2O1.c1(B(O)O)ccc(F)cc1>>C1(c2ccccc2)(c2ccccc2)Oc2c(C(OC)=O)cc(-c3ccc(F)cc3)cc2O1,[C:1]1([c:21]2[cH:26][cH:25][cH:24][cH:23][cH:22]2)([c:15]2[cH:20][cH:19][cH:18][cH:17][cH:16]2)[O:14][c:13]2[c:8]([C:9]([O:11][CH3:12])=[O:10])[cH:7][c:5](Br)[cH:4][c:3]2[O:2]1.[c:27]1(B(O)O)[cH:33][cH:32][c:30]([F:31])[cH:29][cH:28]1>>[C:1]1([c:15]2[cH:16][cH:17][cH:18][cH:19][cH:20]2)([c:21]2[cH:26][cH:25][cH:24][cH:23][cH:22]2)[O:14][c:13]2[c:8]([C:9]([O:11][CH3:12])=[O:10])[cH:7][c:5](-[c:27]3[cH:33][cH:32][c:30]([F:31])[cH:29][cH:28]3)[cH:4][c:3]2[O:2]1
1,c12c(nnc(N)n1)cc(Br)cc2C.S(C)(=O)(=O)Nc1cccc(B(O)O)c1>>c12c(nnc(N)n1)cc(c3cccc(NS(C)(=O)=O)c3)cc2C,c12c(C)cc(Br)cc1nnc(n2)N.S(Nc1cc(B(O)O)ccc1)(=O)(=O)C>>c12c(C)cc(-c3cc(NS(=O)(=O)C)ccc3)cc1nnc(n2)N,[c:1]12[c:12]([CH3:13])[cH:11][c:9](Br)[cH:8][c:2]1[n:3][n:4][c:5]([n:7]2)[NH2:6].[S:14]([NH:18][c:19]1[cH:27][c:23](B(O)O)[cH:22][cH:21][cH:20]1)(=[O:17])(=[O:16])[CH3:15]>>[c:1]12[c:12]([CH3:13])[cH:11][c:9](-[c:23]3[cH:27][c:19]([NH:18][S:14](=[O:17])(=[O:16])[CH3:15])[cH:20][cH:21][cH:22]3)[cH:8][c:2]1[n:3][n:4][c:5]([n:7]2)[NH2:6]
2,C1(C)(C)OB(c2ccc(N(c3ccccc3)c4ccccc4)cc2)OC1(C)C.C1(CCCCCCCC)(CCCCCCCC)c2c(ccc(Br)c2)c(ccc(Br)c3)c13>>C1(CCCCCCCC)(CCCCCCCC)c2c(ccc(Br)c2)c(ccc(c3ccc(N(c4ccccc4)c5ccccc5)cc3)c6)c16,C1(C(C)(C)OB(c2ccc(N(c3ccccc3)c3ccccc3)cc2)O1)(C)C.C1(c2cc(Br)ccc2-c2ccc(cc12)Br)(CCCCCCCC)CCCCCCCC>>C1(c2cc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)ccc2-c2ccc(cc12)Br)(CCCCCCCC)CCCCCCCC,C1(C(C)(C)OB([c:6]2[cH:24][cH:23][c:9]([N:10]([c:17]3[cH:22][cH:21][cH:20][cH:19][cH:18]3)[c:11]3[cH:16][cH:15][cH:14][cH:13][cH:12]3)[cH:8][cH:7]2)O1)(C)C.[C:29]1([c:59]2[cH:58][c:56](Br)[cH:55][cH:54][c:53]2-[c:47]2[cH:48][cH:49][c:50]([cH:52][c:46]12)[Br:51])([CH2:38][CH2:39][CH2:40][CH2:41][CH2:42][CH2:43][CH2:44][CH3:45])[CH2:30][CH2:31][CH2:32][CH2:33][CH2:34][CH2:35][CH2:36][CH3:37]>>[C:29]1([c:59]2[cH:58][c:56](-[c:20]3[cH:21][cH:22][c:17]([N:10]([c:11]4[cH:12][cH:13][cH:14][cH:15][cH:16]4)[c:9]4[cH:23][cH:24][cH:6][cH:7][cH:8]4)[cH:18][cH:19]3)[cH:55][cH:54][c:53]2-[c:47]2[cH:48][cH:49][c:50]([cH:52][c:46]12)[Br:51])([CH2:30][CH2:31][CH2:32][CH2:33][CH2:34][CH2:35][CH2:36][CH3:37])[CH2:38][CH2:39][CH2:40][CH2:41][CH2:42][CH2:43][CH2:44][CH3:45]
3,c(c(ccc1)ccc2)(c1NB(c3cc(Br)ccc3OC)N4)c24.c1(ccccc1C)B(O)O>>c(c(ccc1)ccc2)(c1NB(c3cc(c4ccccc4C)ccc3OC)N5)c25,c12c3NB(c4c(OC)ccc(Br)c4)Nc1cccc2ccc3.c1(B(O)O)c(C)cccc1>>c12c3NB(c4c(OC)ccc(-c5c(C)cccc5)c4)Nc1cccc2ccc3,[c:1]12[c:22]3[NH:21][B:11]([c:12]4[c:18]([O:19][CH3:20])[cH:17][cH:16][c:14](Br)[cH:13]4)[NH:10][c:9]1[cH:5][cH:4][cH:3][c:2]2[cH:6][cH:7][cH:8]3.[c:23]1(B(O)O)[c:28]([CH3:29])[cH:27][cH:26][cH:25][cH:24]1>>[c:1]12[c:22]3[NH:21][B:11]([c:12]4[c:18]([O:19][CH3:20])[cH:17][cH:16][c:14](-[c:27]5[c:28]([CH3:29])[cH:23][cH:24][cH:25][cH:26]5)[cH:13]4)[NH:10][c:9]1[cH:5][cH:4][cH:3][c:2]2[cH:6][cH:7][cH:8]3
4,c(c(ccc1)ccc2)(c1NB(c3cccc(Br)c3)N4)c24.c1(ccc(C)cc1)B(O)O>>c(c(ccc1)ccc2)(c1NB(c3cccc(c4ccc(C)cc4)c3)N5)c25,c12c3NB(c4cc(Br)ccc4)Nc1cccc2ccc3.c1(B(O)O)ccc(C)cc1>>c12c3NB(c4cc(-c5ccc(C)cc5)ccc4)Nc1cccc2ccc3,[c:1]12[c:20]3[NH:19][B:11]([c:12]4[cH:18][c:16](Br)[cH:15][cH:14][cH:13]4)[NH:10][c:9]1[cH:5][cH:4][cH:3][c:2]2[cH:6][cH:7][cH:8]3.[c:21]1(B(O)O)[cH:27][cH:26][c:24]([CH3:25])[cH:23][cH:22]1>>[c:1]12[c:20]3[NH:19][B:11]([c:12]4[cH:18][c:16](-[c:21]5[cH:27][cH:26][c:24]([CH3:25])[cH:23][cH:22]5)[cH:15][cH:14][cH:13]4)[NH:10][c:9]1[cH:5][cH:4][cH:3][c:2]2[cH:6][cH:7][cH:8]3
5,c(c(ccc1)ccc2)(c1NB(c3ccc(Br)cc3)N4)c24.c1(ccc(C)cc1)B(O)O>>c(c(ccc1)ccc2)(c1NB(c3ccc(c4ccc(C)cc4)cc3)N5)c25,c12c3NB(c4ccc(Br)cc4)Nc1cccc2ccc3.c1(B(O)O)ccc(C)cc1>>c12c3NB(c4ccc(-c5ccc(C)cc5)cc4)Nc1cccc2ccc3,[c:1]12[c:20]3[NH:19][B:11]([c:12]4[cH:18][cH:17][c:15](Br)[cH:14][cH:13]4)[NH:10][c:9]1[cH:5][cH:4][cH:3][c:2]2[cH:6][cH:7][cH:8]3.[c:21]1(B(O)O)[cH:27][cH:26][c:24]([CH3:25])[cH:23][cH:22]1>>[c:1]12[c:20]3[NH:19][B:11]([c:12]4[cH:18][cH:17][c:15](-[c:21]5[cH:27][cH:26][c:24]([CH3:25])[cH:23][cH:22]5)[cH:14][cH:13]4)[NH:10][c:9]1[cH:5][cH:4][cH:3][c:2]2[cH:6][cH:7][cH:8]3
6,c(c(ccc1)ccc2)(c1NB(c3ccccc3Br)N4)c24.c1(ccc(C)cc1)B(O)O>>c(c(ccc1)ccc2)(c1NB(c3ccccc3c4ccc(C)cc4)N5)c25,c12c3NB(c4c(Br)cccc4)Nc1cccc2ccc3.c1(B(O)O)ccc(C)cc1>>c12c3NB(c4c(-c5ccc(C)cc5)cccc4)Nc1cccc2ccc3,[c:1]12[c:20]3[NH:19][B:11]([c:12]4[c:17](Br)[cH:16][cH:15][cH:14][cH:13]4)[NH:10][c:9]1[cH:5][cH:4][cH:3][c:2]2[cH:6][cH:7][cH:8]3.[c:21]1(B(O)O)[cH:27][cH:26][c:24]([CH3:25])[cH:23][cH:22]1>>[c:1]12[c:20]3[NH:19][B:11]([c:12]4[c:17](-[c:21]5[cH:27][cH:26][c:24]([CH3:25])[cH:23][cH:22]5)[cH:16][cH:15][cH:14][cH:13]4)[NH:10][c:9]1[cH:5][cH:4][cH:3][c:2]2[cH:6][cH:7][cH:8]3
7,c(c(ccc1)ccc2)(c1NB(c3cc(Br)ccc3OC)N4)c24.c1(ccc(C)cc1)B(O)O>>c(c(ccc1)ccc2)(c1NB(c3cc(c4ccc(C)cc4)ccc3OC)N5)c25,c12c3NB(c4c(OC)ccc(Br)c4)Nc1cccc2ccc3.c1(B(O)O)ccc(C)cc1>>c12c3NB(c4c(OC)ccc(-c5ccc(C)cc5)c4)Nc1cccc2ccc3,[c:1]12[c:22]3[NH:21][B:11]([c:12]4[c:18]([O:19][CH3:20])[cH:17][cH:16][c:14](Br)[cH:13]4)[NH:10][c:9]1[cH:5][cH:4][cH:3][c:2]2[cH:6][cH:7][cH:8]3.[c:23]1(B(O)O)[cH:29][cH:28][c:26]([CH3:27])[cH:25][cH:24]1>>[c:1]12[c:22]3[NH:21][B:11]([c:12]4[c:18]([O:19][CH3:20])[cH:17][cH:16][c:14](-[c:23]5[cH:29][cH:28][c:26]([CH3:27])[cH:25][cH:24]5)[cH:13]4)[NH:10][c:9]1[cH:5][cH:4][cH:3][c:2]2[cH:6][cH:7][cH:8]3
8,c(c(ccc1)ccc2)(c1NB(c3cc(Br)ccc3OC)N4)c24.c1(cccnc1)B(O)O>>c(c(ccc1)ccc2)(c1NB(c3cc(c4cccnc4)ccc3OC)N5)c25,c12c3NB(c4c(OC)ccc(Br)c4)Nc1cccc2ccc3.c1(B(O)O)cnccc1>>c12c3NB(c4c(OC)ccc(-c5cnccc5)c4)Nc1cccc2ccc3,[c:1]12[c:22]3[NH:21][B:11]([c:12]4[c:18]([O:19][CH3:20])[cH:17][cH:16][c:14](Br)[cH:13]4)[NH:10][c:9]1[cH:5][cH:4][cH:3][c:2]2[cH:6][cH:7][cH:8]3.[c:23]1(B(O)O)[cH:28][n:27][cH:26][cH:25][cH:24]1>>[c:1]12[c:22]3[NH:21][B:11]([c:12]4[c:18]([O:19][CH3:20])[cH:17][cH:16][c:14](-[c:23]5[cH:28][n:27][cH:26][cH:25][cH:24]5)[cH:13]4)[NH:10][c:9]1[cH:5][cH:4][cH:3][c:2]2[cH:6][cH:7][cH:8]3
9,c(c(ccc1)ccc2)(c1NB(c3cc(Br)ccc3OC)N4)c24.c1(ccc(B(O)O)cc1)C(=O)OC>>c(c(ccc1)ccc2)(c1NB(c3cc(c4ccc(C(=O)OC)cc4)ccc3OC)N5)c25,c12c3NB(c4c(OC)ccc(Br)c4)Nc1cccc2ccc3.c1(C(OC)=O)ccc(B(O)O)cc1>>c12c3NB(c4c(OC)ccc(-c5ccc(C(OC)=O)cc5)c4)Nc1cccc2ccc3,[c:1]12[c:22]3[NH:21][B:11]([c:12]4[c:18]([O:19][CH3:20])[cH:17][cH:16][c:14](Br)[cH:13]4)[NH:10][c:9]1[cH:5][cH:4][cH:3][c:2]2[cH:6][cH:7][cH:8]3.[c:23]1([C:32]([O:34][CH3:35])=[O:33])[cH:31][cH:30][c:26](B(O)O)[cH:25][cH:24]1>>[c:1]12[c:22]3[NH:21][B:11]([c:12]4[c:18]([O:19][CH3:20])[cH:17][cH:16][c:14](-[c:26]5[cH:30][cH:31][c:23]([C:32]([O:34][CH3:35])=[O:33])[cH:24][cH:25]5)[cH:13]4)[NH:10][c:9]1[cH:5][cH:4][cH:3][c:2]2[cH:6][cH:7][cH:8]3
